H,S,V
3,235,50
3,234,49
3,234,49
3,234,49
3,234,48
3,234,48
3,234,49
3,229,49
3,234,49
3,234,49
3,234,49
3,234,49
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,229,49
3,229,49
3,228,48
2,228,48
1,228,47
1,228,47
1,228,48
3,234,48
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,235,50
3,230,50
3,234,49
3,235,50
3,235,50
3,235,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
2,229,49
2,228,48
2,228,48
2,228,48
2,228,48
1,223,48
1,223,48
1,222,47
2,228,47
3,228,48
3,228,48
3,228,48
3,234,48
3,234,48
3,234,48
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
3,235,50
4,240,50
4,240,50
4,240,50
4,240,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
3,230,50
2,230,50
2,230,50
2,229,49
2,228,48
2,228,48
2,228,48
2,228,48
1,222,47
3,228,47
2,228,47
3,233,47
3,239,47
3,239,47
3,239,47
3,239,47
3,234,49
3,234,49
3,234,48
3,234,48
3,234,48
3,234,48
3,234,48
3,234,48
3,234,48
3,234,48
3,234,49
3,234,49
3,235,50
4,240,50
4,240,50
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
3,235,52
3,235,52
3,235,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
3,235,51
3,235,51
3,235,51
2,230,51
3,230,50
2,230,50
2,230,50
2,229,49
3,228,48
3,228,48
3,234,48
3,233,47
3,233,47
3,239,47
3,239,47
3,239,47
3,239,47
3,239,47
3,239,47
3,239,47
3,239,47
3,239,47
3,235,50
3,234,49
3,234,49
3,234,49
3,234,49
3,234,49
3,229,49
3,229,49
3,234,49
3,235,50
3,235,50
3,235,50
3,235,50
4,240,50
4,240,50
4,240,50
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,240,52
4,241,53
4,241,53
4,241,53
