B,G,R
3,7,55
3,8,53
3,8,53
2,8,53
2,8,53
2,8,53
2,8,53
2,8,53
2,8,53
3,8,53
3,8,54
3,8,55
4,9,55
4,9,56
4,9,56
4,9,57
4,9,57
4,9,57
4,9,57
4,9,57
4,9,57
4,9,56
4,9,55
3,9,54
3,9,53
3,9,52
3,9,52
3,9,52
3,8,53
3,8,53
3,8,53
3,8,54
3,8,55
3,8,55
3,8,55
3,8,55
3,8,55
3,8,55
3,8,53
3,8,53
3,8,53
3,8,53
3,8,53
3,8,53
3,8,55
3,9,56
4,9,56
4,9,57
4,9,57
4,9,57
4,9,57
4,9,58
4,9,58
4,9,58
4,9,57
4,9,57
4,9,56
3,9,55
3,9,53
3,9,53
3,9,52
3,9,53
3,8,53
3,8,53
3,8,54
3,8,55
4,8,55
4,9,55
4,10,55
3,9,52
3,9,52
3,8,53
3,8,53
3,8,54
3,8,55
3,8,55
4,8,55
3,8,55
3,8,55
4,8,56
4,8,56
4,8,56
3,8,55
3,8,55
3,8,53
3,8,53
3,8,53
3,8,55
3,9,56
3,9,56
4,9,57
4,9,57
5,9,58
5,9,58
5,9,58
4,9,58
4,9,58
4,9,58
4,9,58
4,9,58
4,9,57
4,9,56
3,9,55
3,9,54
3,8,53
3,8,53
3,8,53
3,8,54
3,8,55
3,8,55
4,8,55
4,9,55
4,9,55
4,9,55
4,9,55
4,9,54
3,9,53
3,9,53
3,8,51
3,8,51
3,9,52
3,9,52
3,9,52
3,9,53
3,8,53
3,8,55
4,8,55
4,8,55
4,8,55
4,8,56
3,8,56
4,8,56
4,8,56
4,8,56
4,8,56
4,8,56
4,8,56
3,8,55
3,8,55
3,8,56
3,9,56
3,9,56
3,9,56
4,9,57
4,9,58
4,9,58
4,9,59
4,9,59
4,9,59
4,9,59
4,9,59
4,9,58
4,9,58
4,9,58
4,9,57
4,9,56
4,9,56
4,8,55
4,8,55
3,8,55
3,8,55
3,8,55
3,8,55
3,8,55
4,8,55
4,9,55
4,9,55
4,9,55
4,9,54
3,9,54
3,9,53
3,9,53
3,9,53
2,9,52
2,9,52
3,8,53
3,8,52
3,8,52
3,8,52
3,8,52
3,9,52
3,9,53
3,9,53
3,9,53
3,9,55
4,8,56
4,8,56
4,8,56
3,8,56
3,8,56
3,8,56
4,8,56
4,8,57
4,9,57
4,9,57
4,9,57
4,9,57
4,9,56
4,9,56
4,9,56
4,9,57
4,9,57
4,9,58
4,9,58
4,9,58
4,9,59
4,9,59
4,9,59
4,8,59
4,8,59
4,8,59
4,8,59
4,8,59
4,8,58
4,8,58
4,9,58
4,9,57
4,9,56
4,8,56
4,8,56
4,8,56
3,8,56
3,8,55
3,8,56
4,8,56
4,8,56
4,9,56
4,9,56
4,9,56
3,9,54
3,9,54
3,9,53
3,9,53
2,9,53
2,9,52
2,9,52
3,10,53
3,10,53
4,9,55
3,8,54
3,8,53
3,8,53
3,8,53
3,8,53
3,8,53
3,8,53
