B,G,R
6,13,86
5,12,86
5,12,86
6,12,86
6,13,86
6,13,87
6,13,87
6,13,87
6,13,87
6,13,87
6,13,86
6,12,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
5,13,86
5,13,86
6,13,86
6,13,86
6,13,86
6,13,87
6,12,86
6,12,86
6,12,86
5,12,86
6,12,86
6,12,86
6,12,87
6,13,87
7,13,87
7,13,87
7,13,87
7,13,87
6,13,87
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,85
6,13,85
6,13,85
6,13,84
7,13,89
7,13,89
7,13,88
7,13,88
7,13,87
7,13,87
6,12,86
6,12,86
6,12,86
6,12,86
6,12,87
6,12,87
6,12,87
6,12,87
7,13,87
7,13,87
7,13,88
7,13,88
7,13,87
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,85
6,13,85
6,13,85
6,13,85
6,13,85
6,13,84
5,13,84
6,13,84
6,14,84
6,13,84
6,14,84
6,14,84
6,12,88
6,12,88
7,13,88
7,13,88
7,13,89
7,13,89
7,13,88
7,13,88
7,13,88
7,13,87
6,12,86
6,12,86
6,12,86
6,12,86
6,12,87
6,12,87
6,12,87
6,12,87
7,13,88
7,13,88
7,13,88
7,13,88
7,13,87
6,13,87
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,14,85
6,14,85
6,14,85
6,14,85
6,13,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,13,86
6,12,87
6,12,87
6,12,87
6,12,88
7,13,88
7,13,88
7,13,88
7,13,88
7,13,88
7,13,88
7,13,87
6,13,86
5,12,85
5,12,85
5,12,86
5,12,86
6,12,87
6,12,87
6,12,87
6,12,87
6,12,87
6,12,87
7,13,88
7,13,88
7,13,87
6,13,87
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,14,86
6,14,85
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
5,14,84
5,14,84
6,12,86
6,13,86
6,13,86
6,13,86
6,13,86
6,12,86
6,12,87
6,12,87
7,13,87
7,13,88
7,13,88
7,13,88
7,13,88
6,13,87
6,12,86
5,12,85
5,12,85
5,12,85
5,12,85
5,12,86
5,12,86
5,11,86
5,11,86
5,11,86
6,12,87
6,12,87
6,12,87
6,12,87
6,12,87
6,12,87
6,12,86
6,13,86
6,13,86
5,12,86
5,12,86
6,12,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,13,86
6,14,85
6,14,84
6,14,84
6,14,84
6,14,84
6,14,84
7,15,85
6,14,84
6,14,84
6,14,85
7,14,85
7,14,85
7,14,85
6,14,85
6,14,84
6,13,84
5,13,84
6,13,84
6,14,84
6,14,84
6,14,84
6,14,84
6,14,85
6,14,86
6,12,86
6,12,86
6,12,86
6,13,86
6,13,86
6,13,86
6,13,86
6,12,86
6,12,86
