B,G,R
2,13,104
2,14,103
2,14,102
2,14,102
2,14,102
1,14,102
2,14,103
3,15,105
6,16,108
6,16,108
5,16,108
2,13,105
2,13,104
2,12,103
2,12,103
2,13,103
2,13,103
2,13,103
3,13,102
3,13,102
3,13,102
3,13,101
2,13,101
2,13,100
2,13,100
2,13,100
3,13,100
3,13,101
2,13,101
2,13,102
1,14,103
2,13,103
2,13,102
2,13,102
2,13,102
2,13,102
2,14,102
2,14,102
2,13,101
2,14,101
2,14,102
4,15,105
6,16,106
6,16,106
5,15,105
2,13,104
2,12,103
2,12,102
2,12,102
2,12,102
2,12,101
2,13,101
3,13,101
3,13,101
3,13,101
3,13,100
2,13,99
3,13,99
3,13,98
3,13,98
3,13,98
3,14,100
3,13,100
3,13,100
2,13,100
2,13,101
2,13,101
2,13,102
2,13,102
1,14,105
1,14,104
1,14,104
2,14,103
2,14,103
2,14,103
2,13,102
2,13,102
2,13,102
2,13,102
2,13,102
2,14,100
2,14,100
2,13,100
2,13,100
2,14,100
4,15,101
5,15,104
5,15,105
3,13,103
2,13,102
2,12,101
2,12,100
2,12,100
2,12,100
2,12,100
2,13,98
2,13,98
2,13,98
2,13,98
2,13,98
2,13,97
2,13,97
2,13,97
2,13,97
2,13,97
2,13,97
3,13,98
3,13,98
2,13,99
2,13,99
2,13,100
2,13,100
2,13,100
2,14,101
2,14,102
2,13,102
2,13,101
1,13,101
2,13,105
2,13,105
2,13,105
2,13,104
2,14,103
2,14,103
2,14,103
2,14,103
2,14,103
2,13,102
2,13,101
2,13,101
2,13,101
2,13,100
2,13,100
2,13,97
2,13,97
2,13,97
3,13,97
3,13,99
4,13,99
4,13,101
4,13,101
3,13,100
3,12,99
2,12,99
2,12,96
2,12,96
2,12,96
2,12,96
2,12,96
2,12,96
2,12,96
2,13,96
2,13,96
2,13,95
2,13,95
2,13,95
2,13,95
2,13,95
3,13,95
3,13,96
3,13,96
3,13,97
3,13,97
2,13,97
2,13,98
2,13,98
3,13,99
3,13,100
2,13,100
2,13,100
2,13,101
1,13,101
1,13,101
2,13,101
2,13,101
1,13,105
2,13,105
2,13,105
2,13,105
2,13,105
2,13,103
2,13,103
2,13,103
2,13,103
2,14,103
2,14,102
3,14,102
3,14,101
2,13,101
2,13,99
2,13,99
2,13,97
2,13,97
2,13,97
3,13,96
2,13,96
3,13,96
3,13,96
3,13,96
3,13,97
3,12,97
3,12,97
3,12,96
2,12,95
2,12,95
2,12,95
2,12,95
2,12,93
2,12,95
2,12,93
2,12,95
2,12,93
2,12,93
2,12,93
2,12,93
2,13,93
2,13,92
2,13,93
2,13,93
2,13,93
3,13,95
3,13,95
3,13,95
3,13,96
3,13,96
2,13,97
3,13,97
3,13,98
2,13,98
2,13,99
2,13,100
1,13,100
1,13,100
1,13,101
2,13,101
2,13,101
2,13,101
1,13,102
1,13,105
1,13,105
1,13,105
2,13,103
2,13,103
2,13,103
2,13,103
2,13,103
3,13,102
2,13,102
2,13,102
3,13,102
3,14,102
3,14,101
3,14,101
3,14,100
3,13,99
2,13,97
2,13,96
2,13,95
2,13,95
2,13,95
3,13,93
3,13,93
3,12,94
3,12,94
3,12,95
3,12,95
3,12,94
3,12,94
3,12,94
2,12,92
2,12,92
2,12,92
2,12,92
2,12,91
2,12,92
2,12,91
2,12,92
2,12,91
2,12,91
2,12,91
2,12,91
2,13,91
2,12,91
2,13,91
2,13,91
2,13,91
2,12,92
2,12,92
2,12,92
2,12,93
2,13,95
3,13,95
