B,G,R
1,13,106
2,14,108
2,14,108
1,13,108
1,13,108
1,13,109
1,13,109
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,14,107
1,14,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,14,110
2,14,110
2,14,109
2,14,109
2,14,108
2,14,108
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,14,107
3,14,107
3,14,107
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,109
2,14,109
1,13,108
1,13,108
1,13,107
1,13,108
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
3,13,107
3,13,107
3,13,107
3,13,107
3,13,108
3,13,108
3,12,108
3,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,110
1,13,109
1,13,109
1,13,109
1,13,108
1,13,107
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
3,13,107
3,13,107
3,13,107
3,13,108
3,13,108
3,13,108
3,13,108
3,13,108
3,13,107
2,13,107
2,13,106
2,13,106
1,13,110
2,13,110
2,13,110
2,13,110
2,14,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,110
2,14,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,13,107
3,13,107
3,14,108
3,14,108
3,14,108
3,13,108
3,13,108
3,13,108
2,13,107
2,13,107
2,13,107
2,13,106
2,14,106
2,14,106
1,14,106
0,14,110
1,14,110
1,14,111
2,13,110
2,13,110
1,13,110
1,13,110
1,13,110
1,13,110
1,13,110
1,13,109
1,14,110
1,14,110
2,14,110
2,14,110
1,14,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
0,12,106
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,13,107
3,13,107
3,13,107
3,14,108
3,14,108
3,14,108
3,14,108
2,13,108
2,13,107
2,13,107
2,13,107
1,13,107
2,14,106
1,14,106
1,14,106
1,14,106
1,14,107
1,14,107
2,14,110
2,14,111
1,14,111
2,14,111
2,14,111
2,14,111
1,13,111
1,13,111
1,13,110
1,13,110
1,13,110
1,13,110
1,13,109
1,13,110
1,14,110
1,14,110
1,14,110
1,14,109
1,14,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,13,110
2,14,110
2,13,110
1,13,110
1,13,110
1,13,110
1,13,109
1,13,110
2,14,110
2,14,110
2,14,109
1,13,108
1,13,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
0,12,106
0,12,106
0,12,106
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,13,107
2,14,108
3,14,108
2,14,108
3,14,108
2,14,108
2,14,108
2,13,108
2,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,14,107
1,14,107
1,14,107
2,14,108
2,14,108
2,14,108
2,14,111
2,13,110
2,13,111
2,14,111
2,14,111
2,14,111
2,14,112
2,14,112
1,13,112
1,13,112
1,13,111
1,13,111
1,13,111
1,13,110
0,13,110
0,13,110
0,14,110
0,14,110
0,14,110
0,14,109
0,13,109
0,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,110
2,14,110
2,13,110
2,13,110
2,13,110
2,13,110
2,14,110
2,14,110
2,14,110
2,14,109
2,14,109
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,14,107
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,14,108
2,14,111
2,14,111
2,13,111
2,13,111
2,13,111
2,13,111
2,14,111
2,14,112
2,14,112
2,13,112
1,13,113
1,13,112
1,13,112
1,13,111
0,13,111
0,13,111
0,13,110
0,13,110
0,14,110
0,14,110
0,13,109
0,13,109
0,13,109
0,13,109
0,13,109
1,13,109
1,14,109
2,14,110
2,14,110
2,14,110
2,14,111
2,13,111
2,13,111
2,13,111
2,13,111
2,14,110
2,14,110
2,14,110
2,14,110
2,14,110
2,14,109
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,108
1,13,107
1,13,107
2,14,110
2,14,110
2,14,111
2,14,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
3,14,112
3,14,112
2,14,112
1,13,113
1,13,112
1,13,112
1,13,111
0,13,111
0,13,111
0,13,110
0,13,110
0,13,110
0,13,109
0,13,109
0,13,109
0,13,109
0,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,13,110
2,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,14,111
2,14,110
2,14,110
2,14,110
2,14,110
2,14,110
2,14,109
2,14,109
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,108
1,13,108
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,108
1,13,108
2,14,108
2,14,109
2,14,109
2,14,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
2,14,108
2,14,110
2,14,110
2,14,110
3,14,111
3,14,111
3,14,111
3,14,112
2,13,111
2,13,111
3,14,112
3,14,112
3,14,112
3,14,112
2,14,112
1,13,112
1,13,112
1,13,112
1,13,111
1,13,111
0,13,110
0,13,110
0,13,109
0,13,109
0,13,109
0,13,109
0,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,110
2,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,14,111
2,14,110
2,14,110
2,14,110
2,14,110
2,14,109
2,14,109
2,14,108
2,14,108
2,14,108
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,108
1,13,109
1,13,109
2,14,108
2,14,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,108
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,109
2,14,110
2,14,110
2,14,110
3,14,111
3,14,111
3,14,111
3,14,111
3,14,111
3,14,111
3,14,111
3,14,112
3,14,112
3,14,112
3,14,112
2,14,112
2,14,112
1,13,111
1,13,111
1,13,111
1,13,110
1,13,110
1,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,13,110
2,13,111
2,13,111
2,13,111
2,14,111
2,14,111
2,14,110
2,14,110
2,14,110
2,14,110
2,14,109
2,14,109
2,14,109
2,14,108
2,14,108
2,14,108
2,14,108
