B,G,R
0,21,161
0,21,161
0,21,161
1,21,161
1,21,162
1,21,162
1,21,162
0,21,161
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,20,161
0,20,161
0,21,161
0,21,161
0,22,162
0,22,162
0,22,162
0,22,162
0,22,162
0,22,162
0,21,162
0,21,162
0,21,162
0,21,162
0,22,162
0,21,161
1,21,161
0,21,160
1,21,160
1,21,160
1,21,160
1,21,160
1,21,160
1,21,160
1,21,160
1,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,20,160
0,20,161
0,20,161
0,20,161
0,21,161
0,21,161
0,22,162
0,22,162
0,23,162
0,22,162
0,22,162
0,22,162
0,22,162
0,21,161
0,21,161
0,21,161
0,21,161
0,21,162
0,23,163
0,23,163
0,23,163
0,21,163
0,21,162
0,21,161
0,21,161
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
1,21,160
1,21,160
1,21,160
1,21,160
0,21,160
0,21,160
0,20,160
0,20,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,20,161
0,20,161
0,21,161
0,21,161
0,22,161
0,22,162
0,22,163
0,23,162
0,22,162
0,22,162
0,22,162
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,22,161
0,22,162
0,22,162
0,22,162
0,23,163
1,23,163
1,23,163
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,160
0,21,160
1,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,161
0,21,161
0,21,161
0,21,161
1,21,161
0,21,161
1,21,161
1,21,162
0,21,163
0,22,163
0,22,164
0,23,164
1,23,164
1,23,164
0,23,164
0,22,163
0,21,162
0,21,161
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,161
0,21,161
0,21,161
1,22,162
1,23,162
1,23,162
1,22,162
0,22,162
0,22,162
0,22,161
0,21,161
0,21,160
0,20,160
0,20,160
0,21,160
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
1,21,161
1,21,160
1,21,160
1,21,160
1,21,160
1,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,161
0,21,161
0,21,162
0,21,162
1,22,163
1,22,163
1,22,163
1,21,163
1,21,163
1,22,164
1,22,164
1,22,164
1,22,164
1,23,165
1,23,165
1,23,165
1,23,165
1,23,164
0,22,163
0,21,162
0,21,162
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,21,160
0,21,160
0,21,161
0,21,161
0,21,161
1,21,162
1,21,162
1,21,162
0,21,161
0,21,161
0,21,160
0,21,161
0,22,161
1,22,163
1,22,163
1,22,163
0,22,161
0,21,161
0,20,160
0,20,160
0,20,160
0,20,160
0,20,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,22,162
1,22,162
1,22,161
1,22,161
1,21,161
1,21,160
1,21,160
1,21,160
1,21,160
1,21,161
1,21,161
0,21,161
0,21,163
0,21,163
0,22,164
0,22,165
1,22,165
1,22,165
1,22,167
1,22,167
1,21,167
1,21,167
1,22,167
1,22,167
1,22,167
1,23,167
1,23,167
2,23,168
2,23,166
1,23,165
1,22,164
0,21,163
0,21,163
0,21,162
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,21,160
0,21,161
0,21,161
0,21,161
0,21,162
1,21,162
1,21,162
0,21,161
0,21,161
0,21,160
0,21,160
0,21,161
1,22,161
1,22,161
1,22,161
0,22,164
0,22,164
0,22,164
0,22,163
0,22,163
0,22,162
0,21,161
0,20,161
0,20,161
0,20,161
0,20,161
0,20,161
0,21,162
0,21,162
0,21,162
0,21,162
0,22,162
0,22,162
0,22,163
1,22,164
1,22,164
1,22,164
1,22,163
1,22,162
1,21,162
0,21,162
0,21,163
0,21,163
0,22,164
0,22,164
0,22,165
0,22,165
0,22,167
1,22,167
1,22,167
1,22,167
1,22,167
1,22,167
1,21,167
1,21,167
1,22,167
1,22,168
1,22,168
1,23,168
2,23,169
2,23,169
2,23,168
1,22,166
1,22,165
0,21,164
0,21,163
0,21,163
0,21,162
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,161
0,21,162
0,21,162
0,21,162
0,21,162
0,21,161
0,21,161
0,21,160
0,21,160
0,21,160
0,22,161
0,22,161
0,22,161
0,22,161
0,22,161
0,22,163
0,21,163
0,21,163
0,22,164
0,22,164
0,22,164
0,22,164
0,22,164
1,22,163
1,21,163
0,21,162
0,20,162
0,20,162
0,20,162
0,20,162
0,21,162
1,21,163
0,22,163
0,22,164
0,22,164
0,22,164
0,22,164
1,22,164
1,23,165
1,22,164
1,22,164
1,22,164
0,22,164
0,22,164
0,22,167
0,22,167
0,22,167
0,22,167
0,22,167
0,22,167
0,22,168
0,22,168
1,22,168
1,22,168
1,22,168
1,22,168
1,21,168
1,21,168
1,21,168
1,22,168
1,22,169
1,23,169
2,23,170
2,23,170
1,23,169
1,22,168
1,22,167
0,22,166
1,22,165
1,21,164
1,21,163
1,22,163
1,21,163
1,21,163
0,21,163
0,21,163
0,21,163
0,21,163
0,22,162
0,22,162
0,22,162
0,21,162
0,21,161
0,21,161
0,21,160
0,21,161
0,21,161
0,21,161
1,22,161
0,21,161
0,21,160
0,22,160
0,21,160
0,22,160
0,21,163
0,21,163
0,21,163
0,22,163
0,22,163
0,22,164
0,23,165
0,23,165
0,23,165
1,23,165
2,22,164
2,22,164
2,22,164
0,21,163
0,21,163
0,21,162
0,21,163
1,22,164
1,22,164
1,22,164
1,22,164
1,22,165
1,22,166
1,22,166
1,22,166
1,23,166
1,22,165
1,22,165
1,23,165
0,23,167
0,22,167
0,22,167
0,22,167
0,22,167
0,22,167
0,22,168
0,22,168
0,22,168
0,22,168
0,22,168
1,22,168
1,22,168
1,21,168
1,21,168
1,21,168
1,21,168
0,21,169
0,22,170
0,22,170
0,23,170
1,23,170
1,22,170
0,22,170
1,22,169
1,22,167
1,22,167
1,22,167
1,22,166
1,22,165
1,22,165
1,22,165
1,22,165
