Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,10888,1276,1824,7641,11107
0,10843,1974,2441,7756,11342
0,10793,1525,2294,7697,10785
0,10407,1285,1603,7612,11358
0,10734,1449,1988,7904,10144
0,10602,1292,1967,7682,10904
0,10586,1575,1752,7861,11263
0,11010,1408,2189,7734,10709
0,10984,1219,985,7822,11167
0,10989,1674,2131,7824,10862
0,10840,1602,2318,8089,11267
0,10792,1680,2051,7704,10444
0,10978,1268,1856,7973,10960
0,10454,1333,1916,7488,11121
0,10711,2307,1766,8001,11288
0,11268,1441,1876,7524,11004
0,10817,1414,2391,7916,11200
0,10375,1472,1906,6872,11147
0,10910,1262,1600,7596,11316
0,10568,1448,1932,7600,10689
0,10341,1278,1826,7589,11129
0,10970,1190,1698,7644,11465
0,10354,1341,1990,7510,10603
0,10675,1163,2032,7528,11130
0,10601,1405,1570,7559,11197
0,10808,1178,1791,7710,11464
0,10522,1267,1968,7599,11016
0,10898,1544,2196,7974,10996
0,10740,1407,2155,7862,11848
0,10685,1192,1751,7764,11312
0,11102,2150,1803,7944,11120
0,10709,1527,2034,7501,11038
0,10898,1448,2037,7746,11336
0,10623,1595,2234,7833,11248
0,10952,1300,1118,8192,11231
0,10916,1608,2322,7809,11080
0,10537,2340,1957,7633,11021
0,11038,1515,2469,7812,11054
0,10597,1440,2137,7908,11338
0,10888,1081,1718,7783,11328
0,10633,1458,1679,7196,11522
0,10995,1327,1866,7661,11153
0,10793,1558,1721,7658,11329
0,10588,1159,1481,7885,11254
0,11073,1232,783,7912,11148
0,10836,1583,1586,8000,11066
0,10540,2063,1941,7726,11341
0,10051,1289,2187,7104,10994
0,11064,1266,1489,7939,11166
0,10705,1525,2094,7873,10850
0,10756,1453,1544,8475,10971
0,10547,2132,2455,7855,10656
0,10142,1131,2085,7815,10939
0,10752,1403,1841,7479,11187
0,10468,1402,1424,7577,11118
0,10817,1078,1693,7651,11153
0,10732,1621,2210,7379,11213
0,10714,1719,900,7844,11435
0,10011,1238,1926,7747,11082
0,11020,1444,2067,7942,11181
0,11031,1433,2217,7992,11198
0,10805,1541,2164,7711,11853
0,9975,1332,1944,7936,11124
0,10980,2469,1980,7930,11134
0,10601,2099,1901,7721,11160
0,10840,1533,1972,7824,10866
0,10581,1388,1514,7699,11342
0,11474,2570,2242,7829,11340
0,10616,1056,1739,7043,11245
0,11010,1129,2323,7922,11134
0,11175,1636,2296,7760,13494
0,11115,1686,1291,7839,11191
0,11985,1709,1926,7511,11193
0,11117,487,2020,7637,11115
0,10804,1098,1255,7880,11264
0,10745,1068,1643,7922,11341
0,11592,1303,1968,8003,10993
0,10748,1088,1952,7815,11272
0,10797,988,1571,7605,11420
0,10863,1592,2203,8032,10904
0,10705,1425,2351,7596,10894
0,11002,1539,2136,7595,10915
0,10778,1322,1864,8003,11262
0,10818,1491,1910,7816,11014
0,11074,1262,1709,7685,11261
0,10719,1422,2001,7806,11214
0,10094,1781,2792,7556,11508
0,10903,1516,2087,8009,11485
0,10566,1604,1960,7410,11184
0,10724,1237,1793,7607,10884
0,11402,2282,2309,7750,11139
0,10986,1245,1656,7824,11404
0,10984,1298,2454,7960,11334
0,10959,1700,1979,7874,11060
0,10819,374,1654,7894,11385
0,10875,1331,1712,7539,10707
0,10866,1458,2082,7547,10608
0,11044,1408,1818,7915,11302
0,10870,1518,2159,8514,10975
0,10772,1138,1733,7696,11361
0,10957,1666,2145,7958,10976
0,11101,1289,1895,8070,11153
0,10849,1179,1736,7930,11442
0,10906,1236,1284,7979,11208
0,11035,1211,1848,8180,11163
0,10718,1340,1971,7688,10944
0,11381,1304,1850,7929,11307
0,10902,1329,1736,8596,11164
0,11778,1572,2207,7703,11056
0,11180,1645,1919,7926,11237
0,10778,1006,1563,7809,11298
0,10911,1253,1800,8063,11780
0,10850,1398,1964,7588,11243
0,11476,1424,1911,7454,11133
0,11221,1469,2112,7876,10880
0,11513,1781,2368,8001,11243
0,11224,1364,2256,7960,11191
0,11024,1495,2155,7769,11716
0,11151,1365,2233,10301,11334
0,11144,670,1719,7752,10997
0,10997,1221,1850,7781,8884
0,11061,1354,1926,7893,11322
0,10788,1098,1729,8191,11334
0,11869,1472,2388,7424,10974
0,10909,1368,1832,7626,11318
0,11754,1464,1938,7559,11209
0,11091,1597,2173,7638,10295
0,11173,1610,2172,7808,11360
0,11126,1380,1850,8187,11249
0,11078,1229,960,7296,10812
0,11332,1184,1663,7667,11461
0,11002,1576,2100,7952,10907
0,10575,1409,2070,7488,10799
0,11108,1657,2076,8084,11240
0,11249,1325,1994,7974,11158
0,10901,1391,1805,7600,11244
0,11099,1468,1988,8454,9508
0,11129,1449,1954,7761,10926
0,11305,1997,1896,7873,11163
0,11218,1240,1772,7775,11373
0,10476,1368,2016,7753,10861
0,11030,1228,1752,7723,11322
0,11134,1432,1796,8115,11307
0,11064,1502,2143,7818,11088
0,11452,1270,1660,7689,11349
0,11208,725,1368,8000,11232
0,11154,1193,1800,7730,11409
0,11365,1333,1836,8177,11228
0,11380,1482,1941,7361,10973
0,11051,1334,2231,7613,10898
0,10977,1314,1979,7352,11083
0,11028,1196,1785,7874,11394
0,10932,1130,1782,7784,11236
0,11278,1131,1245,8106,10914
0,11297,1620,2168,7878,11723
0,11090,1664,2029,7718,11000
0,10993,704,1608,7254,11433
0,10985,1374,2372,7932,11100
0,11464,912,2003,7673,11044
0,11892,1400,2384,7525,11188
0,10792,1334,2341,8237,11059
0,10973,1472,2235,8226,11314
0,11312,1322,1892,8117,11574
0,11268,1258,1812,8096,11330
0,11338,1454,2185,7956,11328
0,10806,1450,1894,7744,11200
0,11007,112,1721,7669,11330
0,11046,1301,1824,8288,11246
0,10825,1991,1934,7454,11172
0,11148,1074,1677,7732,11347
0,11342,1593,2184,7775,11200
0,11457,1664,2049,7876,10437
0,11237,1373,1416,7531,11124
0,11144,1230,1779,7756,11344
0,11380,1587,1986,7746,11180
0,11334,1184,1879,8191,11197
0,11250,1568,2067,7751,10886
0,11284,1636,843,7679,10968
0,11345,1330,1940,7827,10981
0,10049,567,1736,7718,11272
0,11401,1550,2103,7631,11004
0,11576,1305,2005,7825,10805
0,11464,1579,2178,7843,11125
0,11136,1487,1965,7776,10987
0,11473,1316,2046,7954,11387
0,11430,1396,1787,8138,11114
0,11157,1192,1926,7605,11016
0,11315,566,1940,8460,11076
0,11282,1631,2250,7774,10991
0,11548,1465,2154,8147,11191
0,10971,1416,2053,7956,11015
0,10758,1595,2178,8050,11028
0,11476,1602,1990,7943,11214
0,11406,1364,1960,7828,11511
0,11498,1658,1929,8151,11336
0,11150,1503,1712,7784,10987
0,11190,1410,1772,7791,10862
0,11144,1563,2212,8016,10729
0,11381,1429,1859,8048,11064
0,11052,1082,1641,7825,11482
0,11594,1437,1802,8136,11266
0,11291,1230,1767,7886,11577
0,11217,1132,2067,7726,11446
0,11297,1177,1737,7916,11427
0,11012,1424,2015,7780,11007
0,11501,1659,2241,7815,11008
0,11247,1178,1798,7988,11313
0,11496,1762,2123,7757,11054
0,11173,2327,2657,7715,11368
0,11588,1467,1919,7791,11191
0,11559,1536,2041,7526,11165
0,11274,1516,2122,7908,11128
0,11805,1542,1820,8051,11344
0,11259,1457,2076,7822,11018
0,11460,1044,1730,7644,11352
0,11784,1458,2024,8012,11006
0,11444,1684,2167,7942,11170
0,11361,1435,808,7811,11194
0,11479,1621,2076,7931,10833
0,11098,1355,1892,7606,11144
0,11672,1096,1779,7591,11286
0,11470,1645,2274,8289,11022
0,11073,530,1766,7812,11291
0,11639,1643,1993,7766,10836
0,11632,1692,2192,7860,11097
0,11578,1620,1616,8276,10906
0,11472,1838,2356,7623,10801
0,11439,1895,3139,7634,11336
0,11590,1588,2067,7811,10964
0,12594,1431,1509,6959,11044
0,11570,685,2020,7876,11233
0,11849,1298,1948,8200,11176
0,11577,1587,2370,7635,10947
0,11756,460,2078,7980,11110
0,11782,1647,2116,7938,10866
0,11655,1680,2212,8339,10951
0,10758,1388,3916,7693,11206
0,11929,1192,1870,7952,11248
0,11535,1196,1900,7617,11301
0,11592,1446,2015,7724,10969
0,11390,1238,1560,8084,11414
0,11984,1535,1672,7589,11242
0,12142,1491,1992,7832,10956
0,10641,1481,2018,8434,10913
0,11892,1802,2326,7927,10052
0,11378,1365,1858,7675,11188
0,12005,1338,1910,8118,11158
0,11696,808,1664,7972,11344
0,11794,1667,2162,7792,12092
0,11549,1207,1669,7891,11311
0,11558,1147,1204,7620,11200
0,11680,1707,2188,7876,11432
0,11518,2026,2403,7776,10816
0,11849,1530,2122,7463,10557
0,12407,1576,1736,7630,11120
0,10688,1208,2036,7569,10877
0,11639,1714,2130,7733,11936
0,11530,1105,2806,7703,11392
0,11426,1379,1494,7750,11176
0,11792,1643,2041,7679,11036
0,11527,1548,2264,7860,11478
0,11788,1576,2403,7845,11088
0,11359,1498,1941,7580,11135
0,11628,1636,2091,7877,10921
0,10953,1634,2752,7662,11218
0,11620,1625,2090,7910,10916
0,11555,1512,2078,7283,11228
0,13915,1324,3069,7796,10868
0,11671,1914,2820,7875,11528
0,11760,1480,2091,7712,11029
0,11849,1730,1950,7696,11235
0,11748,1106,1736,7858,11364
0,11566,1241,1755,7977,11255
0,11511,576,1896,8108,11089
0,11541,1468,2088,7869,10994
0,11740,1623,2097,7774,10922
0,11722,1720,2076,7929,11000
0,11758,1696,2066,7951,11182
0,11761,1376,1727,8191,11339
0,11682,1405,1635,8207,11104
0,11770,1597,1334,7946,11209
0,12065,1604,1677,7862,11416
0,12027,1562,2780,8061,11287
0,11556,1652,1781,7642,11307
0,11847,1317,1744,7577,11252
0,12008,1681,1860,8004,11251
0,10718,202,2082,7536,11316
0,11515,1960,1789,7877,11291
0,11952,1909,2069,7767,10948
0,11601,1613,1928,7886,11092
0,11483,2152,2101,7620,10952
0,11932,1809,1880,7883,12173
0,11478,1204,2684,7880,11394
0,11896,1536,2026,7872,10986
0,11858,1109,1909,7861,10987
0,11565,1614,2175,7756,10997
0,11641,1317,1643,7968,11249
0,11870,1394,1878,7886,11338
0,11549,1608,2097,7760,10538
0,11653,2190,1863,7927,11085
0,11753,1347,1832,8000,11330
0,11595,1262,1594,7931,11252
0,11591,1582,1883,7557,11056
0,11765,1705,1996,7604,11150
0,11679,1762,2141,7765,11024
0,11487,2292,2382,7808,11238
0,11873,1531,2185,7844,10267
0,12026,1660,2137,7545,11271
0,11698,1270,1790,7838,11364
0,11614,1623,2232,7724,10888
0,11592,1426,1802,8247,10982
0,11913,1580,2145,7887,12136
0,11769,1747,2098,7459,10927
0,11720,1352,1789,8034,11255
0,11856,1575,2055,7114,11575
0,11950,1569,2219,7413,10968
0,11852,1709,2233,7897,11056
0,11898,1845,2320,7826,11173
0,11740,1401,2790,8191,11236
0,12062,1529,1636,7980,11134
0,11391,1299,1826,7933,11419
0,12081,1546,2530,7872,10776
0,10896,0,1992,8130,11133
0,11769,1572,2075,8438,10329
0,11317,1520,2017,8619,10066
0,11893,1512,2039,8161,11180
0,11584,1337,1717,7960,11372
0,11848,1777,2082,8023,11456
0,11916,1707,2028,8008,11360
0,12016,1714,2331,7735,11216
0,11633,1508,1957,7935,11184
0,11727,1666,2055,7895,11022
0,11804,1257,1717,7934,11283
0,11749,1642,2142,7964,11259
0,11756,1475,2265,7864,11381
0,11882,1748,2171,7985,11254
0,12083,1466,1897,8067,11104
0,12178,1266,1856,7692,11111
0,11472,1335,1944,8152,10933
0,11946,1871,1650,8095,11275
0,11738,1722,5312,7840,10808
0,11593,1480,1890,7695,11076
0,11970,1408,1706,7899,11282
0,11369,1196,1480,7729,11172
0,11822,1813,2161,8005,11671
0,11631,1163,1651,7911,11448
0,11852,1745,2068,7978,11620
0,12049,1540,1949,8052,11209
0,12028,1281,1935,7975,11273
0,11973,1592,2149,8092,10970
0,11660,1625,1627,6941,11047
0,11910,1621,2014,7941,11114
0,11464,1390,2001,8421,11058
0,11683,1216,1548,6871,11586
0,11965,1464,1976,8105,11298
0,11403,1582,2092,7924,11017
0,12100,1444,2047,8042,11221
0,11416,1506,850,7728,11122
0,11522,1277,1684,7715,10486
0,12328,1852,2314,7978,11238
0,11896,1868,2241,7816,11799
0,12277,1444,1876,7927,11268
0,12506,1648,1995,7717,11000
0,12377,1331,1922,8002,11025
