Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
754,13349,3325,2923,9721,12423
0,13128,2923,2737,9806,12409
0,13225,2978,2948,9792,12348
0,13815,3067,2696,9756,12625
0,13120,2647,2598,10088,12373
0,13188,2991,2327,9767,12494
0,12962,2642,2627,9655,12736
0,13266,1551,2861,9979,12885
0,13266,3094,3120,9808,12457
0,13156,2590,2666,10025,12513
0,12774,2529,2603,9454,12433
0,12931,2896,3160,9553,12820
0,13260,2736,2752,10111,13089
0,13153,2917,3020,9869,12120
0,12812,2734,2938,9632,12586
0,13038,2636,2708,9576,12631
0,13123,3178,2677,9628,12314
0,13271,2839,2642,9508,12633
0,13040,2554,2613,9836,12624
0,13103,2554,2541,9664,12659
0,12976,2769,2987,9607,11364
0,12338,2524,2661,9786,12480
36,13192,2738,2820,9866,12547
0,13187,2761,2820,9842,12484
0,13049,2479,2622,9914,11792
0,12964,2802,2948,9588,12411
28,12922,2128,2865,10631,12360
0,13018,2640,2297,9399,11863
0,13010,2928,2987,9884,12620
0,13026,2950,2495,8776,12752
0,12901,3628,2756,9605,12765
0,11764,1312,3512,9350,11682
0,12744,2636,2208,8593,12632
0,13008,2509,2096,9657,12415
0,12959,2808,2918,9576,12294
0,13236,2932,2998,9657,12272
0,12717,2008,2554,9572,12552
0,12600,2579,2724,9685,12438
0,13765,2536,2717,9988,12444
0,13164,2925,2570,9858,12566
0,12960,2755,2681,9698,12482
0,11786,1850,3016,9732,11910
0,13056,2505,2453,9656,12808
305,12752,2658,2604,9568,12613
0,12724,2746,3260,9337,12730
0,12961,2586,2700,9920,12461
0,12857,2519,2807,9468,12320
0,12933,2842,2715,9858,13178
0,13271,3190,2804,9396,12348
0,12881,2417,2516,9633,12545
0,12932,2480,2608,9895,12324
0,13190,2809,2720,9861,12465
0,12970,2392,2414,9507,12776
0,12817,2869,3010,9768,12227
0,12839,2746,2666,9528,12585
0,12683,2813,2763,9808,12597
0,12598,2845,2882,9967,12658
0,13112,2552,2643,9872,13055
0,12946,2962,2955,9536,12225
0,12984,2509,2669,9356,12437
0,13064,2604,2512,9776,12660
0,13076,2904,2794,9981,13480
0,12873,2708,3035,9723,12660
0,13108,2852,2684,9730,12337
0,13308,3008,3507,9648,12385
0,13021,2762,2805,9700,12608
0,13395,1956,2544,9898,12566
0,13163,2969,2609,9614,12562
0,13385,3102,3098,9703,12526
0,13011,3101,3458,9604,11760
