Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,10297,5628,5437,19205,16530
1344,9962,6216,5354,19967,17084
1280,10259,5306,5314,19466,16275
743,9632,5192,5132,19949,16274
1565,9463,5544,5997,19782,15859
1805,9840,5631,4458,20154,16557
1209,10016,5953,5502,19393,16085
976,9536,4636,4876,19967,16704
740,9727,5524,5295,19829,16221
1348,10150,4944,5572,19547,15980
1694,10311,5871,5484,19756,16061
978,9653,5424,5759,19954,16008
950,9651,5416,5461,19965,16108
1219,9727,5572,5069,20074,16944
953,10138,5719,5403,19338,16687
895,9644,5631,5458,19828,16137
843,9757,5314,5196,18891,16388
1103,9801,5788,5259,18991,16417
1444,10308,5785,5507,19132,16156
511,10004,5844,5645,18776,16557
1290,10031,5634,5678,19784,15831
1080,10040,5726,5881,19811,17055
1280,9901,6001,5766,19604,16076
438,9708,5310,5203,19770,16268
1864,9769,5474,5424,19891,16347
1058,9955,5631,5258,19589,16344
1195,10690,5631,5603,19824,15904
1088,9780,6154,5455,19981,16063
1385,10078,5639,5308,20138,16294
917,9774,5808,5605,19688,16023
1287,9965,5539,5758,20017,16635
1250,9727,6058,4333,19217,16774
972,9829,5630,5637,19950,16089
1099,9773,6157,5347,19928,16096
1153,10417,5631,5584,19823,16264
914,9848,5758,5442,19042,16702
1402,9622,5684,5487,20053,15960
1041,9911,5456,5240,18932,16340
1535,9864,5450,5348,19693,16228
854,9551,5333,5237,19642,16290
899,9717,5631,6233,18746,16484
1386,9900,5789,3341,19695,16008
761,10084,4538,5223,19685,16397
1439,9897,6233,5553,19562,15971
922,9727,5522,5264,19738,16125
1368,9962,5563,6031,19692,16303
978,9623,5018,5182,19698,16302
842,8258,5560,5220,19928,16933
1610,9666,5588,4947,20366,16037
1164,9658,5597,4247,20672,15926
850,9626,5560,5233,19888,16081
1075,9920,5592,5425,19392,16584
1088,9755,5877,5628,19556,16365
1061,10489,5364,5533,19081,16197
1324,9972,5990,5646,19556,16016
896,10101,5494,5373,20181,16320
1418,9653,5908,5631,19685,16007
1535,10198,5674,5584,19740,15917
1338,9627,5706,5915,19532,16772
793,9600,5196,5360,19664,16216
1174,10524,4287,5776,19736,15923
1437,9944,5408,5225,19606,16146
1052,9448,5868,5380,20020,15623
1365,10024,5947,5514,18298,16679
1709,9838,5387,5221,19685,16391
0,10258,5631,5920,19589,16557
1442,10128,5954,5468,19712,15872
1535,9454,5425,4956,20278,16156
712,9575,5163,5060,19987,16004
308,9992,5178,5548,19209,16879
2101,9962,5852,5012,19870,16324
904,9709,5977,5143,19652,16264
762,9825,6438,5504,19800,15871
1205,10050,4886,5516,19354,16124
1140,9844,5707,5732,19822,15871
1048,9788,5666,5324,19646,16257
873,9453,5371,5234,19948,16030
1181,9727,5400,5422,19579,16277
1332,9758,5631,5414,19611,16162
964,9712,5690,5317,19842,15906
1220,9749,5281,5049,19987,16352
1420,10048,5326,5551,19391,16216
675,9674,5247,5290,19899,16178
1129,9948,5213,5631,19769,15847
1245,10170,5736,5509,19939,16180
1181,9668,5668,5182,19967,17681
1328,10260,5942,5624,19549,15745
1603,10385,5852,5594,20008,16113
1108,9321,4836,5186,19654,16544
1535,9864,5360,5145,19887,16151
1157,9728,5366,5205,20014,15927
1919,10290,5500,5510,19475,16197
1272,10859,5468,5392,19314,16334
1307,9961,5437,5173,19615,15979
1527,9842,5436,5335,19707,16346
1535,9994,5798,5420,19525,16170
1529,10140,6165,5489,20073,16603
1118,9792,5597,5446,19967,16404
1370,10754,5655,5631,19529,15183
774,10601,5061,5273,19907,15671
1166,9977,5464,5516,19366,15474
1384,9780,5291,5042,19985,16032
824,10057,5302,5546,19366,16237
1580,9849,5864,5631,19915,15974
1138,9658,5813,5412,19974,16212
1322,10160,5640,5463,19371,16119
1133,9826,5641,5624,20275,16110
1325,10016,5514,5225,19574,16128
893,9650,5509,5290,19967,16144
1368,8584,5912,6499,20254,16149
2265,10060,5503,5607,19710,15871
1629,8398,5612,5193,19904,16593
1310,10377,5751,7202,19741,15136
2087,9755,5862,5008,19804,16047
965,10036,5545,5388,19863,15956
1253,9079,5457,6190,19929,16036
860,9768,6220,5009,19681,16456
910,10125,5313,5067,20046,15955
616,9827,6058,5367,19850,15925
1227,9727,5618,5750,19703,16301
1576,9727,5739,5248,19900,16623
1079,9844,5393,5426,20046,16021
1535,9964,6162,5336,19574,16268
1236,9689,5372,5358,19877,17061
1389,9904,5904,5906,19690,15953
1259,9754,5619,5280,19788,16355
1295,9727,5148,5208,19967,16102
928,9567,5738,5440,19853,15700
1404,9627,5566,5268,19650,16316
1141,9953,5685,6164,19652,16359
930,9651,5662,5300,19831,16341
1696,9993,5756,5460,21008,16013
1161,9380,5405,5334,20886,16173
1438,9889,4960,5395,19761,16011
1547,9728,5678,5324,19625,16445
1201,9788,5576,5378,19798,16452
1232,9665,5528,5398,19964,16057
1485,9856,5873,5224,20032,16032
1552,9902,6327,5266,19697,16292
1124,9884,5481,5487,19664,16338
1420,9868,5938,5034,19681,16429
925,9753,5731,5631,19760,16161
1062,9682,5897,5307,19867,16129
1098,9798,5859,5653,19684,15901
932,9607,5622,5631,19684,16006
1395,10177,5866,5613,19659,15936
1199,10072,5984,5207,19284,16413
1371,9768,5745,4859,19559,16000
1535,9708,5959,4759,18904,16310
1510,9994,5281,5072,19859,16452
1372,9727,5664,5540,19799,15871
1279,9778,5631,5334,19509,16174
559,9897,5821,5222,19614,16887
1166,9438,5418,5065,20173,16217
1383,9727,6096,4987,19608,16260
