Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
1296,10028,5491,5449,24070,16004
1416,9947,5304,5731,24591,16174
1284,9727,6226,4732,24632,16057
1151,9884,5342,5537,24252,16236
1586,10319,4729,5314,24352,16166
724,9725,5154,5578,24448,16017
1240,9883,5272,5670,24366,15987
1211,9763,5334,5697,24181,16238
1323,9853,5585,5481,24063,16158
1327,9576,5004,5352,24736,16023
936,10395,5276,5412,24296,16168
1557,9727,5334,4715,25005,15877
1340,10153,5320,5552,24463,15719
700,9960,4164,5753,24912,15797
1496,9974,5633,5376,24192,16019
994,9994,5405,5466,24063,16065
1532,9576,5020,5421,24706,16030
1555,10015,5376,5896,24498,15980
1282,9868,5427,5867,24200,15862
924,9610,5520,4362,25086,16092
1475,10043,5586,5713,24784,15779
1056,10758,5215,5098,24381,16202
1344,10120,6285,5681,24252,16181
1535,10090,5201,4378,24053,16166
1118,9713,5373,5221,23865,16306
1045,9761,5976,5354,24196,16295
1053,9597,5257,5288,24540,16038
2369,9996,5612,5810,24404,15720
1138,9785,5287,5387,24539,16083
1299,9870,5744,5816,24237,15871
1220,8620,5342,5706,24184,16003
1279,10048,5906,5696,23554,16057
1188,9734,5631,5559,24616,15964
912,9506,5275,4629,24852,16133
1535,10129,4596,5631,24063,15201
1192,9748,5569,5864,24668,16038
1353,9700,5475,5389,24183,15976
1363,9956,5836,5605,22945,16105
1368,11857,5309,5631,24470,16132
1267,10019,5690,5668,23968,16010
1490,10020,5503,5657,24314,15688
670,10048,5382,5411,24917,16111
1164,9747,4836,5408,24623,15974
1535,9966,5553,5618,24118,15788
1240,10068,6350,5417,24205,16213
1397,10063,6198,5446,24205,16792
1216,10025,5283,6279,24362,16619
1328,9801,5777,5477,24513,16232
1930,10135,6081,5725,24901,15871
1324,10866,5604,5811,24368,15671
1314,9994,5283,5457,24222,16154
1182,9935,4894,5640,24866,15366
1263,10182,5498,5631,24030,15462
377,9816,5684,5191,24171,16253
1192,9888,5481,5603,24173,16305
1056,9851,5174,5436,24468,16043
1197,9912,5466,5546,24408,16139
925,10011,4903,5403,24580,16054
1477,9992,5684,5860,24260,15624
110,9727,5264,5721,24109,17222
1331,9794,5186,5008,24409,16272
1156,10645,5225,5203,24621,16740
791,9435,5136,5393,23743,16272
1120,9727,5076,6147,24168,15948
2,10513,6290,5346,24162,16020
493,9808,5198,5246,23648,16840
1262,9813,5366,5287,24772,16331
708,9723,5185,5364,24413,16240
1160,9392,5583,5188,24660,15940
1063,10340,5192,5647,24272,15951
1476,10048,7936,5821,24353,16017
1603,9365,5376,5829,24523,15935
1920,10694,5439,5546,24350,15870
1535,8782,5269,5769,24101,16074
1197,9723,5247,5495,24247,15824
3922,10079,5725,5752,24152,16086
1102,9935,5816,5244,24145,16133
1450,9869,5478,5637,24319,15786
1176,9727,5288,5416,24592,15828
1379,9864,5682,5370,24342,16066
1242,9688,5047,5409,24450,16247
1232,9712,3783,5151,24221,16264
1231,9938,5460,5410,24414,16023
1582,9436,5404,5791,24106,15871
1529,10582,5630,5659,25058,15871
880,9556,5278,5490,24427,15959
1840,10410,5450,5827,24283,15735
1519,9772,5389,5332,24534,15963
1371,10061,6267,5352,24129,16434
1056,9726,5132,5336,24501,16036
973,9751,4916,5626,24063,15278
1579,10180,6338,5631,24246,15118
1372,10117,5543,5644,24051,16049
2090,10050,5292,5470,24328,16155
1038,10093,5431,5021,24003,16491
1142,9859,5416,5573,24421,16072
1441,10304,5445,5631,24341,15878
1386,10267,5677,5609,24305,15871
1228,9878,5066,5801,24446,15892
1239,10037,4940,5384,24625,16012
0,9903,5674,6091,24579,16002
1401,10284,4412,5656,24063,14880
1289,10304,5378,5608,24026,15987
