Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,11518,4971,3469,8040,12828
0,11584,4890,3316,8880,13147
0,11618,4600,3106,7972,12972
0,11465,3899,3166,7872,13136
0,11322,5006,3939,8029,13494
0,12436,4601,3146,8040,13180
0,11471,4349,2935,7726,13322
0,11292,4459,2218,8212,13180
0,11552,4903,3432,8281,12830
0,11512,4969,3218,7679,13104
0,11121,3512,2964,8081,13344
0,10482,4607,3113,7881,12407
0,11873,5096,3092,7514,13003
0,11476,4542,2998,8401,13030
0,11556,4607,3408,8208,13368
0,12610,4892,2266,7541,13202
0,9770,4700,3305,8082,12948
0,11309,4174,2519,8239,13323
0,11230,4689,3882,8071,13285
0,11641,4850,3617,8216,13020
0,11207,4443,2862,8122,13274
0,11180,4480,2975,8505,13167
0,11660,4607,3317,7968,13774
0,11696,4812,3386,7994,12985
0,11438,4926,2820,8233,13398
0,11409,4937,3028,8256,12532
0,11145,4607,3143,7967,13204
0,11558,4899,3176,8165,13157
0,11128,4835,3213,8260,13615
0,11536,4607,3146,8323,13225
0,12004,4944,3512,7833,13860
0,11723,4607,3373,8241,13599
0,11386,4559,3340,8049,12964
0,11665,4733,3443,8276,13340
0,11657,4896,3456,8071,11708
0,11609,4744,3522,8311,13401
0,11946,4898,3582,8304,12731
0,11666,5049,2952,8002,13275
0,11519,4992,3445,8096,13136
0,10690,4418,3265,7908,13028
0,11613,5138,3245,8452,13080
0,11670,5631,3605,8242,13040
0,11446,4717,3296,8475,13109
0,11437,4836,3319,8088,12888
0,12056,4677,3193,7927,13337
0,11144,4881,3723,8169,13271
202,11221,5085,2868,8104,12410
0,11505,4939,3451,8316,12799
0,11123,4656,4897,7720,13329
0,11355,4738,3265,8447,13015
0,10432,4607,2793,8015,13331
0,11440,4607,3032,8201,12697
0,11600,4739,3196,8742,12566
0,11680,4785,2654,8502,13158
0,11013,4572,3076,8004,13396
0,11309,4376,3108,8139,13254
0,11661,4650,3326,8464,13254
0,11488,4563,3113,8514,13200
0,11865,4844,3312,7136,13498
0,11338,4717,2880,6783,12830
0,13681,4956,3361,7974,12827
0,11270,4607,3233,9365,13253
0,11189,4449,2929,7768,13121
0,11836,4648,3252,8352,13048
0,11492,4458,2900,8526,13147
0,11373,5024,2836,8224,13249
0,11640,4985,2740,8352,12895
0,11741,4849,3376,8408,12996
0,11982,4579,3306,8053,12968
0,10599,4338,3283,7794,13101
0,11157,3626,2932,8679,13277
0,11533,4894,3415,8310,13060
0,11164,4912,2686,8052,12912
0,11367,4739,2858,8048,13394
0,11329,4747,2786,7933,12969
0,11662,4973,3434,8018,12008
0,12242,5221,2930,6643,13407
0,11470,5758,2989,8386,13101
0,11563,4970,3324,8117,12988
0,11189,4648,3399,8128,13271
0,11165,4254,3345,7899,12057
0,11750,5191,3484,8326,13056
0,11609,4605,3111,7846,13268
0,11494,5631,3848,7643,13402
0,11093,3447,3241,7867,13142
0,11585,4540,3076,8399,13633
0,11186,4476,2811,8151,13328
0,11342,5521,2815,8234,13329
0,11503,4596,3012,8237,13264
0,11116,4653,3434,8066,12864
0,11646,4747,3336,7754,13157
349,11426,4640,3148,8129,13339
0,11394,4690,3302,8082,12885
0,11169,4695,3158,7845,13477
0,11494,4601,3093,7618,12949
0,11520,4570,2964,8033,13204
0,11138,4645,2456,7677,13374
0,11418,4668,3205,7976,13500
0,11568,4544,3041,7349,13290
0,11276,4545,2979,8467,13095
0,11473,4584,3335,8363,13120
0,11680,4618,3288,8336,13988
0,11458,4557,3318,8342,13122
0,11370,4540,3266,8132,13281
0,10845,4603,3092,8058,13277
0,11526,4644,2960,8214,13279
0,11662,4663,2869,8404,12995
0,11764,5083,3630,8256,13182
0,11503,4465,2877,7640,13335
0,11382,4763,3171,7942,13092
0,10535,3632,4237,8090,13222
0,12023,4312,2848,6526,13628
0,8770,4862,3411,8135,12799
0,11477,4977,3486,8043,12764
0,10751,4557,2995,8082,12364
0,11998,4724,3176,7938,13216
0,11213,4473,3144,8097,13570
0,11513,4674,3152,7818,13240
101,11457,4273,2961,8213,13106
0,11355,4504,2353,8442,13250
117,11353,4580,3756,8142,13269
0,11622,4699,3337,8322,12997
0,11560,4544,3011,8386,13152
0,11775,4567,3102,7981,12952
0,11760,4016,3112,8332,13632
0,10539,4807,3130,7990,12992
0,11562,4607,3112,8813,13100
0,10929,4049,3104,7894,13113
0,11732,5033,3336,8221,12697
0,11335,4623,3206,7914,13066
0,11627,4937,3425,8062,12898
0,11588,4885,3432,8123,12810
0,11464,4607,3120,8450,13129
0,11842,5200,3479,7578,13889
0,11391,4641,3915,8861,13041
0,11763,4494,2924,8440,13033
0,11478,4607,2990,8197,13125
0,11475,4645,3230,7776,13165
0,11717,4746,3399,8284,13144
0,11365,4608,3169,8430,13049
0,11310,4772,3126,8918,12841
0,11847,4870,3184,8320,13051
0,11182,4010,3335,8375,12928
0,12346,4716,3252,7976,13382
0,11198,4481,3304,7952,13084
0,11496,4438,2979,8372,13179
0,11240,3768,2433,8100,13064
0,11434,4560,2974,8156,13338
0,11425,4388,2921,8105,13336
0,11860,4762,3583,8138,13161
0,10408,3677,3254,8703,12641
0,11557,4916,3464,8287,13480
0,11588,5893,1952,8516,13132
0,11419,4600,3004,8392,13336
0,11313,4772,4113,7987,13403
0,11525,5142,3364,8104,13142
0,11725,4880,3277,8088,13021
24,11527,4775,3157,8480,13169
0,11529,4444,2946,8554,13694
0,11644,4965,3248,8497,13784
0,11104,4724,3109,7848,12742
0,11429,4492,2658,8225,13389
0,11530,4973,3317,8104,12844
0,11386,4607,3027,8454,12799
0,11688,5061,3482,8232,13435
0,11624,5012,3386,8050,12912
0,11794,4705,3139,7902,13059
0,11402,3986,3203,7876,12799
0,11712,4899,3384,7745,12932
0,12090,4571,2929,8251,13572
0,11597,4986,3392,8104,13396
0,11720,5039,3449,8056,13823
0,11287,4874,3266,8382,12789
0,11344,5437,4034,7945,13345
0,11768,4712,3364,8331,13124
0,11653,4229,3385,7275,13225
0,11923,4669,3336,8192,12905
0,11457,4551,3095,8419,13200
0,11514,4612,2832,7669,13451
0,11848,4757,3292,8377,13076
0,11492,4189,3237,8114,13081
0,11686,5120,3705,8267,13577
0,11281,4789,3206,8109,12799
0,11570,4671,3253,7241,13246
0,11779,4795,3353,8230,13107
0,11003,5585,2860,8018,13415
0,11775,4907,2484,8318,13816
0,11493,4198,2930,8246,13367
0,11584,5050,3688,8017,12901
107,11408,5098,3633,8345,13272
706,11417,4797,3323,8260,13044
0,11855,5306,3208,8295,13077
0,11401,4648,3017,7684,13391
0,11488,4607,3124,8714,13102
0,11630,5057,3506,8149,12820
0,11342,4549,3196,8196,13132
0,11420,5264,4140,7994,13443
0,11312,4511,2939,8311,13241
0,11746,5047,3031,7761,13281
0,11224,4241,3016,7134,13064
0,11530,4733,2940,7735,13265
0,11386,4690,3413,8314,13200
0,11639,4674,3532,8230,12793
0,10981,4218,3245,8292,12914
0,11272,4706,2517,7962,12858
0,11168,4563,3372,8097,13236
0,11105,4322,2508,8237,13402
0,11441,4868,3274,7925,13160
0,11846,4620,3420,7378,13407
0,11267,4607,3333,8229,14034
0,11492,4553,2979,8028,13330
0,11840,4755,3219,8356,12948
0,11616,5009,3367,8274,12898
0,11739,4582,3027,8397,13202
0,11864,4859,2996,8243,13107
0,11443,4607,3124,7809,13118
0,11487,4962,3337,8090,12916
0,11734,4682,3333,8300,13048
0,11856,4863,2848,6973,13541
0,11178,4758,3190,8295,12919
0,10594,3048,3181,7918,12909
0,11775,4905,3332,9280,12824
0,11708,4990,3400,7983,13126
0,11749,4793,3381,8244,13035
0,11588,4562,2936,8260,13324
0,10985,4266,3138,7928,13097
0,11479,4850,3263,8085,12955
0,11708,5071,3515,8244,13532
0,11107,4470,2935,8168,13216
0,11852,4657,3361,8233,13264
0,11588,4910,3384,8028,12799
0,11275,4527,2090,8475,13000
0,11623,4168,3491,8150,11977
0,11775,5021,3158,8389,13988
112,11301,5067,3255,8064,13418
0,11942,4711,3159,8209,13178
0,11394,4465,2952,8132,13261
0,11493,4570,3408,8214,13029
0,11538,4759,3583,8440,12998
0,11430,4616,3113,8825,13169
0,11333,4647,3148,8634,13047
0,11490,4712,3253,7113,13233
0,11360,4863,3388,8244,13176
0,11643,4690,3240,8971,12912
0,11476,4827,3264,8097,12850
0,10751,3527,3432,8058,12651
0,11145,4523,2927,8200,13157
0,11493,4737,2952,8281,13250
0,11237,4827,3236,8291,12407
153,11371,4306,2935,8093,12416
0,11531,4628,3021,8380,13803
0,11752,4847,3500,8136,12966
0,11720,5027,3416,8469,12864
0,11432,4776,3247,7901,13098
0,11445,4432,3098,8242,13064
0,11512,4830,3191,8384,13161
45,11540,5025,3640,7254,13225
0,11241,4456,2940,8396,13202
0,11754,4845,3689,8202,12921
0,11544,4932,3458,8219,12799
0,11546,4916,3274,7969,13145
0,11437,4740,3108,9408,13044
0,11499,4958,3161,7984,13273
0,11182,4643,2409,8151,12764
0,11609,4478,2907,8521,13255
0,11366,4820,3304,8572,12988
0,11358,4430,2868,8234,13352
0,11475,4821,3206,8059,12800
0,11772,4969,2970,8104,13159
0,11560,4458,2815,8282,13404
0,11741,5052,3688,8218,13921
0,11585,4951,3438,8277,12974
0,11157,4564,2975,7204,13471
0,11775,4804,3371,8052,13128
0,11294,4456,2625,8271,13347
0,11918,4760,3396,8937,12873
0,11368,4896,3278,8289,13069
0,11559,4704,3338,8426,13341
0,10918,4205,3531,7868,12794
0,11431,4384,2935,8268,13427
7,11396,4734,3139,7872,13105
0,11674,4986,3467,7956,12519
0,11152,5239,3859,8025,13588
665,11385,5187,2902,7935,13431
0,10414,4472,3257,8130,13001
0,11564,4892,3285,8573,12804
0,11091,4977,3993,8301,13269
0,11406,4610,3137,7679,13082
0,11299,4956,3264,7935,13088
0,10412,4712,2940,8233,13285
157,11402,5318,4013,8100,13967
0,11515,4958,2280,7698,13265
160,11225,5139,3571,8043,13269
0,11515,4707,3247,8365,12935
0,11439,4832,3401,7867,13164
0,11302,4402,2312,7979,13228
0,11475,5042,3364,8220,12975
0,11311,4373,2546,8167,13328
0,11420,4615,3507,8439,13131
0,11471,4609,3118,8436,13003
0,11203,5308,3400,8355,13169
0,11265,4548,2991,8087,13172
0,11474,4621,3001,8412,13154
0,11410,5140,3693,7845,13400
0,11928,5020,3322,7888,13398
0,11200,4674,3343,8452,12956
0,11177,4881,3276,8994,12911
0,11598,4833,3344,8111,12558
0,11425,4775,3364,8198,12808
0,11375,4588,3268,8418,13110
0,11350,4606,2931,8125,13363
102,11428,4366,3374,8363,13823
0,11395,4527,2931,8476,12960
0,12084,4726,3339,7992,13236
0,11032,4678,3730,8151,12895
0,11204,4634,3136,8336,13734
0,11408,5000,3529,8148,12903
0,11034,4361,3077,8298,13468
0,11316,4636,3153,8315,13190
0,11748,5129,3372,7216,12957
0,11300,4999,3576,8148,12124
0,11380,4978,3460,7765,12999
0,11053,4608,3372,8055,12949
0,11316,4912,3017,8263,12803
0,11357,4424,2910,8786,13198
0,11288,4931,3401,7992,12799
0,11189,4508,3017,8067,13238
0,11370,4771,3248,8219,12993
0,11296,4569,3038,8584,13256
0,11444,4138,2838,8521,13336
0,11432,5385,3044,7318,13343
0,11529,4836,2840,7115,13224
0,11418,4771,3205,7981,12971
348,11524,5287,2949,8001,13718
0,11179,4682,3298,8755,13016
0,11416,4607,3145,8512,12439
0,11105,4451,2934,7982,13252
0,11417,4592,1835,8098,13173
0,11301,4796,3251,8130,13097
0,11430,4956,3434,8125,12967
0,11373,4867,2688,8272,12799
