Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
853,7923,3362,3568,11989,14592
501,7966,3653,3437,11672,13764
355,8984,3649,3461,11904,14348
625,8397,4566,3636,10768,14740
635,8356,4324,4056,11765,14210
511,8096,3774,3670,11946,14656
1535,8492,3822,3741,11722,14519
634,8531,3679,3583,11625,14072
294,7844,3873,3712,11621,14665
968,8497,3922,3967,11658,14366
395,8280,3520,3496,11669,14861
836,8626,3987,3886,11708,14344
650,8212,4170,3904,10965,14536
0,8885,3583,3495,11528,14743
511,8195,3652,3672,12011,14465
828,8342,3822,4113,11694,15224
637,8219,3922,3649,11817,14246
586,8256,3766,3890,11736,14408
721,8323,3708,3634,11443,14648
1024,8490,3916,4141,11696,14176
674,7528,3748,4125,11656,14410
746,8424,3709,2863,11631,14488
584,8512,3784,4160,11608,14738
675,8329,3856,3450,12088,14496
511,8336,3867,3671,11793,14425
576,8335,3724,3638,11972,14558
716,8145,4111,3465,11754,15333
1449,8128,4342,2559,12104,14732
0,7967,3643,3776,11551,14718
821,8610,3336,3776,12301,13639
988,8787,3931,3856,11638,14376
914,7983,3980,3835,11714,14456
538,7897,3703,3423,10696,15089
1078,7752,3733,3524,11775,14613
952,7910,3393,3501,11682,14684
181,7935,3583,3546,12532,14625
416,8237,3792,3706,12772,14657
737,8197,3595,4096,11669,14953
608,8555,3923,3724,11472,14773
240,9280,3445,3505,11775,14638
804,8089,3824,4202,11810,14520
511,8454,3583,3457,11805,14632
584,8036,2693,4153,11768,13772
4,8460,3884,3814,11142,14550
0,7624,3344,3632,11543,14492
730,8361,3923,4110,11498,14118
1241,8128,3444,3522,11670,14428
1001,8392,3695,3856,12451,14341
648,8166,4206,3575,11852,14893
0,8384,4020,3864,11304,14483
457,7934,3808,3718,11927,14720
676,8447,3976,3580,11550,14570
674,8360,3813,3776,11850,15628
439,8340,4238,3734,11492,14502
590,8416,3740,4008,11430,14622
616,8584,3751,4334,11472,14404
321,9056,3568,3582,11577,14589
501,8584,3720,3583,11866,14768
883,8403,4049,3885,11648,14443
1033,8384,3672,3745,11531,14686
604,8075,3368,3712,12008,14799
864,7841,3474,4688,11693,14377
662,8500,3753,3917,11775,14568
610,8297,3753,3602,11839,14556
641,8353,3676,3500,11453,14645
625,8130,3318,3536,11932,14572
1043,8561,3999,3812,11670,14492
1073,8276,3664,3550,11756,14814
873,8628,4433,3768,11606,14271
696,8584,3924,3737,12024,14458
1856,7824,3432,3381,11775,14705
516,6915,3654,3998,11708,14649
596,8443,2988,3671,11299,13614
857,7679,3717,3908,11624,15098
0,8674,3855,3841,11593,14465
668,8363,4245,5623,11544,14672
600,8098,4058,4209,11686,14212
649,8480,3648,3623,11684,14842
395,8703,3397,3583,11545,14667
449,8076,2632,3555,11787,13660
349,8100,3504,3904,11823,14152
888,8642,4121,3924,11680,14456
1562,8310,3217,3435,11853,15124
546,8148,3537,4285,11895,14630
605,8374,3349,3583,11435,13823
1434,8458,3908,3800,11696,14289
0,7704,3588,3511,11859,13809
0,8075,3401,3583,11519,14795
740,8607,3960,3916,11540,14181
970,8267,4245,3864,11475,14568
3145,8520,3910,3851,11768,14257
1164,8592,3638,3858,11790,14210
564,8138,3996,3310,11661,14881
664,8071,3777,3248,11674,14794
815,8020,3686,3291,12053,14404
449,8220,3724,4506,11536,14847
532,8282,4422,3404,12239,14564
650,8367,3707,3667,11517,14595
511,8257,3601,3616,11836,14520
861,7976,3517,4347,11765,14079
746,8869,3570,3685,11554,14431
1249,8592,3873,4012,11554,14373
1621,8140,3583,3622,11572,14806
980,8120,3486,3722,11849,14353
527,8418,4123,3807,11779,15205
637,8000,3518,3648,11866,14714
1066,7834,3989,4202,11636,14566
832,8340,3726,4020,11709,14868
1283,8139,4141,2754,11728,14808
521,8250,3984,3674,11362,14733
615,8158,3434,3616,11826,14480
578,8665,3614,5754,11338,14948
