Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
285,5533,1928,2336,6604,12912
100,5572,1130,2507,6764,12546
54,5962,2184,2643,6373,13021
219,6087,2244,2674,6576,12799
0,5968,2181,2732,6513,12658
281,5609,1870,2604,6707,12799
581,6300,2580,2833,6610,12703
0,6780,2207,2535,6629,12932
0,5832,2328,2413,6987,12662
77,5808,1866,2197,7127,13050
265,5827,2156,2641,6753,12858
0,6156,2488,3042,6700,12399
449,6294,2268,2517,6591,12594
937,6362,2185,2602,6560,12895
448,5897,2248,2652,6935,12719
361,6310,2559,3716,6592,12616
280,5712,2181,1307,6804,12943
609,6291,2452,2765,6888,12682
462,6392,1605,2913,6523,11790
476,5881,2462,2807,6764,13085
925,5779,1930,3268,6575,12844
141,6014,2351,2582,6237,13057
0,5631,2114,1737,6703,12751
31,5937,2304,2944,6675,12428
387,6031,2368,3214,6532,13200
511,6181,2563,2886,6634,13263
34,6034,2140,2881,6796,12559
492,5895,2806,2399,6540,13013
322,5764,2138,2336,7121,12868
358,5885,2150,2952,6877,13088
0,5995,2049,1923,7104,12798
0,5895,1878,2409,6530,13023
493,6356,2690,2324,6638,12799
500,4656,2167,2534,6769,12877
343,5842,2608,2651,6959,13002
602,6251,2549,2651,6610,12690
476,6612,1978,2778,6866,12622
325,6289,2559,2983,6200,12522
458,6435,2384,2895,7250,12630
364,5864,2296,2600,6554,12669
475,6087,2292,2776,6432,12728
596,5799,2241,2728,7050,12606
511,6025,2233,2558,7289,13159
577,6498,2192,2846,6883,12586
173,5805,2216,2783,6324,12233
360,5825,2482,3273,6251,13150
490,6018,2305,2372,6875,11775
249,5925,2449,2672,6829,12748
435,5827,2763,2718,6781,12868
661,6358,2565,2888,6659,12518
550,5781,2172,2760,6890,12709
0,5952,2430,2772,6820,12755
594,5979,2255,2606,5609,12807
511,6260,2544,2952,6651,12577
631,5192,2559,2859,6675,12869
408,5705,2199,2062,6917,12730
46,5863,2363,2787,6685,12477
322,5738,2160,2424,6978,12836
402,6033,2567,2747,6520,12977
0,5834,3155,2612,6467,13032
203,5997,2600,2560,6458,12950
0,6004,2324,2676,6693,11900
743,5921,2296,2915,6936,12512
118,5704,2001,2559,6737,12725
241,5782,2251,2855,6700,13495
168,5713,2051,2938,7010,12805
427,6296,2123,2658,6448,13043
0,6655,2056,3778,6713,13086
472,6392,1964,2496,6710,12711
461,6323,2502,2931,6442,12588
0,5569,2220,2656,6330,12476
562,6274,2559,3137,6620,12428
259,5854,2356,2820,6689,12799
0,6524,2311,3088,6428,13047
419,6361,1823,2553,6866,12821
446,5995,2252,2229,6724,12974
195,6397,1706,2389,6633,13025
599,6557,2325,2798,6770,12609
34,5637,2617,2772,6770,12492
0,5408,2202,3026,6549,12845
1301,6081,2429,2917,6655,12360
776,6730,2476,3013,6627,12380
416,6472,2186,2712,6917,12668
648,6427,2217,2717,6661,12528
862,6683,2956,2696,6658,12871
0,6248,2141,3041,6582,13513
159,5887,2083,2594,6278,12971
115,5863,2356,2992,6845,12914
593,6318,2532,2240,6456,12792
350,5430,2252,2941,6309,12765
410,5815,2423,2694,5863,12813
357,6097,2494,2664,5566,12954
476,5896,2172,2418,6588,12954
113,5684,2196,2557,6787,12215
639,6169,2831,2842,6262,12549
0,5892,1900,2406,6911,12795
388,5974,2324,3260,6670,13044
389,5847,1812,2579,6480,12332
337,6170,2211,3074,6796,12421
452,5965,2444,2650,7066,12891
268,5749,2291,2660,6802,12435
797,6152,2665,2704,5481,13179
1314,5846,1752,2394,6468,12775
650,6216,2476,2927,6402,12669
451,5975,2456,2479,5838,13096
632,6266,2371,2968,7317,12538
511,6352,2170,2527,6958,12865
95,6242,2355,2917,7302,12773
548,6012,2206,2696,6524,12513
128,5631,2185,2728,6754,12880
674,5508,2538,3392,6655,12361
381,6059,2113,2553,6370,12927
493,6687,2185,2739,6400,12609
493,5943,2320,2564,6517,13107
51,5714,2299,1706,6984,12977
422,5952,2428,2496,6711,13047
