Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
400,10296,1920,2298,8991,11296
0,10442,2357,2559,9408,11171
0,10304,1944,2209,9529,11268
0,10370,2557,2169,8498,11358
0,10053,1827,2115,9361,11300
0,10473,2490,2461,8921,10988
0,10052,1928,2285,9237,11309
0,10829,2018,2322,8980,11032
0,10000,2250,2160,9427,11148
0,10432,2429,2559,9387,10980
0,10610,2244,2461,9441,11165
0,10393,2432,3247,9348,11022
0,10544,2065,2244,9715,11126
0,10712,2494,2559,9485,11090
0,10442,2425,2793,9164,10804
0,9727,2020,2265,9441,10924
0,10137,1909,2157,9356,11412
0,10381,2482,1992,9374,11810
0,9525,1403,2381,10290,10861
0,9929,2294,3166,9234,11575
0,9923,1901,2299,9618,11560
0,8397,2464,2084,9094,10944
0,9444,1796,2462,9140,11006
98,9330,3106,2250,8860,11186
0,10388,1906,2257,8920,10919
0,9670,2153,2636,9388,10830
0,9467,1776,2900,9143,11448
0,9881,1931,2309,9408,11223
0,9510,1811,2184,9231,11373
0,9230,2400,2064,9256,11384
0,9610,2154,2073,9507,11109
0,9448,1803,2415,8941,11000
0,9301,986,2337,8943,11073
0,9414,2074,2588,9354,11094
0,9281,1769,2372,8977,11061
0,8888,1740,2311,9320,11682
0,9384,1701,2338,9504,11186
0,9397,1832,2318,9483,11114
0,9031,1622,2249,9400,11398
0,9064,1737,2186,8703,11437
0,9301,891,2696,9258,11062
0,9065,1725,2274,9552,11271
0,8992,1395,2067,9168,11222
0,9069,1589,2320,9864,11108
0,9106,1913,2280,9591,11040
0,8979,1690,2431,9061,11169
0,9162,1987,2308,9086,11121
0,9045,1849,2199,9894,11212
0,8863,1501,2230,9484,11359
0,8913,1644,2333,9085,11108
0,9352,1535,2324,9132,11284
0,9113,1896,2888,9686,11174
0,8684,1650,2313,9634,10992
0,8701,1613,2288,9031,11066
0,8870,1624,2317,9530,10403
0,8725,1258,2208,8536,11473
0,8827,1628,2320,9477,11017
0,8861,1651,1629,8997,11588
0,8814,1738,2570,9324,10907
0,8778,1160,1700,9355,11035
0,8923,1492,2370,9418,11296
0,8377,1693,1808,9216,11023
0,8737,1688,2546,9305,10803
0,8987,1568,2200,9227,11368
0,8802,1624,2361,8917,11304
0,8703,1609,2558,8971,11056
0,8632,1755,2559,8929,11060
0,8981,1678,2301,10029,11081
0,8512,1340,2114,9136,11347
0,8140,1535,2559,9526,11272
0,8760,1555,2246,9218,11381
0,8484,1430,2372,9552,11145
0,7987,1324,2283,9467,11104
0,8128,1194,2070,9248,11383
0,8587,1479,2384,9168,11172
0,8512,1579,2450,9468,10853
0,8097,1365,2490,9723,11042
0,8667,1152,2332,8917,11188
0,8197,1435,2588,9219,10852
0,8102,1516,1724,9391,10869
0,8703,1146,2111,9161,11740
0,8125,1535,2500,9256,10944
0,8117,1535,2592,9287,11075
0,8056,930,1899,9361,11422
0,7780,1241,2257,9344,11128
0,7959,1531,2452,9958,10605
0,7712,1175,2087,9251,11368
0,8290,1705,2287,8611,11011
0,8169,1294,2448,8812,11171
0,8164,1496,2551,9506,10896
0,7934,1425,2559,8703,11147
0,7941,1484,2718,9570,11051
0,7528,874,2522,9487,10916
0,7706,1327,2579,8940,11645
0,8160,1112,2338,9064,11121
0,7108,1234,2318,8876,11096
0,8071,1441,1801,9063,11088
0,7508,1163,2703,9152,11391
0,7217,773,1922,9357,11336
0,7755,1074,2338,9459,10586
0,7853,957,2638,9420,11444
0,7945,1044,2099,9169,10948
0,7793,1367,2112,9357,10938
0,8232,1224,2304,9021,11393
0,7837,1031,2373,9433,11063
0,7809,1085,2586,8983,11103
0,7438,1535,1996,9244,11351
0,7366,802,2358,9137,10959
0,7451,1080,2514,10283,11060
0,7476,273,2008,9363,11436
0,7668,1333,2511,9224,11019
0,7368,1050,2416,9095,11002
0,7037,283,2224,9159,11365
0,7586,1240,2260,9968,11106
0,7685,944,2001,9459,11102
0,7474,1133,2559,8826,11023
0,7720,1266,2474,8887,11070
0,7744,1167,2416,9433,10990
0,7350,1053,2752,9595,11060
0,7625,1265,2774,9727,11047
0,7688,938,2360,9465,11191
0,7721,1114,2584,9295,11844
0,7563,1209,2489,9254,11102
0,7651,1313,2274,9384,10488
0,7571,787,2629,9409,11016
0,7302,728,2264,9421,11752
0,7633,885,2330,9431,11092
0,7404,833,2184,9688,11205
