Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,0,0,2559,5474,10711
0,0,0,2698,5392,11189
0,0,0,2396,5296,10751
0,0,0,2996,5226,11133
0,0,0,2443,5382,10598
0,0,0,2639,5584,10668
0,0,0,2247,5546,10893
0,0,0,2485,5521,10624
0,0,0,2596,5555,11333
0,0,0,1879,5368,10849
0,0,0,2483,5484,10591
0,0,0,1988,5432,10920
0,0,0,2058,5423,11115
0,0,0,1910,5394,10810
0,0,0,2131,5299,11505
0,0,0,2153,5165,11068
0,0,0,2476,5631,10805
0,0,0,2370,5725,10837
0,0,0,2186,5639,10957
0,166,0,2273,5248,10986
0,0,0,2355,5600,10897
0,0,0,2376,6366,10914
0,0,0,2240,5226,10847
0,0,0,2504,6304,10841
0,0,0,2268,5183,10872
0,0,0,2364,5419,10764
0,0,0,2208,5631,10992
0,0,0,2179,5611,11110
0,0,0,2297,5828,10794
0,0,0,1883,5354,11144
0,0,0,2548,5440,10790
0,0,0,2289,5081,10957
0,0,0,2163,5474,11144
0,0,0,2289,5541,11497
0,0,0,2519,5383,10330
0,0,0,2214,5145,11045
0,0,0,2224,5634,11003
0,0,0,2388,5421,10849
0,0,0,2389,5372,10800
0,0,0,1958,5580,11134
0,0,0,2241,5691,10898
0,0,0,2069,5200,11094
0,0,0,2376,5562,10842
0,0,0,2539,5379,10761
0,0,0,2206,5210,10993
0,0,0,1892,5421,11124
0,0,0,2222,5506,10808
0,0,0,1870,5590,11221
0,0,0,2156,5424,11016
0,0,0,2316,5344,11288
0,0,0,2222,5072,10951
0,0,0,2292,5656,10848
0,0,0,2232,5662,10994
0,0,0,2506,5396,11513
0,0,0,2117,5563,11098
0,0,0,2387,5555,11016
0,0,0,2327,5280,10751
0,0,0,2578,5582,10626
0,0,0,2184,5307,11210
0,0,0,2539,5524,10718
0,0,0,1856,5556,10728
0,0,0,2120,5008,11042
0,0,0,2274,5309,11221
0,0,0,2337,5603,10874
0,0,0,2297,5576,10866
0,0,0,1967,4945,11135
0,0,0,2066,5486,11025
0,0,0,2469,5392,10809
0,0,0,2061,5378,11106
0,0,0,2240,5748,11381
0,0,0,2203,5255,11160
0,0,0,2452,5308,10708
0,0,0,2388,5340,10750
0,0,0,2234,5138,10917
0,0,0,2559,5525,11416
0,0,0,2416,5370,10751
0,0,0,2145,5541,11021
0,0,0,2182,5192,11016
0,0,0,2512,5483,10717
0,0,0,2344,5078,10906
0,0,0,2497,5434,10751
0,0,0,2242,5588,10823
0,0,0,3234,5281,10900
0,0,0,2280,5050,10903
0,0,0,2569,5634,10640
0,0,0,2351,5421,10874
0,0,0,1977,5409,11136
0,0,0,2430,5375,11073
0,0,0,2262,5032,10996
0,0,0,2523,5380,11006
0,0,0,1732,5744,11032
0,0,0,2391,6443,10851
0,0,0,2167,5356,11342
0,0,0,2520,5464,10680
0,0,0,2101,5542,11136
0,0,0,2442,5460,10784
0,0,0,2398,5047,10900
0,0,0,2608,5468,10830
0,0,0,2377,5070,10896
0,0,0,2996,5440,11141
0,0,0,2410,5320,10753
0,0,0,2156,5648,11043
0,0,0,2169,5321,11050
0,0,0,2214,5384,11304
0,0,0,2412,5184,10891
0,0,0,2130,5693,11088
0,0,0,2220,5344,11149
0,0,0,1472,5450,10751
0,0,0,2260,5334,11140
0,0,0,2414,5301,10751
0,0,0,2352,5184,10892
0,0,0,2088,5726,11166
0,0,0,2298,5625,10914
0,0,0,2090,5564,11102
0,0,0,1885,5512,11018
0,0,0,2303,5672,10900
0,0,0,2496,5864,10652
0,0,0,2241,5301,11027
0,0,0,2280,5167,11014
0,0,0,2319,5530,10752
0,0,0,2263,5271,11034
0,0,0,2098,5504,11100
0,0,0,2461,6036,10838
0,0,0,2282,5537,11049
0,0,0,1988,5422,11216
0,0,0,2276,5648,10915
0,0,0,2529,5588,10641
0,0,0,2346,5161,10987
0,0,0,2284,5194,10980
0,0,0,2074,5374,11141
0,0,0,2217,5444,11036
0,0,0,2016,5569,11085
0,0,0,2559,5423,11166
0,0,0,1969,4998,11118
0,0,0,2163,5716,11012
0,0,0,2305,5204,11309
0,0,0,2349,5560,10844
0,0,0,2427,5629,10811
0,0,0,2361,5220,11022
