Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
0,0,0,2142,6585,10488
0,0,0,1988,6506,10652
0,0,0,1975,6655,10308
0,0,0,2453,6823,10164
0,0,0,1970,6097,10572
0,0,0,1852,6423,10751
0,0,0,2192,6559,10482
0,0,0,2266,6345,10677
0,0,0,2189,6561,10578
0,0,0,1792,6450,10821
0,0,0,3243,6374,10732
0,0,0,1190,6721,10661
0,0,0,2150,6655,10428
0,0,0,2214,6345,10453
0,0,0,1874,6164,10751
0,0,0,2068,6385,10707
0,0,0,2009,6682,10568
0,0,0,2065,6235,10012
0,0,0,2120,6338,10712
0,0,0,2001,6644,10426
0,0,0,2175,6303,10196
0,0,0,2546,6450,10300
0,0,0,2159,6560,10418
0,0,0,1661,6349,10770
0,0,0,2313,6403,10245
0,0,0,2224,6347,10323
0,0,0,2058,6580,10193
0,0,0,1911,6532,10690
0,0,0,2120,6330,9476
0,0,0,1771,6376,10642
0,0,0,2196,6783,10417
0,0,0,2216,5468,10400
0,0,0,2258,6258,10365
0,0,0,2070,6286,10630
0,0,0,2443,6379,10252
0,0,0,2256,6295,10335
0,0,0,1996,6674,10745
0,0,0,2198,6344,10306
0,0,0,2171,6354,10750
0,0,0,2215,6676,10527
0,0,0,1815,6447,10349
0,0,0,2224,6369,10771
0,0,0,2088,6446,10541
0,0,0,2416,6560,11458
0,0,0,2073,5505,10560
0,0,0,2416,6551,10794
0,0,0,1828,6539,10643
0,0,0,2249,6329,10159
0,0,0,2336,6365,10006
0,0,0,1867,6426,10713
0,0,0,2316,6300,10455
0,0,0,2295,6464,10144
0,0,0,2001,5929,10875
0,0,0,1805,6338,10659
0,0,0,1827,6477,10751
0,0,0,1772,6420,10727
0,0,0,2007,6346,10782
0,0,0,1868,6605,10589
0,0,0,1990,6345,10751
0,0,0,1493,6099,10499
0,0,0,2116,6012,10552
0,0,0,2256,6267,10709
0,0,0,1925,6724,10542
0,0,0,2226,6173,10416
0,0,0,1949,5564,10596
0,0,0,2264,6658,10298
0,0,0,2322,7261,10394
0,0,0,1954,6630,10552
0,0,0,2011,6724,10652
0,0,0,2442,6444,10832
0,0,0,2224,6414,10816
0,0,0,2338,6476,10280
0,0,0,1918,6709,10707
0,0,0,2260,6422,10312
0,0,0,2076,6624,10672
0,0,0,1826,6362,10690
0,0,0,2213,6654,10514
0,0,0,2211,6264,10178
0,0,0,1828,6490,10592
0,0,0,2396,6334,10756
0,0,0,2157,6036,10540
0,0,0,2320,6504,10176
0,0,0,2359,6527,11152
0,1828,0,2685,6506,10828
0,0,0,2284,6411,10315
0,0,0,2399,6052,10413
0,0,0,2175,7205,10529
