Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
1250,6713,4160,5483,10737,15456
892,6940,4305,4624,10135,16328
1263,7208,4341,4996,11184,15394
711,7000,3671,4721,10728,15689
809,6890,3960,4736,10531,16042
301,6263,3847,4912,10490,14721
1026,6858,3817,4781,10891,15733
920,7032,3894,4745,10513,15373
1050,7457,3943,4974,10506,15413
804,6812,3818,5048,10961,15816
1502,7172,3794,4809,10556,15562
1026,7142,3781,4657,10929,15704
1278,7321,4563,4712,11137,15788
1272,7585,5305,4883,10128,15580
1054,7322,4352,5288,10620,15804
811,7130,4253,4890,10766,15299
1053,7443,4150,4888,10616,15264
1186,7351,4265,4941,10680,15485
1092,7381,4041,4892,9727,15568
1392,7679,3852,4736,10903,15500
1174,7236,3973,4771,10425,15642
920,6868,3655,4816,10952,15656
1385,7400,4234,5040,10653,15410
984,7264,3937,5010,10751,15502
1333,7216,4229,4870,10386,15597
511,7216,3657,4478,10640,15656
1304,7492,3955,4946,10728,15144
1149,7712,4202,4607,10649,15658
946,7063,3756,4738,10981,15871
904,7003,4133,4932,11033,15583
1759,7345,3995,4970,10716,15162
947,7188,3940,4816,10644,14892
1412,7260,3956,4848,10521,15601
805,7061,3908,4705,10832,15913
1071,7052,3601,4842,10788,15647
1105,7251,4058,4676,10489,15777
1189,7436,2423,4778,10636,15475
1616,7119,3870,4995,10727,15413
1207,7498,3953,4741,10703,15367
853,6771,3325,4555,10976,15720
977,7679,3570,4960,10589,16475
1245,7801,4004,4929,10652,15274
1206,7388,3952,4944,10562,15637
883,7279,3752,4763,10297,15487
942,7116,4008,5275,10725,15493
868,7651,3845,4617,10618,15650
516,7679,4004,4533,10628,15962
990,7046,3443,4706,10148,15709
1072,7476,4128,4964,11314,15596
1058,7088,4028,4739,10434,15648
1117,7058,4428,4999,10666,16661
1106,7679,3706,4705,10470,15466
1115,7144,4044,5461,10648,15552
309,7104,3953,4915,10791,15650
662,6978,3798,4786,10751,15534
1091,6795,3583,4717,10698,15689
1876,7105,4008,5088,10625,15836
1120,6772,4272,5010,11200,16158
953,7232,4660,4656,10696,15871
770,7026,3904,5631,10483,15863
975,7316,3866,4608,10444,15532
