Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
1092,6716,4452,4626,10666,15845
868,6964,2832,4359,10631,15544
991,7035,3691,4800,10915,15824
946,6829,3950,4393,9792,15935
728,6994,3967,4517,10398,14608
731,7019,3743,4628,10339,15871
668,6336,3464,3166,11057,15737
694,6848,2842,4655,10843,15209
1158,6902,4000,4216,10896,15208
1241,7039,3713,4742,10402,15191
4407,6664,3574,4636,10784,15366
1253,6650,3302,4946,10901,15572
669,6912,4282,4424,10751,15802
883,6854,3452,4584,10829,14654
362,6921,3637,4523,10732,15331
832,6758,3612,4110,10796,15572
637,6658,3650,4534,11340,15657
920,3341,3739,5060,10056,15383
984,7134,4013,4640,10751,15692
738,6686,3677,4607,10798,15487
808,7002,3725,4716,10650,15449
1040,6718,3628,4496,10716,15866
500,6602,3658,4607,10722,15607
606,6942,3862,4555,11086,15512
1767,6682,3583,4219,10751,15677
1216,6969,2661,4527,10623,17298
766,6710,4152,4865,10440,15963
871,6838,3738,5016,10510,15565
1232,7178,3824,4991,10680,15449
511,7252,2433,4458,10570,15092
693,6646,3334,4276,10756,15756
1781,6884,3041,4511,10672,15870
896,7224,3511,4278,11003,15504
1180,7256,4607,4728,10693,15322
878,6674,3348,4565,10756,15428
846,6760,3583,4616,11078,15462
1293,6312,3864,4993,10571,15403
973,7109,4014,4979,10605,15433
1186,7025,3740,4645,10975,15229
1358,7241,4147,4845,10857,15193
909,6345,3430,4168,11099,15616
868,6510,3446,4456,10348,15427
872,7028,3773,4689,10717,15330
937,7060,3856,4607,9823,15953
1076,6655,3460,4563,11059,15245
844,7002,3923,4824,10576,15444
781,6875,3804,4603,10885,15436
536,7680,3489,4472,10710,15539
1519,7213,3965,4902,10816,15153
669,6655,3824,4800,10826,15371
984,6568,3670,4904,10867,15215
1104,7118,4046,4852,10807,15175
685,6842,3778,4731,10575,15037
1173,7009,3978,4936,10694,15154
734,6477,3583,4460,10490,15276
1878,6655,3882,4971,10751,15671
948,7079,4029,4904,10798,15078
790,6655,3748,4373,10692,15667
810,6631,3851,4836,9948,15800
901,6930,3890,4607,10707,15548
1126,6820,4134,4048,10938,15171
473,6226,3583,4525,11335,15672
539,6696,3486,4485,10432,15526
626,6678,3849,4710,10751,14437
656,6639,3927,4506,10184,15374
1269,5719,4369,4609,10523,15723
877,6569,3554,4516,10856,15030
743,5535,3479,4722,10988,15440
351,7242,3427,4240,10720,15398
567,6585,3808,4722,10404,15464
781,6519,3576,4700,10475,15413
757,6435,3709,4854,10577,15093
960,6914,3830,4740,10751,14998
1211,6182,3376,4535,9967,15375
1108,6645,3716,4899,10796,14914
