Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
1058,6055,2301,4190,11323,15461
728,4612,2704,3896,11448,14930
637,5757,3320,3896,11051,14724
576,6212,2902,3818,11366,14880
1109,6242,3575,4193,11472,13961
577,6584,2712,3846,11491,14665
1481,5713,2582,3565,11321,15091
711,6035,2846,3668,11720,14652
704,5976,3204,4045,11235,14804
971,6730,3208,4177,11472,14399
579,5428,2732,3340,11359,14860
542,5499,2879,3762,11759,15067
920,5840,2997,4160,11614,14596
697,6067,3216,3997,12018,14614
1177,5911,2948,4053,11694,14646
1040,5648,3303,4024,11414,14822
792,5318,2892,3844,12058,14804
1130,5814,3533,4020,11420,14763
624,5933,3653,4429,11287,14873
552,6568,2386,3720,11456,14770
1224,5623,3776,3770,11470,15004
685,5757,2965,4022,11700,14819
634,5966,2412,3942,11127,14382
520,5738,3124,4002,11817,14843
809,6165,3155,4677,11305,14578
792,5837,3165,3720,11282,14847
886,6010,3027,3930,11187,14751
794,5725,2338,3995,11315,14634
785,5924,3276,4358,11510,14613
531,5853,3216,3646,11531,14836
0,5745,3136,4436,11343,14923
1160,6253,3310,4156,11693,14847
510,5641,2748,3628,11506,14996
784,5916,3198,3811,10925,15143
1164,6494,3259,4211,11529,14368
961,6225,3572,4165,10894,13806
760,6359,2741,3891,11067,14631
1333,6212,3374,4310,11594,14210
677,6152,3321,4116,11306,14052
895,6272,3332,4202,11333,14448
850,6235,2806,3924,11687,14598
501,6976,2955,3762,12234,14841
914,6050,2640,4383,11357,14390
912,6081,3342,3657,11394,14574
621,6864,3121,3820,11383,14847
697,5910,2979,3944,11410,14734
0,5970,3255,4117,11707,14685
920,5899,2927,3695,11654,14243
481,5782,2764,3587,11520,14541
640,5643,3159,4021,11700,14684
532,6933,2615,3815,14411,14777
27,5665,3138,3919,11032,14676
1204,5668,2954,3975,11361,14592
20,5686,2559,4338,11130,14834
560,5604,3108,4270,11569,15118
605,5631,3031,3812,11641,14847
960,5652,2536,3756,11734,14758
971,5378,2390,4000,11341,14103
1030,5490,3129,3827,11322,14892
980,6180,3256,4255,11389,14254
808,6034,3317,4368,11528,14613
342,6067,2753,3595,11433,15257
785,5746,2867,3839,11276,14713
1162,5874,2887,4000,11399,14581
465,5934,2932,3026,11486,14774
853,6076,3401,4176,11216,14463
640,5627,3025,3681,11593,14833
492,5688,3227,3961,11864,14422
0,5900,3187,4107,11329,13212
750,5869,3186,3870,10952,13600
763,5767,3191,4148,11323,14225
577,5960,2806,3964,11515,14437
431,5440,3080,3713,11549,14861
1036,5862,3497,4098,10737,14462
506,6721,3021,3857,11378,13908
604,5780,2934,4200,11497,14488
924,6219,3044,4186,11232,13398
920,6162,2648,3583,11014,14484
710,6172,2346,4114,11290,14230
585,5744,1778,3296,11424,14169
0,6104,1535,3744,11504,14154
643,5568,1062,4134,11532,13841
578,5776,1508,4037,11317,13458
862,6085,820,3766,11224,13271
450,5333,640,4145,11534,13014
1768,5243,499,3649,11672,13089
363,4936,95,3464,11738,12807
0,5284,260,3489,10943,11614
514,5161,514,2202,11621,12415
578,5425,55,3537,11962,12109
730,5306,0,3570,11156,11646
503,4981,25,3619,11051,11453
348,4640,0,3184,11111,11523
639,4842,0,3493,11355,11123
555,3935,0,3625,11413,11804
360,4724,0,3414,11468,10271
160,4597,0,3038,11495,10751
396,4291,0,3128,11493,10901
0,4659,0,3472,11173,10829
680,4607,0,2786,11380,10250
213,3921,0,2542,10438,10751
556,4288,0,2939,11082,9946
568,4822,0,2814,10920,9774
0,3961,0,2236,11190,10163
335,2880,0,2776,10760,9908
203,3860,0,1836,11069,9727
568,3518,0,3247,11016,9472
511,4032,0,2562,11025,9442
241,4122,0,2482,10818,10159
360,3881,0,2559,10694,9373
0,4678,0,2335,10840,9332
760,4429,0,2243,10857,9303
494,2202,0,2809,10744,8832
232,3525,0,2181,11156,8960
273,3618,0,1987,10019,9024
0,3472,0,2362,11076,8703
32,3000,0,2706,10640,8776
64,3136,0,1949,10634,8900
113,3611,0,2090,10536,8904
665,3583,0,2482,10801,8389
0,3531,0,2374,10664,9006
363,3486,0,1609,10621,8640
2336,3274,0,2199,10712,9041
0,3272,0,1900,10836,8343
152,2496,0,2859,10662,8424
0,2656,0,2332,10384,8051
312,3520,0,2256,10404,8048
193,3176,0,2263,10721,8233
228,3204,0,1476,10436,8004
127,2209,0,2058,10832,7900
