Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
1217,9572,7429,6509,13748,17853
1465,9978,5225,6541,13813,17307
1226,9831,5943,6402,12531,17919
1181,9714,4847,5745,13737,17877
820,9820,5033,6676,13208,17336
1216,10155,6085,6228,13672,17861
283,9964,5215,6828,14158,17582
982,9361,4854,6088,13725,17797
1351,9688,5232,5298,14146,17648
1446,9761,5604,7314,13550,17925
1279,9761,4918,6547,13499,17627
1379,9916,7212,6368,14073,17717
1568,10017,5346,7112,13822,17837
1159,9931,5036,6508,13608,17952
1262,9727,5140,6553,13781,17216
1170,9727,5004,6258,13605,17591
788,9482,3761,6360,13502,17894
1125,9808,4896,6440,13655,18108
1679,9554,4773,6634,13748,17604
1157,9514,5408,6373,12775,17246
1589,9967,5377,6720,13704,17440
1027,9463,4873,6491,13544,17655
1204,9801,5367,6451,13611,17834
1301,9890,5455,7009,13591,17436
1166,9578,5196,4907,14174,17919
948,9572,5203,6088,13665,17918
46,9444,4771,6402,13539,17488
1741,10043,5045,6340,13790,17648
1226,9379,4868,6228,13621,17066
818,9876,5219,6824,13791,17640
1535,9834,5031,6551,13395,16932
1275,9849,5631,6753,13650,17581
982,9539,5066,6396,14076,17765
1579,8667,4729,6655,13344,17766
1254,9416,4723,6241,13186,18011
1041,9686,4866,6534,13717,17908
723,9626,6098,6316,13608,17435
1393,10137,5473,6814,13662,18310
1140,9496,4961,5461,13828,17908
1197,9774,5186,6479,13762,17747
1785,9566,4153,6724,13449,17839
1553,10208,5004,6599,13708,17734
1444,9818,4848,6353,13766,17923
1118,9430,4707,6738,13524,17773
1072,9561,5060,6094,14083,17831
1217,9882,5732,6877,13821,17572
1545,9757,5284,6776,13401,17560
1068,9744,5057,6448,13708,17925
704,9576,4889,6761,13789,17852
1161,9945,5338,6726,13769,17485
1584,9961,5264,6672,15280,17645
1420,9636,4950,6403,13236,17577
1640,9579,5436,6805,13497,17588
1160,9886,5160,6423,13418,17732
1190,9706,5056,6535,13845,17771
1208,9488,4704,6473,13197,17907
1536,9662,5960,6645,13964,17743
330,9677,4898,7045,13704,17653
1535,9836,5778,6574,13880,17723
1400,9428,5016,6340,13855,17785
1525,9148,4978,6655,13401,17672
1324,9873,5165,6560,13796,16821
1664,9698,4836,6541,13740,17722
1535,9489,5055,6573,13823,17591
1235,9717,5130,6655,13636,17486
794,9735,5309,6786,13770,17676
1399,9290,5024,6375,11804,16930
791,9769,4992,6613,13202,17588
1141,9537,5499,6490,13823,17786
1484,9433,5601,6524,13641,16589
1452,10013,5359,6854,13823,17597
1033,9713,5077,6491,13514,17680
1535,9574,5861,5850,13877,17709
1242,9740,4990,6397,14030,18222
1258,9957,5204,6522,13377,17473
1068,9664,4976,6444,13642,17709
1392,9499,4944,6303,14006,17808
1524,9894,5076,6601,13741,17481
1535,9716,4892,6236,13823,17624
1031,10200,5798,6258,13732,17910
1457,10083,5442,6869,13605,17101
1323,9832,5347,6529,13525,17510
1237,10454,5415,6784,13260,17661
1212,9643,5063,6902,13656,17188
433,9719,5017,6985,13412,17569
1285,9766,5190,6750,13705,17635
1313,9727,6153,6272,13546,17919
1716,10534,5312,6728,13760,18090
1354,9829,5216,6429,13508,17708
1162,9947,5399,6808,13673,17034
