Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
701,6793,2868,4143,10322,13861
718,6558,2869,3996,10304,13823
704,6726,2601,4258,10097,13924
704,6543,1226,4140,10127,13657
536,6655,2708,4512,9763,13814
0,6648,2776,4149,9837,13543
523,6046,2510,3693,10312,13817
537,6276,2778,3816,9590,13972
492,7458,2242,3833,10072,13914
592,6336,2566,3477,10424,13774
541,6477,2766,3904,10078,13474
449,6420,1869,3976,9716,12884
720,6724,3265,4064,10089,13860
794,6472,3008,3849,9024,14009
393,6092,2907,3677,10185,14383
405,6251,2437,3848,10328,13823
592,6640,2768,4008,10267,13192
792,6529,2112,3995,9994,13778
701,6560,3012,3912,10170,13719
0,5924,2696,4030,9681,13624
557,6216,2525,3920,9568,14205
469,6208,2313,3882,10179,13823
461,5988,2378,3971,10050,13924
192,6304,2580,4032,10187,13368
765,6634,2912,3919,9682,13807
410,6211,2635,3928,10304,13036
172,6765,2860,4578,10204,13504
306,6210,2665,4112,10372,13889
520,6844,2534,3855,9878,13816
547,6170,2550,3896,9851,13481
910,6446,2562,4133,9985,13608
208,6399,788,3780,10048,14251
445,6509,2187,3637,9581,14117
26,6617,2699,3594,10304,13730
604,6950,2559,4046,10307,13672
511,6624,2216,4103,10249,13693
357,6628,2565,3872,9904,13863
994,6423,2993,3714,9943,13988
754,6520,1955,4006,9951,13633
650,6023,2559,4397,10176,13827
511,6706,2488,3805,9999,13694
906,6081,2719,4022,10296,13940
0,6233,2398,3783,9886,13816
593,6697,2869,4049,10257,13448
358,6273,2875,3590,9436,14202
616,6632,2868,4282,9983,13474
234,6319,2505,4161,10009,13823
576,5969,2649,4104,9971,13953
720,6232,2806,4230,10622,14744
847,6240,2327,3874,10336,13740
933,6284,2571,3989,10432,13823
216,6113,2389,4037,10046,14505
448,6103,2897,3824,10188,14030
674,6645,2942,3830,10270,13588
600,6650,2495,4154,10244,13611
0,6652,2861,4021,9965,13810
601,6344,2161,3784,10108,14011
454,6466,2805,4038,10276,12564
1299,6470,2725,3606,10294,13527
836,6288,2559,4064,10324,13669
198,6015,2645,3554,10580,13928
665,6888,2559,3994,10956,13582
589,6280,2359,3800,10025,13823
511,6208,2112,4420,9906,14056
1131,6252,3087,3837,10032,14154
1357,6446,3000,4863,10194,14040
492,6432,2514,3896,9870,14178
235,6550,2320,3860,9977,13240
723,6403,2726,3635,10118,13635
670,6361,2559,4160,9969,13654
120,6188,2505,4607,9931,14086
305,6367,2501,4040,9872,14133
363,6457,2643,4450,10044,13760
564,6421,2559,3866,9467,14068
538,6607,2847,4219,10099,13504
1540,6222,2522,2926,10025,14157
502,6374,3690,4206,10580,12965
654,6596,2733,4506,10328,13692
552,6226,2624,3879,10697,13791
617,5700,2646,4010,10666,13836
744,6677,2760,3849,9952,13678
149,6308,2485,3793,10586,13879
500,6668,2538,3930,9822,13606
0,6368,2543,3752,10562,14038
515,6416,2315,3987,10136,13860
593,6445,2875,4271,10508,13818
234,6271,2458,3693,10292,13884
1072,6648,2740,4351,10293,13817
742,6486,2434,4228,10326,13696
511,6482,2377,3803,10177,13910
175,6295,2562,3897,10164,13875
480,6415,2523,3962,10132,14710
655,6655,2760,3939,10357,13845
866,6893,2559,3877,10017,13623
356,6269,2509,3730,9414,14081
521,6367,2503,3922,9858,13252
503,6409,2249,3897,9909,13868
541,6362,2748,3837,10685,13784
494,6687,2590,3846,10058,13819
872,6260,2820,4267,10094,14559
196,6197,0,3920,10283,13778
631,6637,2959,4246,10136,14184
495,6441,2581,3820,10053,13863
783,6313,2766,4262,10020,13635
511,6516,2194,3791,10294,13977
567,6203,2559,3959,10476,14026
0,5496,1811,4560,9884,13764
338,6255,2603,3732,10514,14747
688,6344,2656,3186,10772,13796
367,6741,2348,3583,10000,14101
720,6264,2533,3904,10468,13605
562,6264,2505,3648,10084,14582
564,6823,2431,3881,9901,13689
327,6149,2480,4656,10059,14240
265,5320,2270,3686,10258,14847
491,6092,2367,3740,10325,14054
0,6185,2536,3800,9924,14073
0,6561,2662,4054,9874,13823
419,5778,2595,3922,9888,13756
485,6369,2585,3801,10541,14253
785,6701,2997,4321,10139,14580
204,6644,2257,2635,10205,14049
344,6034,2523,4663,10148,14061
0,6594,2455,3792,9863,14088
272,6082,2559,3866,10966,13917
745,7241,2549,4284,10147,13621
847,6222,2369,3880,10400,13805
538,6337,2757,3829,10013,14054
512,6011,2098,3743,9965,14009
380,6612,2652,4654,10052,13964
744,6472,2682,3786,9900,13936
328,6280,2586,3784,10248,13960
560,6523,2424,3785,10384,13925
863,6103,2559,4055,10000,13595
525,6491,2893,4190,10101,13564
502,7020,2580,3765,10432,13628
301,6517,2852,4063,10751,13701
217,6164,2800,3720,10199,13929
155,6646,2052,4229,9965,13858
366,6015,2577,3464,10684,14125
242,6159,2612,3916,11265,13823
501,6346,2577,3920,10352,13841
511,6099,2495,3740,10493,13918
668,6597,2740,3960,9859,13961
629,6601,2141,4281,9933,13459
380,5754,2590,4046,9919,13823
492,6257,2559,4190,10098,14588
425,6256,2474,3930,10160,13967
673,6998,2764,4161,10292,15079
1032,6400,2594,3946,9132,13597
1169,6613,2625,4224,10163,13943
216,7212,2478,3790,10051,13772
1181,6688,2843,4241,10146,13716
576,6354,2544,3769,10589,13963
448,6596,3176,3505,10112,14132
401,6030,2560,3947,11102,13952
511,6494,2717,3925,10273,13664
498,6409,2795,3990,10164,13833
274,7202,2352,3458,10127,14125
530,6617,2794,4120,10197,13506
320,6219,2628,3854,10380,13970
1220,6386,2712,4153,10592,13669
807,6193,2380,4053,10201,13200
665,5861,2370,3743,10040,13818
528,6284,2918,3644,9681,14084
490,6470,2466,4724,10016,13777
442,5761,2167,3789,9979,14073
511,6600,2605,3997,10471,13769
0,6144,2559,3715,9907,14121
700,6977,2696,4004,10173,13540
352,6381,2574,3791,9949,13959
635,6050,2454,4108,10298,13958
432,6245,2593,3588,10288,13823
920,6884,2432,3960,9833,13700
68,6588,2418,3784,9864,13789
563,6312,2633,3813,10254,13904
550,6476,2659,4105,10365,13823
1088,6272,2439,4270,10048,13960
1050,7037,2521,3673,10419,13647
823,6491,2738,4194,10149,13890
725,6632,2805,4126,10134,13695
548,5992,2460,3696,10199,13982
325,6391,2758,4153,10006,13586
386,6036,3144,3816,10481,14231
542,6511,2761,4228,9934,13840
514,6114,2677,3785,9903,14078
840,6541,2397,3893,10297,13941
402,6529,2781,4036,10516,13658
661,6655,2225,4040,9570,13749
222,6716,2876,4138,10121,13604
563,6693,2607,4026,9860,13719
511,6522,2971,4184,10490,13632
834,6370,3504,4153,8982,14448
710,6560,2917,4590,10149,14102
585,6300,2476,4168,10319,13745
315,6611,2470,4008,10269,13402
710,6652,2782,4052,10080,13522
662,5498,2660,3847,10919,13882
234,6655,2492,3460,10890,14089
853,6456,1624,3464,10381,13988
0,6302,2637,4060,9727,14398
457,7034,2312,4018,10097,13699
490,5608,2575,4400,9916,13826
409,6051,2362,3605,9873,14145
1378,6597,2730,3994,10152,13721
1024,6321,2557,3880,10285,13802
572,6755,2748,4190,9994,13489
65,6178,2382,3673,9933,12581
