Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6
340,21946,6031,5396,13903,15618
948,22195,6292,5475,13470,15638
887,22181,4468,5459,14089,15750
992,22009,6412,5680,13716,15539
330,21906,6086,5729,13564,16108
636,22160,7074,5248,13566,15866
1073,22299,7501,5720,13705,16712
483,21991,6198,5741,13641,15796
795,21907,6148,5521,14074,15817
1366,22177,6340,5557,13917,15711
847,22208,6448,5720,13522,15364
846,21876,6130,5503,13411,15796
736,21914,6257,5568,13627,14930
881,21960,6233,5469,13551,15484
997,22116,6489,5661,13430,15712
875,21657,6025,5272,13310,15634
604,21631,5986,5350,13874,15872
861,21852,6004,5552,13777,15995
568,21474,5804,5204,13620,15902
1037,21722,5982,5392,13372,15031
660,21722,5979,5403,13387,15946
946,21660,5398,5605,13420,15889
793,21336,6460,5713,13632,15675
913,21807,6205,5728,13999,15692
778,21507,6214,5385,13597,15576
1089,21902,6195,5622,13681,15784
1369,21674,6204,6219,13579,15679
247,21546,6287,5476,13496,16174
422,21572,6034,6047,13537,15765
1109,21568,6352,5452,13901,15875
806,21776,6263,5428,13577,15583
1008,21759,6288,5684,13808,15817
839,21702,6258,5556,13595,15515
639,22504,6125,5755,13888,15888
1036,21356,5932,5457,13894,15843
1122,21762,6309,5817,13727,15649
981,21492,6151,5418,13620,17730
918,21448,5992,5527,13769,15742
599,21482,5877,5428,12854,15772
426,21565,6233,5756,13487,15938
448,21342,6968,5737,13539,16139
697,21257,5460,5030,13915,15874
412,21166,5832,5353,13556,16074
760,21398,6103,5500,13356,15755
1028,21373,3528,5740,13628,16040
987,21046,6112,5735,13475,15833
576,23908,5864,5426,13694,14501
699,21265,5963,5599,14591,15734
1074,21039,5843,5130,14029,16106
1546,21073,5931,5265,13750,15703
905,21473,6241,5641,13572,15648
263,20725,6711,5588,13534,15833
1268,21112,5905,5503,14121,15170
1064,21113,5678,5226,13880,15989
560,20660,5560,5118,13588,16126
602,20797,5794,5421,13553,16076
406,20980,4356,5182,13624,16043
588,21161,6025,5585,13892,15960
604,19791,5912,5428,13298,16093
1042,20818,5720,5397,13512,15922
1209,20835,5826,5375,13411,15927
938,21307,5216,5598,13558,15726
705,21010,6080,5599,13820,15608
803,20755,6030,5398,13452,16489
969,20928,6116,5586,13762,15962
516,20676,5568,4942,13770,16290
648,20588,5552,5221,13466,15792
550,20761,5700,5298,13868,15874
939,20864,5962,4753,13855,15838
709,20440,6184,5313,13439,15815
880,20810,5904,5504,13760,16088
652,20780,6038,5661,13557,15735
529,20587,5750,5490,13431,15919
706,20580,5697,5481,13912,15913
1740,20554,5627,4543,13472,15861
916,20506,5906,6042,13615,15819
568,21200,5972,5429,13364,16209
456,20317,5660,5281,13615,15514
912,21415,5425,5680,13817,15878
745,20508,5623,5362,13861,16020
780,20006,5792,5512,13463,15946
815,20764,6489,5629,13248,15678
736,20540,5700,5440,13014,15984
401,20709,5597,5170,13556,15961
536,20361,5710,5472,13776,15826
306,19324,5516,5250,13530,14892
814,20514,5870,5659,13585,15577
896,20694,5802,4788,13494,16952
720,20430,5905,5224,13819,15989
642,20648,5780,5453,13827,15784
749,20142,5588,5500,13637,15806
952,20539,5508,5375,13839,15925
760,20245,5479,5324,13355,15741
608,20468,5826,5274,13596,15605
656,20446,5844,5753,13569,15483
0,20631,5781,5487,13793,15392
513,20224,5403,5189,13597,16012
933,20393,5388,5696,13860,15821
767,20256,4992,5597,13802,15789
431,20135,5732,5186,13467,16091
926,20433,5729,5373,13908,15809
742,20255,5072,5393,13053,15522
987,20222,5654,6212,13598,16062
666,19807,5872,5718,13589,16272
0,19995,5152,5428,13635,15792
705,20450,4714,5360,14017,16103
680,20291,5842,5671,13551,15568
504,20091,4375,5383,13680,16028
987,20086,5700,5521,13548,15994
747,20343,6216,5503,13497,15658
713,20421,6022,5631,13556,15660
1054,20134,5911,5780,13829,15776
889,20152,5664,5591,13664,15857
1296,19863,5969,5683,13529,15715
0,20273,5521,5636,13842,16031
1114,20303,5793,5581,13276,15818
475,20019,5589,5652,13760,15931
1381,20397,5800,5624,13793,15580
722,20291,5697,5447,13575,15576
681,20628,5529,5368,13832,15917
458,19914,4336,5164,14010,16096
864,20181,5362,5568,13673,15472
1209,19764,5867,5700,13590,15694
280,20429,5779,5774,13674,15826
1291,19955,5389,5511,13474,15773
533,20466,5735,5597,13303,15705
422,20145,5654,5423,13761,15690
898,20384,5838,5438,13858,16124
804,20302,5400,5334,13940,15987
496,20394,5784,5488,13486,15682
1237,20090,5726,5067,13650,15806
716,20204,5508,4342,14012,16014
846,20141,5649,5738,13607,15896
691,20270,6015,5584,13436,16007
646,20471,5472,5704,13658,16800
564,19917,5380,5368,13981,15234
448,20126,5592,5069,13407,15724
486,19932,6244,5202,13524,16189
682,20166,5550,5357,13334,16041
408,19893,5349,4292,13712,16073
1023,20630,5308,5766,13780,16048
600,20086,5601,5331,13699,16075
800,20086,5830,5696,13545,15709
725,20146,5388,5333,13851,16036
713,20160,6764,5358,13685,15973
916,20318,5891,5608,13730,15703
406,20320,5727,5605,13356,15952
501,19939,5270,4893,13789,16134
651,20025,5484,4579,12816,15944
920,20207,5556,5470,13266,15920
617,19888,5313,5238,13750,16631
980,19941,5583,5808,13689,14938
142,20307,5815,5489,13584,15733
501,19846,5349,5418,13586,16016
268,19050,5703,5710,13461,15650
972,19756,5529,5287,13394,15684
691,19982,5443,5409,13444,15761
658,19937,5349,5312,13886,16052
872,20264,5143,5280,13733,15598
580,19935,5530,5318,13377,15886
895,20020,5740,5654,13828,15838
852,19690,5554,5477,13743,15404
514,19455,5257,5339,13633,15836
706,20157,5607,5476,13963,15859
502,20245,5738,5490,13764,15829
1040,20020,5586,5339,13880,15789
680,20230,6237,5478,13097,15652
895,20266,5700,5542,13651,15948
660,20108,5768,5472,13599,15776
469,19432,5438,4957,13581,16176
817,20731,6610,5210,13528,16106
741,19768,5439,5177,13852,15744
361,19724,5279,5206,13971,15746
404,18838,5515,5280,13520,16094
489,19853,4890,5429,13309,15896
0,19732,5372,5587,13893,15907
683,20154,5611,5597,13638,16087
350,19955,5506,5579,13625,15535
1056,20168,5738,5623,13605,15496
602,20138,5762,5643,13716,15813
292,20901,5343,5600,13564,15102
415,20649,5808,6404,13310,15690
659,19828,5415,5423,13508,15924
619,19888,5477,5084,12345,15873
0,19714,5332,5288,13764,15916
38,19574,5415,5644,13568,15452
711,19965,5673,5468,13519,15632
767,19667,5684,5748,13597,15301
839,19751,5752,5566,12170,16457
744,19936,5483,5717,13848,15666
166,19444,5098,5100,13644,15900
179,19794,5522,5461,14314,15673
762,19870,5684,5610,13588,16430
635,19501,5269,5332,13446,15648
678,19753,4988,5567,13282,15568
790,19608,5714,5731,13662,14601
576,18624,5413,5857,13261,15468
661,19554,5375,5149,13405,16059
821,19880,5649,5481,13684,15744
760,19634,5297,5573,14223,15603
658,19549,5429,4569,14015,15624
777,19823,5497,5584,13624,15959
578,19590,5438,5431,13880,15914
731,19797,5423,5562,13553,15691
818,19928,5576,5538,13582,15530
905,19905,5536,5548,13797,16272
0,19388,5493,5608,13766,15488
476,19116,5697,5131,13556,16043
770,19512,5743,5668,12608,15830
460,19808,5546,5913,13616,15672
1432,19511,5219,5442,13706,15700
756,19678,5317,5165,13922,15777
841,19754,5475,5525,13759,15761
1299,19192,5098,5366,13456,15729
916,19159,6349,5588,13248,15927
535,18779,5070,5353,13469,15996
683,19210,5157,5724,13546,15713
269,19303,5149,5378,13551,15761
648,19392,4801,5586,14590,15629
217,19044,5226,5165,13501,16020
600,18189,5539,5738,13565,15672
424,18467,5593,5680,13826,14846
466,19238,5142,5312,13302,16351
605,19423,5231,4937,13726,15520
732,19444,4633,5527,13596,15577
437,19100,4950,5184,13752,15879
891,19311,5196,5740,13632,16219
464,19020,5236,4972,13609,15477
659,19190,5196,4530,13549,15694
872,19104,4765,5696,13658,15454
661,19311,5340,5582,13514,15509
873,19023,5019,4801,13833,15924
578,19245,5211,5591,13608,15505
755,19138,5172,5428,13829,15475
383,19638,4655,5165,13224,15973
680,19275,5370,5539,12407,15595
531,19264,5621,5205,12841,16480
816,19029,4468,5564,13444,15811
694,19231,5428,4776,13551,15691
463,19288,5230,5584,13753,15478
632,19242,5430,5503,13736,15564
726,19158,5386,5654,13648,16368
54,18941,2785,5542,13467,15605
703,19178,5206,5242,13533,15530
419,18885,4892,5352,13910,15765
803,18721,4949,5296,13917,15803
408,18144,4987,5120,13675,15994
718,18680,4853,5276,13943,15889
519,18852,5148,5405,13740,15933
698,19190,5380,5680,13809,16181
217,18638,4917,4857,13622,16112
936,18804,5033,5583,13803,15633
14,18741,4678,5449,13640,15585
430,18557,4762,5152,13704,15868
747,19406,5144,5510,13788,15741
652,18993,5239,5488,13736,16114
0,19086,5110,5542,13725,15727
406,18608,4717,4523,13376,15677
697,18627,4975,5440,13807,15596
324,18461,4649,5110,12736,16053
369,18590,4308,5478,13452,15848
558,18752,4736,5703,13573,15614
936,18568,4988,5092,13970,15709
616,18588,4958,5518,13776,15655
695,18596,5127,5680,13997,15956
675,18766,5292,5620,13623,16554
484,18521,4935,5380,13845,16011
402,18397,5086,5453,14207,15293
0,18807,4997,5158,13617,15552
549,18874,5081,5522,13689,15404
324,18143,4672,5320,13826,15897
138,18271,4764,5268,13851,15465
395,18233,4864,5429,13794,15826
198,17490,4780,5389,13045,15603
398,18383,4760,4988,13845,16210
1046,18473,4778,5343,13803,15672
13,18517,4919,5034,13528,16040
342,18290,5539,5206,13216,16023
529,18612,5013,5439,14069,15596
368,18448,5118,5328,13263,15867
326,18339,4760,5264,13908,15672
253,18237,4715,5387,13715,15906
421,18533,4941,5395,13334,15637
735,18966,4780,5450,13703,15422
110,18031,4560,5314,13852,15686
508,17961,4829,5630,13431,15523
68,17324,4335,5659,13597,15612
130,17339,4206,5351,13670,15816
688,17920,4698,5484,13527,15417
125,17411,4351,5248,13841,15707
247,17248,4361,5252,13453,15898
420,17414,4554,5704,13840,15505
0,16829,4324,5326,13471,15672
157,16918,4319,5681,13283,15720
729,16271,3962,5257,13551,15758
557,16164,3890,5312,13319,15580
64,16128,4004,5205,13726,15840
58,16403,4181,6101,13621,15866
329,17129,4325,5315,13708,15632
550,17233,4710,5608,13910,15466
458,17593,4540,5414,13377,15696
