H,S,V
5,217,54
5,214,56
5,214,56
4,214,56
4,214,56
5,218,55
5,218,55
5,218,55
5,218,55
4,218,55
4,218,55
4,218,55
4,218,55
5,217,54
5,217,54
5,217,54
5,217,53
5,217,53
5,216,52
5,216,52
5,216,52
6,221,53
6,221,53
5,217,53
5,217,53
5,221,53
5,221,53
5,217,53
5,217,54
5,212,54
5,213,55
5,213,55
4,214,56
4,214,56
5,214,56
5,214,56
5,214,56
5,214,56
4,214,56
5,218,55
5,218,55
5,218,55
5,218,55
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,53
5,217,53
5,211,52
5,210,51
5,215,51
5,220,51
5,221,52
5,221,52
5,221,52
5,221,52
5,217,53
5,217,53
5,217,53
5,217,53
5,217,54
5,212,54
5,212,54
5,213,55
4,214,56
4,214,56
4,209,56
5,213,55
5,213,55
5,213,55
5,212,54
5,212,54
5,212,54
5,213,55
5,213,55
5,213,55
5,214,56
5,214,56
5,213,55
5,213,55
5,213,55
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,222,54
5,217,53
5,216,52
5,216,52
4,210,51
4,210,51
5,215,51
5,220,51
5,220,51
5,221,52
5,221,52
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,54
5,212,54
5,212,54
5,212,54
5,213,55
5,213,55
5,213,55
5,213,55
4,209,55
4,209,55
4,209,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,212,54
5,217,54
5,212,54
5,217,54
5,217,54
5,212,54
5,212,54
5,212,54
5,212,54
5,217,54
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,216,52
5,216,52
4,210,51
4,210,51
4,209,50
4,209,50
5,215,51
5,215,51
6,221,52
5,216,52
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
4,209,55
4,209,55
4,209,55
5,209,55
5,209,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,212,54
5,212,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,221,53
5,217,53
5,221,52
5,221,52
5,216,52
5,211,52
4,210,51
4,210,51
4,209,50
4,209,50
5,215,51
6,215,51
6,215,51
5,216,52
5,216,52
5,217,53
5,217,53
5,217,53
5,217,53
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,217,53
5,217,53
5,212,53
5,212,53
4,208,54
4,204,55
4,204,55
5,209,55
5,209,55
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,214,56
5,214,56
5,213,55
5,213,55
5,213,55
5,213,55
5,213,55
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,53
5,212,53
5,212,53
5,212,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,221,53
5,217,53
5,221,52
5,221,52
5,217,53
5,211,52
4,211,52
4,210,51
4,210,51
5,215,51
5,215,51
6,215,51
5,216,52
5,216,52
5,221,52
5,221,52
5,221,52
5,221,52
5,217,53
5,212,54
5,212,54
5,212,54
5,212,54
5,217,53
5,217,53
5,217,53
5,217,53
5,212,53
5,208,54
5,204,55
4,199,55
5,204,55
5,208,54
5,208,54
5,212,54
5,212,54
5,212,54
5,212,53
5,217,53
5,212,53
5,212,53
5,214,56
5,214,56
5,214,56
5,214,56
5,213,55
5,218,55
5,217,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,53
5,212,53
5,212,53
5,211,52
5,210,51
5,211,52
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,54
5,217,54
5,217,54
4,212,54
4,211,52
4,211,52
5,215,51
5,215,51
5,215,51
6,215,51
5,216,52
5,216,52
5,221,52
5,221,52
5,221,52
5,221,52
5,216,52
5,212,53
5,212,53
5,212,53
5,217,53
5,217,53
6,221,53
5,217,53
5,217,53
5,217,53
4,203,54
4,196,56
4,196,56
4,199,55
5,208,54
5,208,54
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,219,56
5,219,56
5,219,56
5,214,56
5,214,56
5,213,55
6,218,55
5,218,55
5,217,54
5,217,53
5,217,54
5,212,54
5,212,54
5,212,54
5,212,54
5,212,53
5,211,52
5,211,52
5,211,52
5,211,52
5,210,51
5,216,52
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,216,52
5,216,52
5,216,52
5,216,52
5,216,52
5,216,52
5,221,52
5,221,52
5,221,52
5,221,52
5,216,52
6,211,52
6,211,52
5,217,53
5,217,53
5,217,53
6,221,52
5,217,53
5,217,53
5,217,53
5,204,55
4,196,56
4,196,56
4,196,56
5,208,54
5,208,54
4,207,53
4,207,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,212,53
5,207,53
5,208,54
4,215,57
4,219,56
4,219,56
5,219,56
5,219,56
5,219,56
6,218,55
6,218,55
5,217,54
5,217,54
5,217,53
6,221,53
5,217,53
5,217,53
5,212,54
5,212,54
5,212,53
5,212,53
5,211,52
5,211,52
5,211,52
5,211,52
5,211,52
5,212,53
5,212,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,53
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
4,218,55
4,218,55
5,217,54
5,217,54
5,217,54
5,217,54
5,217,54
5,217,53
5,217,53
5,217,53
5,217,53
5,221,52
5,221,52
5,216,52
5,216,52
5,216,52
5,211,52
5,211,52
5,216,52
5,217,53
5,217,53
5,217,53
5,217,53
