B,G,R
5,8,34
4,8,33
4,8,32
5,8,32
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
5,8,32
5,9,33
6,10,34
5,9,34
5,9,34
5,8,34
5,8,33
5,8,33
5,8,33
5,8,33
5,8,33
5,8,33
5,8,33
5,9,33
5,9,35
6,10,36
6,10,38
7,10,38
7,10,38
6,10,38
5,9,36
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
5,8,32
5,8,32
5,8,32
4,8,32
4,8,30
4,8,30
4,8,30
5,8,30
5,9,32
7,10,32
7,10,33
5,9,33
5,9,33
5,8,32
5,8,32
5,8,32
5,8,32
5,8,32
5,8,32
5,9,32
5,9,33
6,9,33
6,9,34
7,10,36
7,10,37
7,9,37
5,9,36
5,9,36
5,9,34
5,9,34
5,9,34
6,9,34
5,9,33
4,8,32
4,8,31
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
4,8,32
5,8,32
5,8,32
5,8,32
6,8,32
5,8,31
5,8,30
5,8,29
5,8,29
4,8,29
5,8,29
5,8,29
5,8,30
5,9,30
5,9,31
5,8,31
5,8,31
5,8,31
5,8,31
5,8,31
6,8,32
5,8,31
6,8,32
6,8,32
6,9,32
6,9,33
6,9,34
7,9,35
7,9,36
7,9,36
6,9,35
5,9,34
5,9,34
5,9,33
5,9,33
5,9,33
5,9,32
5,8,32
5,8,32
5,9,33
5,9,34
5,9,34
4,8,32
4,8,31
5,8,31
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
4,8,30
4,8,31
4,8,32
4,8,32
5,8,32
5,8,32
6,8,32
6,8,32
6,8,30
6,8,30
5,8,29
5,8,29
5,8,28
5,8,29
5,8,29
5,8,29
5,8,29
5,8,30
5,8,30
5,8,31
5,8,30
5,8,30
5,8,30
6,8,30
5,8,30
6,8,30
6,8,31
6,8,32
6,8,32
6,8,33
6,8,34
6,8,35
6,8,34
6,8,34
6,9,34
5,9,33
5,9,33
6,9,32
6,9,32
6,8,32
6,8,32
5,8,32
5,8,32
4,8,32
5,9,34
5,9,34
5,9,34
5,9,34
5,9,34
4,8,32
4,8,32
4,8,32
5,8,31
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
5,8,30
5,8,31
5,8,31
5,8,32
6,8,32
6,8,32
6,9,32
6,8,30
5,8,29
5,8,29
4,8,28
4,8,28
4,8,28
4,8,28
4,8,28
4,8,29
5,8,29
5,8,29
5,8,29
5,8,29
5,8,29
5,8,29
6,9,29
5,9,29
6,9,30
6,8,30
6,8,31
6,8,32
6,8,32
6,8,33
6,8,33
6,8,33
6,8,33
6,8,33
6,9,33
6,9,32
6,9,32
6,9,32
6,8,32
6,8,32
6,8,32
5,8,32
4,8,32
4,8,32
4,8,33
5,9,34
5,9,34
5,9,34
5,9,34
6,10,35
6,10,35
4,8,33
4,8,33
4,8,32
4,8,32
4,7,32
5,8,31
5,8,30
5,8,30
