L,A,B
46,162,153
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,161,154
46,161,153
46,161,153
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,153
46,160,153
46,160,153
46,159,153
46,159,153
46,159,153
46,159,153
46,159,153
47,160,154
46,161,153
46,160,153
45,160,153
45,161,152
45,161,152
45,161,152
45,161,153
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,161,154
46,161,153
46,161,153
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,153
46,160,153
46,159,153
46,159,153
47,160,154
47,160,154
46,161,153
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,153
46,161,153
46,161,153
46,161,153
46,161,153
46,161,153
46,160,153
46,160,153
45,161,152
45,161,152
46,160,153
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,160,154
46,161,154
46,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
48,162,154
48,162,154
48,162,154
48,162,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,153
46,161,153
47,160,154
47,161,154
48,160,154
47,161,154
48,160,154
48,160,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,153
47,160,154
47,160,154
46,160,153
46,160,153
46,161,153
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
48,162,154
48,162,154
48,162,154
48,162,154
48,162,154
48,162,154
48,162,154
48,162,154
48,162,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
48,161,153
47,161,154
48,161,153
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,160,154
47,160,154
47,160,154
46,159,153
46,159,153
46,160,154
46,160,154
45,161,153
46,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
47,161,154
46,162,153
47,161,154
47,161,154
47,161,154
