B,G,R
3,9,50
3,9,52
3,8,52
3,8,52
3,8,52
3,8,52
3,8,52
3,8,52
3,8,52
3,8,51
3,8,50
3,9,50
3,9,50
3,9,50
5,9,50
5,9,50
5,9,50
4,9,50
4,8,50
4,8,50
3,8,51
3,8,51
3,8,51
3,8,52
3,8,52
3,9,52
3,9,52
3,9,52
3,9,50
3,9,52
3,9,50
3,9,50
3,9,50
3,9,50
3,9,49
4,9,50
4,8,50
4,8,51
4,8,51
4,8,51
4,8,51
3,8,51
3,8,50
3,8,50
3,8,50
3,9,50
4,9,50
5,9,50
5,9,50
5,9,50
5,9,50
5,9,50
5,9,50
5,9,50
5,9,50
4,9,50
3,9,50
3,9,50
3,9,50
3,8,49
3,9,48
3,9,48
3,9,48
4,9,49
4,9,48
4,9,49
4,9,49
4,9,50
4,8,51
3,9,53
3,9,53
3,9,52
3,9,52
3,9,50
3,9,50
3,9,50
3,9,49
5,9,49
4,9,49
4,9,50
4,8,50
4,8,50
4,8,51
4,8,51
4,8,51
4,8,51
4,8,50
4,8,50
4,8,50
4,8,50
5,8,50
5,8,50
5,8,50
5,8,50
5,8,50
5,8,50
5,8,50
5,9,50
5,9,50
5,9,50
4,8,50
4,8,50
3,8,49
3,8,49
3,8,48
4,8,48
4,8,48
4,8,48
4,9,48
4,9,48
4,9,49
4,9,49
4,8,50
4,8,51
4,8,52
3,8,52
3,9,52
3,9,52
3,8,55
3,8,54
3,9,54
3,9,53
3,9,53
3,9,52
3,9,52
3,9,50
3,9,50
3,9,50
3,9,49
3,9,49
5,9,49
4,9,49
4,9,50
4,8,50
4,8,50
4,8,51
4,8,51
4,8,51
4,8,51
4,8,50
4,8,50
4,8,50
4,8,51
5,8,52
5,8,52
5,8,52
5,8,52
5,8,52
5,8,52
5,9,50
5,9,50
5,9,50
5,9,50
4,8,50
4,8,50
3,8,49
3,8,49
4,8,48
4,8,48
4,8,48
4,8,48
4,8,48
4,8,48
5,8,49
5,8,49
5,8,50
4,8,51
4,8,51
3,8,51
3,8,51
3,8,50
3,8,50
3,8,49
3,8,49
3,8,49
3,9,56
