B,G,R
3,12,76
2,11,75
2,11,75
2,12,75
2,11,74
2,11,74
2,11,74
3,11,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,76
3,12,75
3,12,76
3,12,75
3,12,75
3,12,75
2,12,75
2,12,75
2,12,75
2,12,75
3,11,75
3,11,76
3,11,77
4,11,75
4,11,76
4,11,76
4,11,75
3,11,75
3,11,75
3,11,75
3,12,75
3,12,74
4,11,74
4,12,74
4,12,74
4,11,75
3,11,75
3,11,75
3,11,75
3,11,74
3,11,74
3,11,73
3,12,73
3,12,73
3,12,73
3,12,73
3,12,75
3,12,73
3,12,74
3,12,73
3,12,74
3,12,74
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,11,75
3,11,76
3,11,76
3,11,76
3,12,76
3,11,73
3,11,74
3,11,74
3,11,74
4,11,74
4,11,75
4,11,75
4,11,75
4,10,75
4,10,75
4,10,75
4,10,75
4,11,75
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,74
3,11,74
3,11,73
3,11,73
3,11,72
3,11,72
3,11,72
3,11,72
3,12,72
3,12,72
3,12,72
3,12,72
3,12,72
3,12,72
3,12,72
3,12,72
3,12,73
3,12,75
3,12,75
3,12,75
3,12,75
3,11,75
3,11,75
3,11,75
3,12,75
3,12,76
3,12,76
3,12,75
3,12,75
3,12,75
2,11,75
2,11,74
2,11,74
2,11,73
3,11,73
3,11,73
4,11,74
4,11,74
4,11,74
4,11,74
4,11,75
4,11,75
4,10,75
4,10,75
4,10,75
4,10,74
4,10,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,73
3,11,73
3,11,72
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,12,72
3,12,72
3,12,72
3,12,75
4,12,75
4,12,75
4,12,75
4,12,75
4,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,74
3,12,72
2,11,75
2,11,75
2,11,75
2,11,74
2,11,74
2,11,74
2,11,73
3,11,73
3,11,73
4,11,73
4,11,74
4,11,74
4,11,74
4,11,74
4,10,74
4,10,75
4,10,74
4,10,74
4,10,74
4,10,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,73
3,10,73
3,11,73
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
2,11,70
2,10,70
2,11,70
2,11,70
2,11,71
3,11,71
3,12,72
3,12,72
4,12,72
4,12,74
4,11,74
4,11,74
4,11,74
3,12,74
3,12,74
3,12,75
3,12,75
3,12,75
3,12,75
3,12,75
3,12,74
3,12,73
3,12,72
4,12,72
4,12,71
4,12,71
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,74
2,11,74
2,11,73
3,11,73
3,11,73
3,11,73
4,11,74
4,11,74
4,11,74
4,11,74
4,10,74
4,10,74
4,10,74
3,10,74
4,10,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,73
3,11,73
3,11,73
3,11,71
3,11,71
3,11,71
3,11,71
3,10,71
2,10,70
2,10,70
2,10,70
2,10,70
3,11,70
3,11,71
3,11,71
3,11,71
4,11,72
4,11,72
4,11,72
4,11,72
4,11,72
3,11,72
3,12,72
3,12,72
3,12,72
3,12,73
3,12,73
3,12,73
3,12,73
3,12,72
3,12,72
4,12,72
4,12,71
4,12,71
4,12,71
4,12,70
4,12,70
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,75
2,11,74
2,11,74
2,11,73
3,11,73
3,11,73
3,11,73
4,11,74
4,11,74
4,11,74
4,11,74
4,10,74
4,10,74
3,10,74
3,10,74
3,10,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,73
3,11,73
3,11,73
3,11,73
3,11,71
3,11,71
3,10,71
2,10,70
2,10,70
2,10,70
2,10,70
3,11,70
3,11,70
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,72
3,11,72
3,11,72
3,11,72
3,11,72
3,11,72
3,11,71
3,11,71
4,12,71
4,12,71
4,12,70
4,12,70
4,12,70
3,12,69
3,12,69
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,75
2,11,75
2,11,75
3,11,75
3,12,76
3,12,76
3,12,75
2,11,75
2,11,74
2,11,74
2,11,74
3,10,74
3,10,74
3,11,74
4,11,74
4,11,74
4,11,74
3,11,74
3,11,74
3,11,74
3,10,73
3,11,74
3,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
4,11,74
3,11,74
3,11,74
3,11,74
3,10,73
3,10,73
2,10,73
2,10,72
2,10,71
2,10,70
2,10,70
3,11,70
3,11,70
3,11,70
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
