L,A,B
23,150,140
26,152,143
25,151,142
24,152,142
23,151,141
23,151,140
21,151,140
21,151,139
21,151,139
21,151,139
21,149,139
21,149,139
21,149,139
21,149,139
21,149,139
21,149,140
21,149,140
23,150,141
25,150,142
24,152,142
26,152,143
27,152,144
29,154,145
29,155,145
32,155,146
32,155,146
32,155,146
33,155,146
33,155,146
33,155,146
29,154,145
29,153,145
28,152,145
27,152,144
26,152,143
25,151,142
24,152,142
23,151,141
21,151,140
21,151,140
21,148,140
21,149,139
21,149,139
20,150,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,150,139
21,148,140
21,151,140
23,151,141
24,151,142
26,152,143
27,155,144
29,154,145
29,155,145
31,155,146
32,155,146
32,155,146
33,155,147
33,155,147
33,155,147
33,155,146
33,155,146
32,155,146
32,155,146
32,155,146
32,155,146
31,156,146
31,156,146
31,154,146
30,154,145
29,154,145
29,154,145
28,152,145
27,151,144
26,152,143
26,151,143
25,150,142
24,149,142
23,149,141
23,149,141
21,149,140
21,149,139
21,149,139
20,150,139
20,147,139
20,147,139
20,147,139
20,147,139
19,149,139
20,150,139
21,148,140
21,151,140
24,151,142
25,151,142
27,152,143
29,154,145
29,155,145
31,155,146
32,155,146
33,156,146
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,147
33,155,146
33,155,146
32,155,146
32,155,146
32,154,146
30,154,144
28,152,144
27,153,143
34,157,148
34,157,148
33,155,147
33,156,147
33,156,147
32,155,146
32,155,146
31,156,146
31,154,146
31,154,146
29,154,145
29,153,145
28,152,145
27,151,144
26,151,143
25,150,142
25,150,142
23,150,141
23,149,141
21,149,140
21,149,139
21,149,139
20,150,139
20,150,139
20,150,139
20,150,139
20,150,139
20,150,139
21,148,140
21,151,140
23,151,141
24,152,142
26,152,142
27,154,143
29,155,145
31,155,146
33,156,146
33,156,146
33,156,147
34,155,147
34,155,147
34,155,147
34,155,147
34,155,147
33,155,147
33,155,147
33,155,146
33,155,146
32,155,146
31,155,146
29,154,145
27,153,143
27,155,144
27,153,143
27,153,143
27,153,143
28,152,144
35,157,148
35,157,148
35,157,148
34,157,148
34,157,148
34,157,148
33,155,147
33,156,147
33,156,147
32,155,146
32,155,146
31,156,146
31,154,146
31,154,146
29,154,145
29,153,145
28,152,145
27,151,144
26,151,143
26,151,143
25,150,142
25,150,142
23,150,140
23,150,140
23,150,140
23,150,140
23,150,140
23,150,140
23,151,140
23,151,140
23,151,140
23,151,140
24,151,142
25,151,142
27,153,143
29,153,145
30,154,145
32,155,146
33,156,146
33,156,147
33,156,147
34,156,147
34,156,147
34,156,147
34,156,147
34,156,147
34,155,147
34,155,147
33,155,147
33,155,147
33,155,146
32,155,146
31,155,146
29,154,145
27,153,143
27,155,144
27,153,143
27,153,143
27,153,143
28,152,144
28,152,144
28,152,144
28,152,144
36,159,149
36,158,149
35,157,148
35,157,148
35,157,148
35,157,148
34,157,148
34,157,148
34,157,148
33,155,147
33,155,147
33,155,147
33,156,147
32,155,146
32,155,146
31,156,146
31,156,146
31,154,146
31,154,146
29,154,145
29,153,145
28,152,145
28,152,145
27,152,144
27,152,143
27,152,143
27,152,143
27,152,143
27,152,143
27,152,143
27,152,143
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
29,153,145
29,154,145
33,155,146
33,155,147
34,155,147
34,155,147
35,156,148
35,156,148
35,156,148
35,156,148
36,157,148
36,157,148
36,157,148
36,157,148
36,157,148
34,155,147
34,155,147
33,155,147
32,155,146
32,155,146
30,154,145
29,153,145
27,153,144
27,153,143
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
36,159,149
36,159,149
36,159,149
36,157,149
35,157,148
35,157,148
35,157,148
35,157,148
34,157,148
34,157,148
33,157,147
33,155,147
33,155,147
33,155,147
33,156,147
32,155,146
32,155,146
31,156,146
31,156,146
31,156,146
31,156,146
31,154,146
31,154,146
31,154,146
32,154,146
32,154,146
31,153,146
31,153,146
31,153,146
31,153,146
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
32,155,146
33,155,147
33,155,147
34,155,147
34,155,148
34,156,147
36,157,149
36,157,149
36,157,149
36,157,149
36,157,149
36,157,149
36,157,149
36,156,149
36,156,149
36,156,149
36,157,148
34,156,147
34,155,147
33,155,147
33,155,146
32,155,146
30,154,145
29,154,145
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
28,152,144
29,153,145
29,153,145
29,153,145
29,153,145
29,153,145
29,153,145
36,159,149
36,159,149
36,159,149
36,159,149
36,159,149
36,157,149
36,158,149
35,157,148
35,157,148
35,157,148
34,157,148
34,157,148
34,157,148
33,157,147
33,155,147
33,155,147
33,156,147
33,156,147
32,155,146
32,155,146
32,155,146
31,156,146
31,156,146
31,156,146
31,156,146
31,156,146
32,155,146
33,155,147
