B,G,R
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,11,79
2,10,79
2,10,79
2,10,79
1,10,78
1,10,78
1,10,78
1,10,77
1,10,77
2,10,79
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
3,10,81
3,10,81
3,10,81
2,10,81
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,11,79
2,10,79
2,10,79
2,10,79
2,10,78
1,10,78
1,10,78
1,10,77
1,10,77
1,11,77
1,11,77
1,10,77
1,10,77
1,10,77
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
2,10,79
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,81
2,10,81
3,10,81
3,10,81
3,10,81
3,10,81
3,10,81
3,10,81
2,10,81
2,10,81
2,10,80
2,10,80
2,10,81
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,79
2,10,79
2,10,79
2,11,78
2,11,78
2,11,78
2,11,78
1,11,78
1,10,77
1,10,77
1,10,76
1,10,76
1,10,76
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,78
1,10,78
1,10,78
2,10,79
2,10,80
2,10,80
2,10,80
2,10,82
2,10,82
2,10,82
2,10,82
2,10,82
2,10,82
2,10,82
3,10,82
3,10,82
3,10,82
3,10,83
3,10,83
3,10,83
3,10,82
3,10,82
2,10,82
3,10,82
3,10,83
3,10,83
3,10,83
3,10,81
2,10,80
2,10,80
2,10,80
2,10,80
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
2,10,78
2,10,78
1,10,78
1,10,76
1,10,76
1,10,76
1,10,77
1,10,77
1,10,77
1,10,77
1,10,78
1,10,78
1,10,78
1,10,76
0,10,76
0,10,76
1,10,76
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
2,11,78
2,10,78
2,10,80
2,10,80
2,10,82
2,10,82
2,10,82
3,10,83
3,10,83
3,10,83
3,10,82
2,10,82
3,10,82
3,10,82
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
2,10,82
2,10,80
2,11,80
2,11,80
2,11,80
2,11,79
2,11,79
2,11,79
2,11,79
2,10,79
2,10,79
2,10,78
1,10,78
1,10,77
1,10,77
1,10,77
1,10,77
1,10,77
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
2,10,78
1,10,76
1,9,76
0,9,76
0,9,76
0,9,76
0,10,76
1,10,76
1,10,77
1,10,77
1,10,77
1,10,77
2,11,78
2,11,78
2,11,80
2,11,80
2,10,82
2,10,82
2,10,82
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,9,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,83
3,10,84
3,10,84
3,10,84
3,10,85
3,10,84
3,10,84
3,10,84
3,10,84
3,10,84
3,10,84
4,10,84
4,10,84
3,10,83
3,10,83
3,11,81
3,11,81
2,11,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,79
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
2,11,79
2,10,78
1,10,78
1,10,77
1,9,76
1,9,76
0,9,76
0,9,76
0,10,76
1,10,76
1,10,77
1,10,77
2,11,78
2,11,78
2,11,79
2,11,80
3,11,80
2,11,81
2,10,82
3,10,82
3,10,83
3,10,83
3,10,83
4,10,84
4,10,84
4,10,84
3,10,83
3,9,83
3,9,83
3,9,83
3,10,83
3,10,84
3,10,84
3,10,84
3,10,84
3,10,85
3,10,85
3,10,85
3,10,85
3,10,85
3,10,85
3,10,85
4,10,85
4,10,85
4,10,85
4,10,84
4,10,84
3,10,83
3,10,83
3,10,82
3,10,82
2,10,81
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,79
2,10,79
2,10,79
2,10,79
2,10,79
2,10,79
2,10,79
2,10,79
2,10,79
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
2,11,79
2,11,79
2,11,79
2,11,79
2,11,78
1,10,78
1,10,77
1,10,76
1,10,76
1,10,76
1,10,76
1,10,76
1,10,77
2,10,78
2,10,79
2,11,79
2,10,80
2,11,80
3,11,81
3,11,81
3,10,82
3,10,82
3,10,83
3,10,84
3,10,85
3,10,85
4,11,85
4,11,86
4,11,86
3,10,85
3,10,85
3,10,84
3,10,84
3,10,84
3,10,84
3,10,84
3,10,85
3,10,86
3,10,86
3,10,86
3,10,86
3,10,87
3,10,87
3,10,87
3,10,87
4,10,87
4,10,87
4,10,87
4,10,85
4,10,85
3,10,84
3,10,84
3,10,84
3,10,84
3,10,83
3,10,83
3,10,83
3,10,83
2,10,82
2,10,82
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,79
2,11,79
2,11,79
2,11,79
2,10,79
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
1,10,78
2,11,78
2,10,80
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
2,10,79
2,10,78
2,10,78
2,10,78
2,10,78
2,10,78
2,10,79
2,10,79
2,10,79
2,10,80
2,10,80
2,10,80
2,10,81
3,10,81
3,11,82
3,10,83
3,10,84
3,10,84
3,10,85
3,10,85
3,10,86
4,11,86
4,11,86
4,11,86
4,11,86
3,11,86
3,10,86
3,10,85
3,10,85
3,10,85
3,10,85
3,10,86
3,10,86
2,10,86
3,10,87
3,10,88
3,10,88
3,11,88
4,11,88
4,11,88
4,10,87
4,10,87
4,10,87
4,10,87
4,10,87
4,10,87
4,10,85
3,10,85
3,10,85
4,10,85
4,10,85
4,10,85
4,10,85
4,10,85
3,10,83
3,10,83
3,10,83
2,10,82
2,10,80
2,11,80
2,11,80
2,11,80
2,11,80
2,11,80
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
1,10,78
1,10,78
1,10,78
1,10,78
2,11,78
2,11,78
2,11,78
2,11,78
2,10,80
2,10,80
2,10,80
2,10,80
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
2,10,79
2,10,79
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,80
2,10,82
2,10,82
2,10,83
3,10,84
3,10,84
3,10,85
3,10,85
3,10,87
3,10,87
3,10,87
4,11,87
4,11,88
4,11,88
4,11,88
4,11,88
3,11,88
3,10,87
3,10,87
3,10,87
3,10,87
3,10,87
3,10,87
3,10,87
2,9,88
2,9,88
2,10,88
3,11,89
3,11,90
4,11,90
4,11,90
4,11,89
4,10,89
4,10,89
4,10,89
4,10,88
4,10,88
4,10,88
4,10,88
4,10,88
4,11,88
4,10,87
4,10,87
4,10,87
4,10,87
3,10,86
3,10,85
3,10,85
3,10,85
3,10,84
3,11,84
3,11,84
3,11,84
2,11,82
2,11,81
2,11,80
2,11,79
2,11,79
2,11,79
2,11,79
2,11,79
2,10,78
2,11,78
2,11,78
2,11,78
2,11,78
2,11,78
2,11,77
1,11,77
1,10,76
1,10,79
2,10,80
2,10,80
2,10,80
2,10,80
2,11,80
2,11,80
2,11,79
2,11,79
2,11,79
2,11,80
2,10,80
3,10,81
3,10,81
3,10,81
3,10,82
3,10,82
3,10,82
2,10,82
2,10,83
2,10,84
2,10,84
2,10,85
3,10,85
3,10,87
3,10,87
3,10,87
3,10,87
3,10,88
3,10,88
4,11,89
4,11,89
4,11,89
4,11,88
3,11,88
3,11,88
3,10,88
3,10,88
