B,G,R
2,9,66
2,10,70
2,10,69
2,10,69
2,10,69
2,10,69
2,10,69
2,10,69
2,10,68
2,11,68
2,11,68
2,11,68
2,10,68
2,10,68
2,10,67
2,10,67
2,10,67
2,10,67
2,10,67
2,10,67
3,10,67
3,10,67
3,10,67
2,9,66
2,9,66
2,9,66
2,9,66
2,9,66
3,10,67
3,10,67
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,70
2,10,70
2,10,69
2,10,69
2,10,69
2,10,69
2,10,68
2,10,68
2,11,68
2,11,68
2,11,68
2,11,68
2,11,68
1,10,67
1,10,67
2,10,67
2,10,67
2,9,66
2,9,66
3,10,67
3,10,67
2,9,66
2,9,66
2,9,66
2,9,66
2,9,66
3,10,67
4,11,68
4,11,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
2,10,70
2,10,70
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,70
2,10,70
2,10,69
2,10,69
2,10,68
1,10,68
1,10,68
1,10,68
2,11,68
2,11,68
2,11,68
2,11,68
2,11,68
1,10,67
1,10,67
1,9,66
0,9,66
0,9,66
1,9,66
2,9,66
3,10,67
3,10,67
2,9,66
2,9,66
3,10,67
3,10,67
4,11,68
4,11,68
4,11,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
2,9,66
2,9,68
2,10,69
2,10,70
2,10,70
2,10,70
2,10,70
2,10,70
3,11,70
3,11,71
3,11,71
3,11,71
3,11,71
3,11,71
3,11,70
2,10,70
2,10,69
2,10,69
2,10,69
2,10,68
1,9,68
1,9,67
2,10,67
2,10,67
2,10,67
2,10,68
2,10,68
2,10,67
1,10,67
1,10,67
0,9,66
0,9,66
0,9,66
1,9,66
2,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,68
3,10,67
3,9,67
3,9,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
2,8,65
2,9,66
2,9,67
2,9,68
3,9,68
3,9,68
3,10,69
2,10,70
2,10,70
2,10,70
3,10,70
3,11,70
3,11,70
2,10,70
2,10,70
2,10,70
2,10,70
2,10,69
2,10,69
2,10,69
1,9,68
1,9,68
1,9,67
1,9,67
1,9,67
2,10,67
2,10,67
2,10,67
2,10,67
1,10,67
1,10,67
0,9,66
0,9,66
0,9,66
0,9,66
1,9,66
1,9,66
2,10,67
2,9,66
2,9,66
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,9,67
3,9,67
3,9,67
3,9,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
1,9,62
2,8,62
2,8,63
2,8,63
2,8,65
2,9,66
3,9,67
3,9,68
3,9,68
3,9,68
3,9,69
3,10,69
2,10,69
2,10,69
2,10,69
2,10,69
2,10,69
1,9,68
1,9,68
1,9,68
1,9,68
1,10,68
1,10,68
1,9,68
1,9,67
1,9,67
1,9,67
2,9,67
2,9,66
2,10,67
2,10,67
2,10,67
1,9,67
0,9,67
0,9,66
0,9,66
0,9,66
0,9,66
0,9,66
1,9,66
2,9,66
2,9,66
2,9,66
2,9,66
3,10,67
3,10,67
3,10,67
3,10,67
3,9,67
2,9,67
3,9,67
3,9,67
3,9,67
3,9,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
4,11,68
4,11,68
4,11,68
4,11,68
3,10,67
3,10,67
3,10,67
3,10,67
2,9,60
2,9,60
2,9,61
2,9,61
2,8,62
2,8,63
2,9,64
2,9,66
2,9,66
3,9,67
3,9,68
3,9,68
2,9,68
2,9,68
2,9,68
2,9,68
2,10,69
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,67
1,9,67
2,9,67
2,9,67
2,9,66
2,10,67
2,9,67
2,10,67
1,9,67
1,9,67
0,9,67
0,9,66
0,9,66
0,9,66
1,9,66
1,10,67
2,10,67
2,10,67
2,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,9,67
3,9,67
3,9,67
3,9,67
3,9,68
3,9,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
4,11,68
4,11,68
4,11,68
4,11,68
4,11,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
2,9,61
2,9,60
2,9,60
2,9,59
2,9,59
2,9,60
2,9,61
3,8,62
2,8,62
2,8,63
2,8,64
2,8,66
2,9,66
3,9,67
3,9,68
3,9,68
3,9,68
2,9,68
2,9,67
2,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,9,67
1,9,67
2,9,67
2,9,67
2,9,67
2,9,67
2,9,67
2,9,67
2,9,67
1,9,67
0,9,67
0,9,67
0,9,67
1,10,67
1,10,67
1,10,67
2,10,67
2,10,67
2,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,9,67
3,9,68
3,9,68
3,9,68
3,9,68
3,9,68
3,10,68
3,10,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,68
4,11,68
4,11,68
4,11,68
3,11,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
1,9,62
2,9,61
2,9,61
2,9,60
2,9,59
2,9,59
2,9,59
2,9,60
2,8,61
2,8,62
2,8,62
2,8,63
2,8,63
1,8,64
2,8,66
2,9,66
2,9,67
2,9,67
2,9,67
2,9,66
2,9,65
1,9,66
1,9,66
1,9,66
1,9,67
1,9,68
1,9,68
1,9,68
1,9,68
1,9,68
1,10,68
1,10,68
2,10,68
2,10,68
2,10,67
2,10,67
2,9,67
2,9,67
2,9,68
2,9,68
1,9,67
1,9,67
1,9,67
1,9,67
1,10,67
1,10,67
2,10,67
2,11,68
2,11,68
2,10,68
3,10,68
4,10,68
4,10,68
4,10,68
4,10,68
3,9,68
3,9,68
3,9,68
3,9,68
3,9,68
3,9,68
3,10,69
3,10,69
3,10,68
3,10,68
2,10,67
2,10,67
2,10,68
2,10,68
3,10,68
3,11,68
4,11,68
3,11,68
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,10,67
3,11,68
3,11,68
1,9,62
1,9,62
2,9,62
2,9,61
2,9,60
2,9,60
2,9,59
2,9,59
2,9,59
2,9,60
2,8,62
2,8,62
2,8,63
2,8,63
2,8,63
1,8,64
2,8,66
2,9,66
2,9,66
2,8,66
2,8,66
2,8,65
1,8,65
1,9,65
1,9,65
1,9,66
1,9,66
1,9,68
1,9,68
1,9,68
1,9,68
2,10,69
2,10,69
2,10,69
2,10,69
2,10,69
2,10,68
2,10,68
2,10,68
2,9,68
2,9,68
3,9,68
2,9,68
1,9,67
1,9,67
1,10,67
1,10,67
1,10,67
2,11,68
2,11,68
2,11,68
3,11,68
4,10,68
4,10,68
4,10,69
4,10,69
4,10,69
4,10,68
3,9,68
3,9,68
3,9,68
3,10,69
4,10,69
4,10,69
4,10,69
3,10,68
2,10,68
2,9,68
1,9,68
1,9,68
1,9,68
1,10,68
2,10,68
2,11,68
2,10,68
2,10,67
1,10,67
1,10,67
1,10,67
2,10,67
2,10,67
3,10,67
3,11,68
3,11,68
3,11,68
4,11,68
4,11,68
1,9,63
1,9,63
1,9,62
2,9,62
2,9,62
3,9,62
3,9,60
3,9,60
3,9,60
2,9,60
2,9,60
2,9,62
2,8,62
2,8,63
2,8,63
2,8,63
2,9,63
1,8,64
2,9,66
2,9,66
2,9,66
1,8,66
2,8,66
2,8,65
1,8,65
2,8,65
2,9,65
1,9,66
1,9,66
1,9,68
1,9,68
1,9,69
1,9,69
2,10,70
2,9,70
2,9,70
2,9,70
2,9,70
2,9,70
2,10,70
2,10,69
2,10,69
3,10,69
3,10,68
3,9,68
1,9,67
1,10,67
1,10,67
1,10,67
1,10,67
1,10,67
2,11,68
2,11,68
3,11,68
4,11,68
4,10,69
4,10,69
4,10,69
4,10,69
4,10,69
3,10,69
3,10,69
3,10,69
4,11,70
4,12,71
4,12,71
4,11,70
3,10,69
2,10,68
1,9,68
1,9,68
1,9,68
1,9,68
1,10,68
1,10,68
1,10,68
1,10,67
1,10,67
1,10,67
1,10,67
1,10,67
2,10,67
2,11,68
2,11,68
2,11,68
3,11,68
3,11,68
4,11,68
4,11,68
4,11,68
4,11,68
2,9,64
2,9,64
2,9,64
2,9,63
2,9,63
2,9,62
3,9,62
3,9,62
3,9,62
3,9,60
2,9,60
2,9,60
2,9,62
2,9,62
2,8,63
2,8,63
2,8,63
2,8,63
2,9,64
1,9,65
2,9,66
2,10,67
2,9,66
2,9,66
2,9,66
2,9,65
2,9,65
2,9,65
2,9,66
1,9,66
1,9,67
1,9,68
1,9,69
2,9,70
2,9,70
2,9,71
2,9,71
2,9,72
2,9,71
2,9,72
2,9,70
2,10,70
2,10,70
2,10,70
3,10,70
3,10,69
3,10,69
2,10,68
1,10,67
1,10,67
1,10,67
1,10,67
1,10,67
2,10,68
2,11,68
3,11,68
4,10,68
4,10,69
4,10,69
4,10,69
4,10,69
4,10,69
4,10,69
3,10,69
4,11,70
7,15,74
7,15,74
5,13,72
4,12,71
3,11,70
2,10,69
1,9,68
1,9,68
1,9,68
1,9,68
1,10,68
1,10,68
1,10,68
1,10,67
1,10,67
1,10,67
1,10,67
1,10,67
2,11,68
2,11,68
