B,G,R
2,15,136
0,15,137
0,15,138
1,15,138
2,16,137
3,16,137
3,16,137
3,16,137
2,15,137
2,15,137
2,15,137
3,15,136
3,15,136
2,15,135
2,15,136
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
3,15,138
3,15,137
3,15,137
3,15,136
3,15,136
3,15,136
2,15,137
2,15,137
2,15,137
2,15,137
0,15,137
0,15,137
0,15,138
1,15,138
1,16,138
1,16,137
2,16,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
3,15,137
3,15,137
3,15,137
2,15,136
2,15,136
2,15,137
1,15,137
2,16,137
2,16,137
3,16,136
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
0,15,137
0,15,137
0,15,137
1,15,137
1,15,137
1,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
1,15,137
1,15,137
1,16,137
2,16,137
3,16,137
3,16,136
3,17,135
4,17,134
4,16,132
4,16,132
1,16,139
2,15,139
2,15,138
2,15,138
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
1,15,137
1,15,137
1,15,137
1,15,137
1,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,16,137
2,16,137
2,15,137
1,15,137
1,15,137
1,15,137
1,15,137
1,15,137
2,16,137
3,16,137
3,16,136
3,16,135
4,16,134
4,16,134
4,16,133
4,16,132
4,16,132
4,16,132
1,15,139
1,15,139
2,15,139
2,15,139
2,15,139
2,15,139
2,15,138
2,15,138
2,15,137
3,16,137
3,16,137
3,15,137
3,15,137
4,15,137
4,15,137
2,15,137
2,15,137
2,15,137
2,15,137
1,15,137
1,15,137
1,15,137
1,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
1,15,137
0,15,137
0,15,137
1,15,137
1,15,137
1,16,137
1,16,137
3,16,137
3,16,136
3,16,135
3,16,135
3,16,134
4,16,134
4,16,134
4,16,134
3,16,133
3,15,133
3,16,133
1,15,139
1,15,139
1,15,140
1,15,140
2,15,139
3,15,139
3,15,139
3,15,139
3,15,139
3,15,138
3,15,137
3,15,137
3,15,137
3,16,137
3,15,137
4,15,137
4,15,136
4,15,136
4,15,136
3,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,15,136
4,15,136
4,15,136
4,15,136
4,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
3,16,138
3,16,138
2,16,138
2,15,138
1,15,137
0,15,137
0,15,137
0,15,137
0,15,137
1,16,138
1,16,138
1,16,138
2,16,137
2,16,137
2,16,136
2,16,136
3,16,136
4,16,136
3,16,136
3,15,136
3,15,136
2,15,136
2,16,136
2,16,136
2,16,136
2,14,138
