B,G,R
2,15,135
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
4,15,137
4,15,137
2,15,136
2,15,136
2,15,136
1,15,135
1,15,135
1,15,135
1,15,135
3,15,135
3,14,135
3,14,135
3,14,135
3,14,135
3,14,135
3,15,135
3,15,136
3,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
3,15,136
2,15,137
2,15,137
2,15,137
1,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,136
2,16,136
2,16,136
2,15,136
2,15,135
1,15,135
1,15,135
1,15,135
3,15,135
3,15,135
3,15,135
3,14,135
3,14,135
3,15,135
2,15,135
2,15,136
2,15,136
2,15,136
2,15,136
3,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
2,15,136
2,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
3,15,136
2,15,136
2,15,137
1,15,137
0,15,137
0,15,137
2,15,137
2,15,137
2,15,137
2,16,136
2,16,136
2,16,136
2,15,136
2,15,135
2,15,135
2,15,135
1,15,135
3,15,135
3,15,135
3,15,135
3,15,135
3,15,135
3,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,15,136
2,16,136
2,16,136
2,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
2,15,137
2,15,137
2,15,137
2,15,137
3,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
3,15,136
2,15,137
2,15,137
2,15,137
0,15,137
0,15,137
2,15,137
2,15,137
2,15,137
2,16,136
2,16,136
2,16,136
3,15,135
3,14,135
3,14,135
3,14,135
3,15,135
3,15,135
3,15,135
3,15,135
3,15,135
3,15,136
2,15,136
2,15,136
2,15,137
2,15,137
2,16,137
2,16,137
2,16,137
2,16,137
2,16,136
2,15,136
3,15,136
4,15,136
3,15,136
3,15,136
3,15,136
3,15,136
3,15,135
3,15,135
3,15,136
3,15,135
3,15,135
3,15,136
4,16,136
5,16,137
2,16,137
2,16,137
2,16,137
2,15,137
2,15,137
2,15,137
2,15,137
4,15,137
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
3,15,136
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,136
3,15,136
3,15,136
3,14,135
3,14,135
3,14,135
3,14,135
3,14,135
3,15,135
3,15,135
3,15,136
3,15,136
2,15,136
2,15,137
2,15,137
2,15,137
2,15,137
2,16,138
2,16,138
2,16,138
2,16,138
2,16,137
3,15,137
3,15,137
3,15,136
3,15,136
3,15,136
3,15,136
3,15,136
3,15,135
3,15,135
3,15,135
3,15,135
3,15,135
3,15,135
3,16,136
3,16,136
3,16,137
4,16,137
3,15,136
1,16,138
1,16,138
1,16,138
1,16,138
2,16,138
2,16,138
2,15,137
2,15,137
2,15,137
3,15,137
4,15,137
4,15,136
4,15,136
4,15,136
4,15,136
4,15,136
3,15,136
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
2,15,137
4,15,137
4,15,136
4,15,136
4,14,135
4,14,135
4,14,135
4,14,135
4,14,135
4,15,136
