H,S,V
4,211,29
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,227,27
5,217,27
5,217,27
5,217,27
3,200,28
3,202,29
3,202,29
3,202,29
3,202,29
3,204,30
4,206,31
4,204,30
3,204,30
3,202,29
5,219,28
5,217,27
5,217,27
4,217,27
5,217,27
4,217,27
5,227,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
4,217,27
4,208,27
3,198,27
3,198,27
1,198,27
3,198,27
3,200,28
3,202,29
3,202,29
3,202,29
4,209,28
5,219,28
5,217,27
5,217,27
5,217,27
4,217,27
5,217,27
5,217,27
5,217,27
5,219,28
5,209,28
5,211,29
4,217,27
4,217,27
4,217,27
4,217,27
4,217,27
4,217,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,226,26
5,226,26
5,226,26
5,226,26
4,216,26
3,208,27
3,208,27
3,208,27
3,206,26
3,208,27
4,208,27
4,209,28
5,219,28
5,217,27
5,217,27
5,217,27
5,217,27
5,217,27
5,226,26
5,217,27
5,217,27
5,217,27
5,217,27
5,209,28
5,209,28
5,209,28
5,220,29
5,220,29
6,229,29
6,229,29
5,219,28
4,209,28
4,209,28
4,209,28
5,217,27
4,217,27
4,217,27
4,217,27
5,227,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
3,206,26
4,216,26
4,216,26
5,226,26
5,226,26
5,217,27
5,217,27
5,217,27
5,217,27
5,217,27
5,216,26
5,216,26
5,216,26
5,216,26
5,217,27
5,209,28
5,209,28
5,219,28
5,219,28
5,219,28
6,229,29
6,229,29
6,229,29
4,222,31
4,222,31
5,207,32
5,227,27
5,227,27
4,217,27
5,217,27
5,217,27
5,217,27
5,217,27
4,217,27
5,227,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
3,204,25
4,214,25
5,226,26
5,226,26
5,226,26
5,226,26
5,216,26
5,217,27
5,217,27
5,217,27
5,217,27
5,217,27
5,217,27
5,216,26
5,216,26
5,217,27
5,217,27
5,217,27
5,217,27
5,219,28
6,228,28
5,228,28
6,228,28
5,220,29
5,214,31
4,203,34
4,180,34
4,180,34
5,201,33
4,217,27
5,226,26
5,226,26
5,226,26
5,226,26
5,227,27
5,227,27
4,217,27
5,217,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
3,204,25
5,224,25
5,224,25
5,224,25
5,224,25
5,226,26
7,226,26
5,216,26
5,217,27
5,208,27
5,208,27
5,217,27
5,216,26
5,216,26
5,226,26
5,216,26
5,216,26
5,226,26
5,226,26
5,226,26
5,227,27
5,227,27
6,227,27
5,219,28
5,211,29
5,183,32
4,180,34
4,180,34
4,183,32
2,206,31
3,214,31
3,214,31
4,217,27
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
3,204,25
5,224,25
5,224,25
7,224,25
5,224,25
5,224,25
7,224,25
7,226,26
5,208,27
5,208,27
5,208,27
5,208,27
5,216,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,226,26
5,226,26
5,226,26
5,227,27
5,217,27
5,209,28
5,196,30
5,183,32
5,183,32
5,197,31
4,213,30
4,211,29
4,211,29
4,213,30
3,214,31
5,219,28
5,217,27
5,217,27
4,216,26
5,226,26
5,226,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
3,204,25
8,222,23
8,222,23
8,222,23
8,222,23
7,223,24
7,224,25
6,214,25
4,206,26
5,208,27
5,208,27
5,216,26
5,216,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,226,26
5,226,26
5,216,26
5,217,27
5,209,28
5,196,30
5,196,30
4,211,29
4,211,29
4,211,29
4,211,29
4,211,29
4,211,29
3,214,31
2,214,31
2,214,31
4,209,28
4,209,28
4,209,28
5,217,27
5,217,27
5,216,26
5,226,26
5,226,26
5,226,26
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
5,224,25
3,204,25
3,204,25
3,204,25
5,200,23
8,222,23
8,222,23
8,222,23
8,222,23
