H,S,V
7,202,63
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,63
7,202,63
7,202,63
7,202,63
7,202,63
7,206,63
7,206,63
7,206,63
7,202,63
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,63
6,198,63
6,198,63
6,198,63
7,198,63
7,198,63
7,198,63
7,194,63
6,199,64
6,199,64
6,199,64
6,199,64
7,202,63
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,62
7,202,63
7,202,63
7,202,63
7,202,63
7,202,63
7,206,63
7,206,63
7,206,63
7,207,64
7,207,64
6,203,64
6,203,64
6,199,64
6,199,64
6,203,64
6,203,64
6,203,64
6,199,64
6,198,63
7,198,63
7,199,64
7,199,64
6,195,64
7,195,64
7,195,64
7,195,64
7,195,64
8,194,63
7,207,64
7,208,65
7,208,65
7,207,64
6,203,64
6,199,64
6,199,64
6,199,64
6,199,64
6,203,64
7,202,63
7,202,63
7,202,63
7,202,62
7,202,62
7,202,63
7,202,63
7,202,63
7,202,63
6,206,63
6,206,63
6,206,63
7,207,64
7,207,64
7,207,64
7,207,64
6,203,64
6,199,64
6,199,64
6,199,64
6,199,64
6,203,64
6,203,64
6,199,64
6,199,64
7,199,64
6,195,64
6,195,64
6,195,64
6,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,191,64
7,191,64
7,195,64
8,194,63
8,194,63
7,210,63
7,207,64
7,207,64
7,208,65
7,208,65
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
6,204,65
6,203,64
6,203,64
6,203,64
7,202,63
7,202,63
7,202,63
6,203,64
7,202,63
7,202,63
6,206,63
6,206,63
6,206,63
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
6,203,64
6,199,64
6,199,64
6,199,64
6,199,64
6,203,64
6,203,64
6,200,65
6,200,65
6,200,65
6,196,65
6,195,64
6,195,64
6,195,64
6,195,64
7,195,64
7,195,64
7,195,64
7,191,64
7,191,64
7,195,64
7,195,64
7,195,64
7,195,64
7,191,64
7,192,65
7,192,65
7,207,64
7,207,64
7,207,64
7,210,63
7,207,64
7,207,64
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,208,65
6,203,64
6,203,64
6,203,64
6,203,64
6,203,64
6,203,64
6,203,64
7,207,64
6,207,64
7,211,64
6,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
6,204,65
6,204,65
6,204,65
6,204,65
6,205,66
6,205,66
7,205,66
6,201,66
6,201,66
6,196,65
6,200,65
7,199,64
7,199,64
7,199,64
7,199,64
6,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,192,65
7,192,65
7,192,65
7,192,65
7,192,65
6,188,65
6,203,64
6,203,64
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,208,65
7,207,64
7,207,64
7,207,64
6,203,64
6,203,64
7,207,64
7,208,65
7,207,64
7,211,64
7,212,65
7,212,65
7,208,65
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,205,66
7,205,66
6,201,66
6,201,66
6,200,65
6,200,65
7,199,64
7,199,64
7,199,64
7,199,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
7,192,65
7,192,65
7,192,65
7,192,65
7,192,65
7,192,65
7,192,65
6,188,65
6,187,64
6,203,64
7,207,64
7,207,64
7,208,65
7,208,65
7,207,64
7,207,64
7,207,64
7,207,64
7,208,65
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,208,65
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,207,64
7,208,65
7,208,65
7,208,65
7,208,65
7,208,65
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,209,66
7,206,67
7,206,67
7,206,67
6,201,66
6,201,66
6,200,65
6,200,65
7,199,64
7,199,64
7,199,64
7,195,64
7,195,64
7,195,64
7,195,64
7,195,64
