L,A,B
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,140,136
19,140,136
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
17,139,136
17,139,136
17,141,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
18,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,140,136
20,140,136
20,141,136
20,141,136
20,141,136
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,139,136
17,141,136
17,141,136
17,141,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
19,140,136
19,140,136
20,140,137
20,141,136
20,141,136
21,141,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,139,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,139,136
19,140,136
19,140,136
19,140,136
20,140,137
20,140,137
20,141,136
21,141,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,136
20,140,136
21,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,139,136
17,139,136
17,139,136
17,141,136
18,141,136
18,142,136
18,142,136
18,142,136
18,141,136
18,141,136
18,141,136
17,141,136
17,141,136
17,141,136
19,139,136
19,139,136
18,141,136
18,141,136
19,139,136
19,139,136
19,140,136
18,142,136
19,140,136
19,140,136
20,140,137
20,140,137
20,141,136
21,141,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,136
20,140,136
20,141,136
20,141,136
20,141,136
17,141,137
17,141,137
17,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,139,136
19,139,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,136
19,142,136
20,140,136
20,141,136
20,141,136
20,141,136
20,141,136
20,141,136
21,141,136
17,141,136
17,141,137
17,141,137
17,141,137
17,141,136
18,141,137
18,142,136
18,142,136
18,142,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,141,136
17,139,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,139,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,136
19,142,136
19,142,136
19,142,136
20,141,136
20,141,136
20,140,136
19,142,136
20,141,136
20,141,136
20,141,136
21,141,137
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,137
18,141,137
18,141,137
18,141,137
18,142,136
18,142,136
18,141,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,139,136
17,139,136
17,141,136
17,139,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
19,139,136
19,139,136
19,139,136
19,140,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
19,142,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,136
19,142,136
19,142,136
19,142,136
20,140,136
20,140,136
20,140,136
19,142,136
20,140,136
20,140,136
20,140,136
20,140,136
21,141,137
20,141,136
20,141,136
18,141,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,142,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
18,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
19,140,136
19,140,136
19,140,136
19,140,136
20,140,137
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
19,142,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,136
19,142,136
19,142,137
19,142,136
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
20,140,137
19,142,136
18,142,135
19,140,136
20,140,136
20,140,136
20,140,136
19,140,136
19,140,136
19,140,136
20,140,136
20,140,136
20,140,136
20,140,136
20,140,136
20,141,136
20,141,136
20,143,135
17,141,136
17,141,136
17,141,136
18,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
17,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,141,136
18,142,136
18,141,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
18,142,136
19,140,136
20,140,137
20,140,137
20,140,137
20,140,137
18,142,136
18,142,136
18,142,136
18,142,136
