B,G,R
4,7,28
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,8,29
3,7,29
4,7,29
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
4,8,28
4,8,28
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
5,8,29
5,8,29
5,8,29
5,8,29
5,7,29
4,7,28
4,7,28
4,7,29
4,7,29
4,8,27
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
4,8,28
4,8,28
4,7,28
4,7,28
4,7,28
4,7,28
4,8,28
5,8,28
4,8,28
5,8,28
5,8,28
4,7,28
4,7,28
4,8,29
4,8,29
4,8,29
4,8,29
3,8,29
3,8,30
3,8,30
4,7,28
4,7,28
4,7,27
4,7,27
4,7,27
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
4,8,26
4,8,27
4,8,27
4,8,27
4,8,27
4,7,27
4,7,28
4,7,28
4,7,28
4,7,28
4,7,27
4,8,27
4,8,27
4,8,27
4,8,27
4,7,27
4,7,27
4,7,27
4,7,27
4,8,28
4,8,28
4,8,28
5,8,28
5,8,28
5,8,28
4,8,28
4,8,28
4,8,29
4,8,29
4,8,29
4,8,29
4,8,30
3,8,30
3,7,29
4,7,28
4,7,28
4,7,29
5,8,29
4,8,28
4,8,28
4,7,28
4,7,28
4,7,27
3,7,27
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,26
4,8,26
4,8,26
4,8,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
4,8,26
4,8,27
4,8,27
4,8,27
4,8,27
4,7,27
4,7,27
4,7,27
4,8,27
4,8,28
4,8,28
4,8,28
5,8,28
5,8,28
5,8,28
5,8,28
5,8,29
5,8,29
5,8,29
4,8,29
4,9,30
3,8,29
3,8,29
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
5,8,28
3,7,27
4,7,27
4,8,27
4,8,27
4,7,27
4,7,27
4,7,27
3,7,27
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,8,25
3,7,25
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
4,8,26
4,8,26
4,8,26
4,8,26
3,7,26
3,7,26
3,7,27
4,8,27
4,8,27
4,8,28
4,8,28
5,9,28
5,8,28
5,8,28
5,8,29
5,8,29
5,8,29
5,9,30
6,9,30
5,9,30
3,8,29
3,8,29
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
5,8,28
6,9,29
6,9,29
6,9,29
4,7,28
4,8,27
4,7,27
3,7,27
3,7,27
4,7,26
4,7,26
4,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
4,8,27
4,8,27
4,8,27
4,8,27
5,9,28
5,8,28
5,8,28
4,8,28
5,8,29
5,8,29
6,9,30
6,11,32
6,11,32
5,9,30
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
5,8,28
5,9,28
6,9,29
6,9,29
6,9,29
6,9,30
6,9,30
4,7,28
4,7,28
4,7,28
4,8,27
3,7,27
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,8,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
4,8,27
4,8,27
4,8,27
3,8,26
3,8,27
3,8,27
4,8,28
5,8,29
6,10,30
6,11,32
6,11,32
5,10,31
4,8,29
4,7,28
4,7,28
4,7,28
4,7,28
5,8,28
5,8,28
5,8,28
5,8,28
5,8,28
5,9,28
6,9,29
6,9,29
6,9,29
6,9,30
6,9,30
6,9,30
4,6,29
4,6,28
4,7,29
4,7,29
4,7,28
4,8,28
4,8,27
4,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
4,8,25
4,8,25
3,8,25
3,8,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,8,25
3,8,25
3,8,26
3,8,26
3,8,26
3,8,27
5,9,29
6,10,31
5,10,31
4,9,30
4,8,29
4,8,28
4,7,28
4,7,28
4,7,28
4,8,28
4,8,28
4,8,27
4,8,27
4,8,27
5,9,28
5,9,28
6,9,29
6,9,29
6,9,29
6,9,30
6,9,30
6,9,29
5,8,29
5,8,29
4,7,30
4,7,30
4,6,30
4,7,29
4,7,29
4,7,28
4,7,28
4,7,28
4,7,27
4,7,27
3,7,26
4,7,26
4,7,26
4,7,26
3,7,26
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,8,25
3,8,25
3,8,25
3,8,25
3,8,25
3,8,25
3,8,25
2,8,25
2,8,26
2,8,27
3,9,28
3,9,28
3,9,29
3,9,29
4,8,28
4,8,28
4,8,28
4,8,28
4,8,28
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
5,9,28
5,9,28
6,9,29
6,9,29
6,10,29
6,9,29
6,9,29
5,8,29
5,8,29
4,8,29
4,8,29
9,11,34
7,9,33
6,8,31
4,7,30
4,7,30
4,7,29
4,7,29
4,7,28
4,7,28
4,7,28
4,7,27
4,7,26
4,7,26
5,7,26
5,7,26
5,7,26
5,7,25
5,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
4,7,25
4,7,25
4,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,7,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,25
3,8,25
2,8,25
2,8,25
2,8,26
2,8,26
2,8,27
3,8,27
3,8,28
4,8,28
4,8,28
4,8,28
4,8,28
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,8,27
4,9,28
5,9,28
5,9,28
6,9,29
6,9,29
5,8,29
4,8,28
4,7,28
4,8,29
4,8,29
4,8,29
4,9,30
5,8,31
8,10,33
9,11,34
8,11,34
6,9,32
4,7,30
4,7,29
4,7,28
4,7,28
4,7,28
4,7,28
4,7,27
4,7,26
4,7,26
4,7,26
5,7,26
5,7,26
5,7,25
5,7,25
5,7,25
5,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
3,7,25
4,7,25
4,7,25
4,7,24
4,7,24
4,7,24
4,7,24
3,7,23
3,8,23
3,8,23
3,8,23
3,8,23
3,7,23
3,7,23
3,8,23
3,7,23
3,7,22
3,7,22
3,7,22
3,7,22
3,7,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,23
3,8,24
3,8,24
3,8,25
3,8,25
3,8,26
2,8,26
3,8,26
3,8,27
3,8,27
4,8,27
4,8,27
4,8,27
4,8,26
4,7,26
3,7,26
4,8,26
4,8,26
4,8,26
4,8,27
4,8,27
4,9,28
5,9,28
5,9,29
6,10,30
6,9,30
5,8,29
4,7,28
4,7,28
4,7,28
4,8,29
4,8,29
4,8,29
4,8,30
4,8,30
4,7,28
4,8,29
5,8,30
8,10,32
9,11,34
8,11,34
6,8,30
