B,G,R
9,16,43
8,16,43
8,16,43
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
8,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
10,16,43
11,16,43
11,16,43
12,17,44
8,16,41
8,16,43
8,16,42
8,16,42
8,16,43
8,16,43
8,16,43
8,16,43
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
8,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
10,16,43
10,16,43
12,16,44
12,16,44
12,16,44
12,17,44
12,17,42
11,17,42
11,17,42
11,17,42
7,16,41
7,16,41
8,16,41
8,16,41
8,16,41
8,16,41
9,16,42
8,16,42
8,15,42
8,15,42
8,15,42
8,16,43
8,16,43
8,16,43
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
8,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
10,16,43
10,16,44
10,16,44
12,16,44
12,16,44
12,16,44
12,17,44
12,17,43
11,17,43
11,17,42
11,17,42
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
6,15,41
6,16,41
6,16,41
6,16,41
7,16,41
7,16,41
8,16,41
8,16,41
8,16,41
8,16,41
9,16,42
8,15,42
8,15,42
8,15,42
8,15,42
8,15,42
8,16,43
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
10,16,44
10,16,44
12,16,44
12,16,44
12,16,44
12,17,44
11,17,43
11,17,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
12,19,44
12,19,44
12,19,44
7,16,43
7,16,42
6,16,42
6,16,41
6,16,41
6,16,40
6,16,41
7,16,41
7,16,41
8,16,41
8,16,42
8,16,42
8,16,42
8,16,42
8,15,42
8,15,42
8,15,42
8,15,42
8,15,42
8,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
8,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
10,16,44
10,16,44
10,16,44
12,16,44
12,16,44
12,17,44
11,17,43
11,17,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
11,18,43
12,19,44
12,19,44
12,19,44
11,18,43
12,19,44
12,19,44
7,16,43
7,16,43
7,16,43
7,16,42
6,16,41
6,16,41
6,16,40
6,16,40
6,16,40
6,16,40
7,17,41
7,17,41
7,16,41
8,17,42
8,16,42
7,16,42
7,15,42
7,15,42
7,15,42
7,15,42
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
7,16,43
8,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
9,16,43
