H,S,V
4,243,63
3,244,69
3,244,68
3,244,67
3,244,67
3,240,67
3,240,67
3,240,67
3,239,65
2,240,67
3,239,65
2,239,65
3,243,65
3,243,65
3,243,65
4,247,65
4,247,65
3,243,65
3,243,65
3,243,66
3,243,66
3,244,67
4,243,66
4,244,68
4,243,66
4,243,66
4,243,66
3,240,66
4,244,67
3,244,67
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
3,244,69
3,244,68
3,240,68
3,240,68
3,240,68
2,240,68
3,240,68
2,240,68
3,240,68
3,244,68
3,244,68
4,248,68
4,248,68
4,248,68
4,247,67
4,248,68
3,244,68
4,244,68
4,244,68
4,244,69
4,244,68
4,244,68
4,244,68
4,244,68
4,244,68
3,244,68
3,244,68
3,244,68
3,244,68
4,244,68
4,244,68
3,244,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,70
4,248,70
4,248,70
4,248,70
4,248,70
4,248,69
4,248,69
4,248,69
3,244,69
3,244,69
3,240,70
3,240,70
3,240,70
3,240,70
3,240,70
3,244,69
3,244,69
3,244,69
3,244,70
4,248,70
4,248,70
4,248,70
4,248,70
3,244,70
4,244,71
4,244,71
4,244,71
4,244,71
4,244,71
4,248,71
4,244,70
4,244,70
3,244,70
3,244,69
4,244,69
4,244,69
4,244,69
4,244,69
4,244,68
4,244,68
4,244,68
3,240,67
3,240,66
3,244,69
3,244,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,69
4,248,70
4,248,70
3,248,71
3,248,71
3,248,73
3,248,73
3,248,73
4,248,71
4,248,71
3,248,71
3,248,71
3,244,71
3,241,71
3,241,71
3,241,72
3,241,72
3,241,72
3,241,73
3,245,73
3,245,73
3,245,74
4,248,74
4,248,75
3,248,75
3,248,75
3,245,75
3,245,75
3,245,75
3,245,75
3,245,75
4,248,75
4,248,74
4,248,74
4,248,73
3,245,73
4,244,71
4,244,71
4,244,71
4,244,71
4,244,70
4,244,70
4,248,68
4,244,68
4,244,68
3,240,68
3,240,66
3,240,66
3,240,66
3,240,66
3,240,68
3,240,69
4,244,69
4,248,69
4,248,69
4,248,70
4,248,70
4,248,70
4,248,70
4,248,70
4,248,70
4,248,71
4,248,71
4,248,74
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
3,245,75
3,245,75
3,241,75
3,241,75
3,241,75
3,241,75
3,241,75
3,242,76
3,245,77
3,245,78
3,245,78
3,245,78
3,245,79
3,245,79
3,245,79
3,245,79
3,245,79
3,245,78
3,245,78
3,245,78
3,245,78
4,248,77
3,245,77
3,245,76
3,245,75
3,245,75
3,245,74
3,245,74
3,245,74
3,244,72
4,244,71
4,244,70
4,244,70
4,244,68
4,244,68
4,244,68
3,240,68
3,240,66
3,240,66
3,240,66
3,240,66
3,239,65
3,244,68
4,244,69
4,244,69
4,244,69
4,244,70
4,244,70
4,248,71
4,248,71
4,248,72
4,248,72
4,248,72
4,248,71
4,248,73
4,248,73
4,248,74
4,248,75
4,248,76
4,248,76
4,248,76
4,248,76
4,248,76
4,248,76
4,248,76
4,248,76
4,248,76
3,245,78
3,245,79
3,242,79
3,242,79
3,242,79
3,242,80
3,242,80
3,242,80
3,245,80
3,245,80
3,245,80
3,246,81
3,246,81
3,246,81
3,246,81
3,246,81
3,246,81
3,245,80
3,245,79
3,245,79
3,245,79
3,245,79
3,245,78
3,245,78
3,245,76
3,245,76
3,245,76
3,245,76
3,245,74
3,245,74
4,248,72
4,244,72
4,244,70
4,244,70
4,244,68
4,244,68
4,244,68
3,240,68
3,240,66
3,240,66
3,240,66
3,239,65
3,239,64
3,243,64
4,248,69
4,248,71
4,244,71
3,244,72
3,245,74
3,245,74
3,245,74
3,245,74
4,248,75
4,248,75
4,248,76
4,248,76
4,248,76
4,248,76
3,245,76
3,245,76
3,245,76
3,245,76
3,245,78
4,245,79
4,245,79
4,245,79
4,245,80
