H,S,V
3,243,65
3,236,67
3,240,67
3,244,67
3,244,67
3,243,66
3,243,65
3,243,65
3,243,65
3,243,65
3,247,65
3,247,65
3,247,65
3,247,65
3,243,65
3,243,65
3,243,65
3,243,65
3,247,65
3,243,65
3,243,66
3,244,68
3,244,68
3,240,68
3,240,68
3,244,68
3,244,67
3,244,67
2,240,67
2,240,66
3,247,65
3,247,66
3,244,67
3,240,68
3,237,69
3,237,69
4,240,68
3,240,68
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
4,247,67
4,247,66
3,247,66
4,247,66
4,247,66
3,244,67
3,244,67
3,244,67
3,244,67
4,247,67
3,247,67
4,248,68
3,244,69
3,244,69
3,244,69
3,244,69
3,244,68
3,244,68
3,244,67
2,240,67
2,240,67
2,240,66
2,239,65
3,239,64
3,239,63
3,239,62
4,251,64
4,251,64
4,251,65
3,247,66
3,244,67
3,244,67
3,244,68
4,244,70
4,244,70
4,240,70
3,237,70
3,240,70
3,244,69
3,244,68
3,244,68
3,244,67
3,244,68
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
3,244,67
3,244,68
3,244,68
3,244,68
3,244,69
3,244,69
3,244,69
3,244,69
3,244,69
3,244,69
3,244,69
3,244,69
3,240,69
3,240,68
3,240,67
2,236,66
2,235,64
3,239,64
3,239,62
3,239,62
3,238,61
2,238,61
3,242,61
3,242,61
4,251,64
4,251,64
4,251,64
4,251,66
4,251,66
4,251,66
4,251,67
4,247,67
3,244,69
3,244,69
3,244,70
4,244,71
4,244,71
4,244,71
3,244,71
4,248,70
4,248,70
4,248,70
4,248,70
4,248,69
4,248,70
4,248,69
4,248,69
4,248,69
3,244,70
3,244,70
3,244,70
3,244,70
3,244,70
3,244,70
3,244,70
3,244,70
3,244,70
4,248,70
4,248,70
3,244,70
4,244,71
4,244,71
4,244,71
3,244,70
3,244,69
3,244,69
3,240,69
3,240,69
3,240,68
3,240,66
3,239,65
3,239,64
3,239,63
3,239,62
3,239,62
3,238,61
3,242,61
3,242,61
4,247,61
3,243,62
4,247,62
3,247,64
3,247,64
3,247,64
4,251,64
4,251,66
4,251,66
4,251,66
4,251,67
4,248,68
3,244,69
4,244,70
4,244,71
4,244,71
4,244,71
4,244,71
3,244,72
4,248,72
3,248,72
3,248,72
4,248,70
4,248,70
4,248,70
4,248,70
4,248,70
4,248,70
3,248,71
3,248,71
3,248,71
3,244,71
4,244,71
4,244,71
4,244,71
4,244,71
3,248,71
3,248,71
3,248,71
3,248,71
3,248,71
4,244,71
4,244,71
4,244,71
4,244,71
4,244,71
4,244,71
4,244,70
4,244,70
3,240,69
3,240,69
3,237,69
3,236,67
3,235,65
3,235,65
3,235,64
3,239,63
3,239,62
3,239,62
3,243,62
3,243,62
3,243,62
3,243,62
3,243,62
3,243,64
3,243,64
3,243,62
3,243,63
3,247,64
3,247,64
3,247,64
4,247,64
4,247,66
4,247,67
4,251,68
4,251,69
4,248,69
4,244,70
4,244,71
3,244,72
3,245,73
3,245,73
4,248,73
4,248,73
4,248,73
4,248,73
3,248,72
3,248,72
3,248,73
3,248,73
3,248,72
4,251,72
3,248,72
3,248,72
3,248,72
4,248,73
4,248,73
4,248,73
4,248,73
4,252,73
4,248,73
4,248,73
4,248,73
4,248,73
4,248,73
4,248,73
4,248,73
4,248,74
4,248,74
4,248,74
4,248,73
4,248,72
4,248,71
4,248,71
4,244,71
4,244,70
4,244,70
3,240,69
3,240,69
3,240,67
2,236,66
3,235,65
3,239,65
3,239,65
3,239,64
3,239,64
3,239,64
3,239,63
3,243,63
4,243,63
3,243,64
4,243,64
3,243,65
3,243,65
3,243,65
3,242,61
3,243,62
3,243,62
3,243,64
3,247,65
3,247,66
4,247,66
4,248,68
4,248,68
4,248,69
4,248,70
4,248,71
4,248,72
3,245,73
3,245,74
3,245,74
4,248,74
4,248,74
4,248,74
4,248,74
4,248,74
4,248,75
4,248,74
4,248,74
4,248,74
4,248,74
4,252,73
4,252,73
4,252,73
4,252,73
4,248,74
4,248,74
4,248,74
4,252,73
4,252,73
4,252,73
4,252,74
4,252,74
4,252,74
4,252,74
4,252,74
4,252,74
4,248,75
4,248,75
4,248,75
4,248,75
4,248,74
4,248,74
4,248,73
4,248,71
4,248,71
4,248,71
4,244,70
4,244,70
3,240,70
3,240,69
3,240,68
2,236,67
2,236,66
3,235,65
3,239,65
3,239,65
3,239,65
3,239,65
3,239,65
3,239,65
3,243,65
3,243,65
3,243,66
3,243,66
3,243,66
3,243,66
4,247,65
3,238,59
3,238,60
3,238,60
3,239,62
3,239,63
3,243,65
3,244,67
3,244,67
4,248,68
4,248,68
4,248,69
4,248,70
4,248,71
4,248,72
4,248,74
4,248,74
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,75
4,248,76
4,248,75
4,252,75
4,252,75
