L,A,B
18,145,138
19,148,138
19,148,138
19,148,138
19,148,138
19,146,139
18,147,138
18,147,138
18,145,138
18,145,138
17,146,137
17,146,137
17,146,137
17,146,137
17,146,137
17,146,137
17,147,137
17,147,137
17,147,137
17,147,137
18,147,138
18,147,137
18,147,137
18,145,137
18,145,137
18,145,137
18,145,137
18,147,136
18,147,136
19,146,137
19,148,139
19,146,139
19,146,139
19,146,139
19,146,138
19,146,138
19,146,138
19,146,138
18,147,137
18,147,137
18,145,137
17,146,136
17,146,136
17,146,137
17,146,137
17,146,137
17,146,137
17,146,137
17,146,137
17,144,137
17,144,137
17,144,137
16,146,136
17,144,137
17,146,137
17,146,136
17,146,136
17,146,136
17,146,136
18,145,137
18,145,137
18,145,136
18,145,136
18,145,136
18,145,137
17,146,136
18,145,137
18,145,137
18,147,137
20,147,139
20,147,139
19,148,139
19,148,139
19,146,139
19,146,139
19,146,139
18,147,138
18,147,138
18,147,138
18,147,137
18,147,137
18,147,137
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,144,137
16,146,136
16,146,136
16,146,136
17,144,137
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
18,145,137
18,145,137
18,145,136
18,145,136
18,145,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
18,145,137
18,145,137
18,147,137
18,148,137
18,147,138
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
19,148,138
19,148,139
19,146,139
19,146,139
18,147,138
18,147,138
17,147,137
17,147,137
17,147,136
17,147,136
17,147,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
16,146,136
16,146,136
16,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
17,146,136
18,145,137
18,145,136
18,145,136
18,145,136
18,145,136
17,146,136
17,146,136
17,144,137
17,144,137
17,144,136
17,146,136
17,146,136
17,146,136
17,146,136
18,147,138
18,147,138
18,147,138
19,146,139
20,147,138
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
20,147,139
19,148,138
19,148,138
19,146,139
19,146,139
18,147,138
18,147,138
17,147,137
17,147,137
