B,G,R
3,9,54
3,9,53
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,8,52
3,9,53
3,9,53
3,9,53
3,9,53
3,9,53
3,8,53
3,8,53
3,8,53
3,8,53
3,8,53
3,9,53
3,9,53
3,9,53
3,9,53
3,9,54
3,9,56
4,9,57
3,9,53
3,9,53
3,9,53
3,9,53
3,9,52
3,8,52
3,9,52
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,8,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,53
3,9,53
3,9,54
3,9,56
4,10,57
4,10,58
4,10,58
4,9,58
4,9,58
3,9,53
3,9,53
3,9,53
3,9,53
3,9,53
3,9,53
3,9,53
3,9,52
3,9,52
3,9,52
2,8,50
3,9,50
2,9,50
2,9,50
3,9,50
3,9,50
2,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,53
3,9,53
3,9,54
4,9,56
4,10,58
5,10,58
5,10,58
5,10,58
4,9,58
3,9,58
3,9,57
3,9,56
3,8,56
3,9,56
3,9,56
3,9,55
3,9,53
3,9,53
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,8,50
2,8,49
2,8,49
2,9,49
2,9,49
2,9,49
2,9,49
2,9,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,53
3,9,53
3,9,54
4,10,55
5,10,57
5,10,58
5,10,58
5,10,58
4,9,57
3,9,56
3,9,56
3,8,55
2,8,55
2,8,55
2,8,55
2,8,55
3,8,56
3,8,56
3,9,56
3,9,55
3,9,53
3,9,53
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,50
2,8,49
2,8,49
2,8,49
2,8,49
2,9,49
2,9,49
2,9,49
2,9,49
2,9,49
2,9,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
2,8,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,53
3,9,54
4,10,54
5,10,56
5,11,57
5,11,56
5,11,56
3,9,56
3,9,56
3,9,56
2,8,55
2,8,55
2,8,53
2,8,53
2,8,54
2,8,54
2,8,55
3,9,58
3,9,56
3,9,56
3,9,53
3,9,53
3,9,53
3,9,53
4,9,52
4,9,52
4,9,50
4,9,50
4,9,50
4,9,50
4,9,50
3,9,50
3,9,50
3,8,49
2,8,49
2,8,49
2,8,49
2,8,49
2,8,49
2,9,49
2,9,49
2,9,49
2,9,49
2,9,49
2,9,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
2,8,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
4,10,53
5,11,55
5,11,56
5,11,56
5,11,56
3,9,55
3,9,55
2,8,54
2,8,53
2,8,53
2,8,53
2,8,53
2,8,53
2,8,53
2,9,54
3,9,55
3,9,55
3,9,58
3,9,56
3,9,56
3,9,53
3,9,53
3,9,53
3,9,52
3,9,52
3,9,51
4,9,50
5,9,50
5,9,50
5,9,49
4,9,49
4,9,49
4,9,49
4,9,49
3,8,49
2,8,49
2,8,49
2,8,49
2,8,49
2,8,49
2,8,50
2,9,50
3,9,50
3,9,50
3,9,49
3,9,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,8,50
3,8,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,51
3,9,52
3,9,52
3,9,52
4,10,52
5,11,54
5,11,54
4,10,54
4,10,54
3,9,54
2,8,53
2,8,53
2,8,53
2,8,53
2,9,53
2,9,53
2,9,53
2,9,53
3,9,54
3,9,55
3,9,56
3,9,56
3,9,57
3,9,57
3,9,56
3,9,56
3,9,53
3,9,53
3,9,52
3,9,52
3,9,52
3,9,52
3,9,50
3,9,50
5,9,50
5,9,50
5,9,49
5,9,49
5,9,49
4,9,49
4,9,49
4,8,49
3,8,49
2,8,49
2,8,49
2,8,49
2,8,50
2,8,50
2,8,50
2,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,52
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,51
3,9,50
