B,G,R
4,9,49
4,9,50
3,8,50
3,9,50
3,9,50
3,9,51
4,9,52
4,9,53
3,9,53
3,9,53
3,9,52
4,9,51
4,9,49
4,9,49
5,9,49
4,9,48
4,9,47
4,9,47
4,9,47
3,8,47
3,8,47
3,8,49
3,9,50
3,9,51
3,9,52
2,9,53
2,8,52
2,8,52
2,8,52
2,8,52
3,9,50
4,9,50
5,9,50
4,9,49
4,9,49
4,9,48
4,9,48
4,9,49
4,9,49
4,9,50
4,10,51
4,10,53
4,10,54
4,10,53
4,9,52
4,9,50
4,9,49
4,9,48
5,9,46
5,8,46
5,9,46
4,8,46
4,8,46
4,8,46
3,8,47
3,8,47
3,8,49
3,9,51
3,10,51
3,10,51
3,10,51
2,9,51
2,9,50
2,9,50
2,9,51
2,9,52
3,9,52
3,9,52
3,9,52
4,10,51
3,9,49
3,9,48
3,9,48
3,9,48
4,9,49
5,9,49
5,9,49
5,9,49
5,9,48
4,9,47
4,8,47
4,9,48
4,9,49
4,10,49
5,10,52
7,13,54
8,13,56
6,13,54
5,11,51
4,10,49
4,9,48
4,8,46
4,8,45
4,8,45
4,8,45
4,8,45
4,8,45
4,8,45
3,8,45
3,8,46
3,8,47
3,9,49
3,9,50
3,10,50
3,10,49
3,9,49
3,9,49
3,9,49
3,9,49
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
3,9,50
4,9,50
4,9,50
4,10,49
3,9,48
3,9,47
3,9,47
3,9,47
4,9,48
4,9,48
5,11,49
5,10,49
5,9,48
4,9,47
4,8,47
4,8,46
4,8,47
4,8,48
4,10,49
6,12,53
8,13,56
10,16,56
7,13,54
6,11,51
4,10,49
4,8,46
4,8,45
4,8,45
4,8,45
5,8,45
5,8,45
4,9,45
4,8,45
4,8,45
3,8,45
3,8,45
3,8,47
3,9,47
3,9,48
3,9,48
3,9,47
3,9,48
3,9,48
3,9,48
3,9,48
3,9,48
3,9,48
3,9,48
3,9,48
3,9,48
3,8,48
3,8,48
3,8,48
3,9,48
3,9,49
3,9,50
3,9,52
3,9,48
3,9,49
3,9,49
3,9,49
4,9,49
4,9,47
3,9,47
3,9,47
3,9,47
3,9,47
4,9,47
4,10,48
5,10,48
6,11,49
6,11,48
6,8,48
5,8,47
4,8,47
4,8,46
4,8,47
5,9,48
4,10,49
6,10,51
8,13,54
8,13,54
5,10,49
5,10,48
4,9,47
4,8,46
4,8,45
4,8,45
5,8,45
5,9,45
6,9,45
6,9,45
5,9,45
4,8,45
4,8,45
3,8,45
3,8,45
3,8,45
3,9,46
3,9,46
3,9,46
3,9,46
3,9,47
3,9,47
4,9,47
4,9,48
4,9,47
4,9,46
4,8,46
4,8,47
4,8,47
4,8,47
4,8,47
3,8,48
3,8,48
3,8,48
3,9,50
3,9,52
3,9,53
3,9,55
3,9,48
3,9,48
3,8,47
3,9,47
3,9,48
3,9,48
4,9,47
4,9,47
3,9,47
3,9,47
3,9,46
3,9,46
4,9,47
4,9,48
5,10,48
6,11,50
6,11,50
6,11,50
6,9,50
5,9,48
5,8,47
5,8,47
5,8,48
5,9,49
4,9,49
5,10,49
6,10,51
5,10,50
4,10,49
5,9,49
4,8,48
4,8,46
4,8,45
5,8,45
5,9,45
5,10,46
6,10,46
6,10,46
5,9,46
4,9,45
4,8,45
4,8,45
3,8,45
3,8,45
3,9,45
3,9,45
3,9,45
3,9,46
4,9,46
6,10,46
6,11,47
6,10,47
4,9,46
4,9,46
4,8,46
4,8,45
4,8,46
4,8,46
4,8,46
4,8,47
4,8,47
3,9,48
4,9,48
4,9,50
4,9,52
4,9,53
4,9,55
3,9,55
3,9,55
4,9,48
4,9,48
3,9,48
3,9,48
3,9,47
3,9,47
3,9,48
3,9,48
3,9,47
3,9,47
3,9,47
3,9,47
3,9,46
3,9,48
4,9,48
5,10,50
5,10,50
6,10,50
6,10,50
5,9,50
5,9,50
5,8,50
5,8,48
5,8,48
5,8,49
5,9,50
4,9,49
5,9,50
5,9,51
4,9,50
4,9,49
5,8,49
4,8,49
5,8,48
5,8,46
5,9,46
5,9,47
5,10,47
5,10,47
6,10,47
5,9,47
5,9,47
4,9,45
4,8,45
3,8,45
3,8,45
2,8,45
3,9,45
3,9,45
4,9,46
6,10,47
8,14,49
9,14,49
8,14,49
6,9,46
4,9,46
4,8,44
4,8,44
4,8,45
4,8,44
4,8,45
4,8,45
4,8,47
4,9,47
4,9,48
4,10,49
4,10,50
4,9,51
4,9,52
3,9,54
3,9,54
3,9,54
3,9,56
4,8,46
4,9,48
4,9,48
4,9,48
4,9,48
4,10,48
3,9,48
3,9,48
4,10,49
5,11,51
5,11,51
5,11,51
4,10,51
3,9,50
3,9,49
3,9,48
4,9,52
8,14,57
7,12,53
6,11,52
5,9,52
5,9,51
5,9,51
5,8,50
5,8,50
5,8,50
5,8,50
5,9,50
5,9,50
4,9,50
4,9,50
4,9,51
4,9,51
4,8,50
4,8,50
4,8,49
5,8,49
5,9,49
5,9,49
5,9,49
5,10,49
5,10,48
5,10,48
5,10,48
5,10,48
4,9,48
4,9,47
4,9,46
3,8,46
2,8,45
3,9,45
5,9,45
6,10,49
10,15,52
15,21,58
16,22,59
12,16,51
8,12,49
5,9,46
4,8,44
4,8,44
4,8,45
4,8,44
4,8,45
4,8,45
4,8,47
4,9,48
4,10,48
4,10,49
4,9,49
4,9,49
3,9,51
3,9,52
3,8,52
3,8,52
3,9,53
4,9,55
4,10,57
4,10,59
4,8,45
4,8,45
4,8,45
4,9,46
4,9,48
5,11,48
5,11,48
6,13,50
5,11,49
5,11,51
5,12,52
7,13,53
6,12,52
6,12,52
7,12,53
6,11,52
4,10,52
7,12,57
12,17,61
13,17,66
11,15,60
7,11,58
6,9,55
5,9,52
5,9,52
5,8,52
5,9,52
5,9,52
5,9,52
5,9,52
5,9,52
5,9,52
5,9,52
5,9,52
4,9,52
4,8,52
5,8,52
4,8,52
5,9,51
5,9,51
5,10,50
5,9,50
5,10,50
5,9,50
5,10,50
5,9,50
5,10,50
5,10,50
4,10,49
4,9,49
4,10,49
4,10,49
5,10,49
8,13,52
11,16,58
20,25,63
27,34,72
24,28,65
21,25,62
12,16,51
6,9,48
4,8,47
4,8,45
4,8,45
4,8,45
4,8,45
4,9,47
4,9,47
4,9,48
4,10,48
4,9,48
4,9,48
3,8,48
3,8,49
3,8,49
3,8,50
3,8,52
3,8,52
3,8,53
4,10,55
4,10,57
5,11,59
5,11,61
4,8,45
4,8,44
4,8,43
3,8,44
4,8,45
4,9,45
4,11,48
5,11,50
6,13,52
7,13,52
6,13,52
5,12,52
7,14,56
7,14,58
6,12,56
5,11,56
6,11,58
6,11,57
7,11,57
8,14,61
12,17,68
13,17,68
11,15,67
8,14,60
5,9,58
5,9,58
5,9,56
5,9,55
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
5,9,54
4,9,54
4,9,54
5,10,54
5,10,54
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,10,53
5,11,53
7,12,57
9,15,59
16,22,66
21,27,71
27,34,73
24,28,72
22,27,65
17,21,60
6,10,51
4,9,49
4,9,48
4,8,47
4,8,47
4,8,47
4,9,48
5,9,48
5,10,49
5,10,48
5,9,48
4,9,48
3,8,47
3,8,48
3,8,48
3,8,48
3,8,49
3,8,49
3,8,51
3,8,52
4,10,55
5,11,58
8,15,62
9,15,63
10,16,64
5,9,47
4,8,45
4,8,44
4,8,43
3,8,43
3,8,43
4,9,44
4,10,47
4,11,48
5,11,51
7,13,52
8,14,53
7,14,53
6,13,55
9,14,59
7,14,59
5,11,58
4,10,58
4,11,59
4,11,60
4,11,61
7,12,63
9,15,68
13,17,68
9,15,67
6,11,63
5,9,60
5,9,59
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,9,58
5,11,59
5,11,59
5,9,59
5,9,59
4,9,59
4,9,59
4,10,59
4,10,59
5,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
4,10,57
5,10,57
5,10,57
6,11,58
7,12,59
11,16,61
17,23,68
21,27,71
27,34,73
24,28,72
21,27,71
15,20,62
6,10,52
4,9,51
4,9,49
4,9,49
4,8,49
4,8,49
4,9,49
5,9,49
5,9,49
5,9,49
5,9,49
4,9,48
3,9,47
3,8,47
3,8,47
3,8,47
3,8,48
3,8,48
3,8,48
3,9,50
4,9,52
4,10,56
9,15,60
12,18,63
13,19,64
13,19,64
9,15,61
4,10,47
5,10,45
4,9,44
4,8,43
4,8,42
3,8,43
3,8,43
2,8,43
3,9,43
2,10,47
3,10,48
4,11,51
6,13,52
8,15,55
8,14,59
6,13,59
8,14,60
6,12,60
4,10,59
4,10,59
4,10,60
4,10,61
4,10,61
5,11,62
7,12,64
8,14,67
6,11,64
5,10,62
4,10,61
4,9,60
4,9,59
4,9,59
5,9,59
5,9,59
5,9,59
5,9,59
5,10,59
5,10,60
5,10,62
5,11,63
5,11,63
4,10,63
4,10,62
4,9,61
3,9,61
4,10,61
4,10,61
4,10,61
4,10,61
4,10,61
4,10,61
4,10,61
4,10,60
4,10,59
4,10,59
5,10,59
5,10,59
6,11,61
6,12,61
8,14,62
13,20,66
18,24,70
21,27,71
20,26,71
17,21,68
10,16,59
4,10,54
4,10,53
4,9,52
4,9,52
4,9,51
4,9,51
4,9,50
5,9,50
5,9,49
5,9,49
5,9,49
4,9,49
4,9,47
3,8,47
3,8,47
3,8,47
3,8,47
4,8,47
4,8,48
4,8,48
4,9,51
4,9,53
5,11,58
12,18,62
14,19,64
14,19,64
8,14,61
4,10,57
4,9,55
3,9,46
3,9,46
4,9,44
4,9,43
4,9,42
4,9,41
4,9,41
3,8,42
2,8,42
2,9,43
2,9,43
2,9,47
2,9,48
3,10,50
4,11,52
5,11,54
6,12,57
5,11,59
5,11,60
5,11,60
4,10,59
4,10,60
4,10,61
4,10,61
4,10,62
4,11,62
4,11,64
4,11,64
4,11,63
4,10,63
4,10,62
4,9,61
4,9,60
4,9,60
5,9,60
5,9,60
5,9,60
5,9,62
5,10,62
5,10,63
5,10,64
5,11,65
5,11,65
4,11,65
4,10,64
3,10,64
3,10,63
4,10,63
4,10,63
4,10,64
4,10,63
4,10,64
4,10,63
4,10,63
4,10,63
4,10,62
4,10,61
5,10,60
5,11,61
5,11,61
6,12,62
6,12,64
9,15,65
13,19,68
15,20,69
14,20,65
11,17,64
