B,G,R
2,12,108
1,12,109
1,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,13,108
1,13,107
1,13,107
1,13,107
1,12,107
0,12,108
0,12,108
1,12,108
2,12,108
2,13,109
3,13,109
3,13,110
3,13,110
3,13,110
2,13,109
2,13,109
2,12,108
2,12,108
2,12,108
1,12,108
1,12,108
1,12,107
1,12,107
1,13,109
1,13,109
1,12,110
1,12,110
1,12,110
1,12,109
1,12,109
1,12,109
0,12,109
1,12,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,12,108
0,12,108
1,12,108
1,12,109
2,13,109
2,13,110
2,13,110
2,13,110
2,13,110
2,13,109
2,13,109
2,12,108
1,12,108
1,12,108
1,12,108
1,12,108
1,12,108
1,13,107
1,13,107
1,13,108
0,12,108
0,12,108
0,12,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,110
1,13,110
1,13,110
1,13,110
1,13,110
1,13,110
1,13,110
1,12,110
1,12,110
1,12,110
1,13,110
1,13,110
1,13,110
1,13,110
1,13,109
1,13,109
1,13,109
1,12,109
1,12,109
1,12,109
1,13,109
2,13,109
2,13,110
2,13,110
2,14,110
2,14,110
2,13,109
2,13,109
1,12,109
1,12,108
1,12,108
0,12,108
1,12,108
1,13,108
1,13,108
1,13,108
1,13,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,12,108
1,12,108
1,12,108
1,12,109
1,12,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
1,13,109
1,13,110
1,13,110
2,13,110
2,13,111
2,13,111
2,13,111
2,13,110
1,12,110
1,12,110
1,12,110
1,13,110
1,13,110
1,13,110
2,13,110
2,13,110
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,110
2,14,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
0,12,108
1,13,108
1,13,108
1,13,108
1,13,108
1,13,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,12,108
1,13,108
1,13,108
1,12,106
1,12,106
1,13,106
2,13,110
1,13,110
1,13,110
1,12,110
1,12,110
1,13,110
2,13,110
2,13,110
2,14,110
2,14,110
2,14,110
1,13,110
1,13,110
2,13,110
2,13,111
2,13,111
2,13,111
2,13,111
1,12,110
1,12,110
1,12,110
1,13,110
2,13,110
2,13,110
2,13,111
2,13,111
2,13,110
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
2,14,110
2,14,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,13,109
1,13,109
1,13,109
1,12,108
1,12,107
1,13,107
1,13,106
1,13,106
2,13,106
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
1,12,110
1,12,110
1,12,110
1,13,110
2,13,110
2,13,110
2,14,110
2,14,110
2,14,110
1,13,110
1,13,110
2,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
1,12,110
1,12,110
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
0,12,108
0,12,108
0,12,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,106
1,13,106
2,12,111
2,12,111
2,12,111
2,12,111
2,13,111
2,13,111
2,13,111
1,12,110
1,12,110
1,12,110
2,13,110
2,13,110
2,13,110
2,13,110
1,13,110
1,13,110
1,13,110
1,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
1,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
0,12,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
0,12,107
0,12,106
0,12,106
2,12,113
2,12,113
2,12,113
2,12,111
2,12,111
1,12,111
1,12,111
2,13,111
2,13,111
2,13,111
1,12,110
2,13,111
2,13,111
2,13,110
2,13,110
2,13,110
2,13,110
1,13,110
1,13,110
1,13,110
1,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
1,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,108
0,12,108
0,12,108
0,12,107
0,12,106
0,12,106
1,13,106
2,13,105
2,12,113
2,12,113
2,12,113
2,12,113
2,12,113
2,12,113
1,12,113
1,12,111
1,12,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
1,13,110
1,13,110
1,13,110
1,13,110
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
2,13,110
2,13,111
2,13,111
2,13,110
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,12,109
0,12,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,14,110
2,14,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,108
0,12,108
0,12,107
0,12,106
1,13,106
1,13,106
2,13,105
2,14,105
2,12,112
2,12,113
2,12,113
2,12,113
2,12,114
2,12,114
1,12,114
1,12,113
1,12,113
1,12,113
1,12,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
1,13,110
2,13,110
1,13,110
1,13,110
1,13,109
1,13,110
2,13,110
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,13,109
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,13,110
2,14,110
2,14,110
2,13,109
1,13,109
1,13,109
1,13,108
1,13,108
1,13,108
1,13,108
1,13,107
1,13,107
1,13,107
1,13,106
2,13,106
2,14,106
2,14,106
2,14,105
2,12,112
1,12,113
1,12,113
1,12,113
2,12,113
1,13,114
2,13,115
1,13,115
1,12,114
1,12,114
1,12,113
1,12,113
2,12,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
1,13,110
1,13,110
1,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,108
0,12,107
0,12,107
0,12,107
0,12,108
0,12,108
0,12,108
1,13,108
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
2,13,110
2,14,110
2,14,110
2,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,108
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
1,13,107
2,14,107
2,13,106
2,13,105
2,13,103
2,12,113
2,12,113
1,12,113
1,12,113
0,12,113
0,12,113
1,12,114
1,13,114
1,13,115
1,13,115
1,12,114
1,12,114
1,12,114
2,12,113
2,12,113
2,13,111
2,12,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,111
2,13,110
2,13,110
1,13,110
1,13,110
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,13,109
1,12,108
