L,A,B
87,180,175
87,181,175
86,181,175
87,181,175
88,181,175
88,181,175
88,181,175
88,181,175
88,181,175
88,181,176
87,181,175
87,181,175
87,181,175
87,181,175
87,180,175
87,180,175
86,180,175
86,180,175
86,180,175
87,180,175
87,180,175
88,181,175
88,181,175
89,182,176
90,182,176
90,182,176
91,182,176
91,182,176
91,182,177
90,182,176
86,181,175
86,181,176
86,181,175
85,180,175
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
86,181,175
86,181,175
86,181,175
86,181,175
86,181,175
86,180,175
86,180,175
86,180,175
86,180,175
84,180,173
84,180,173
86,180,174
86,180,176
86,180,175
87,180,175
87,180,175
88,181,175
88,181,176
89,181,177
89,181,176
89,181,176
89,181,176
89,181,176
88,181,175
88,181,175
88,181,175
88,181,176
88,181,176
86,181,175
86,181,175
86,181,175
86,181,175
86,181,175
85,180,175
85,180,175
84,180,175
83,180,174
83,180,174
83,180,174
83,180,174
83,180,174
83,180,174
83,180,174
83,180,174
84,180,175
84,180,175
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
84,179,173
84,179,173
84,179,174
84,179,174
84,179,175
84,179,175
85,180,174
85,180,174
86,180,175
87,180,175
86,181,176
87,180,176
87,180,176
87,180,176
87,180,176
87,180,175
87,180,175
87,180,176
87,180,176
87,181,175
87,181,175
87,180,176
88,181,176
89,181,176
89,181,176
90,182,177
84,180,174
84,180,175
84,180,175
84,180,175
85,180,174
85,180,174
85,180,175
85,180,174
84,180,174
83,180,174
83,180,174
82,179,174
81,179,173
81,179,173
80,178,173
80,178,173
80,178,173
80,178,173
81,179,173
81,179,173
81,179,173
82,179,174
82,179,174
83,180,174
83,180,174
83,180,174
83,179,173
82,180,173
82,180,173
82,179,173
82,179,173
82,179,173
82,179,173
83,180,174
83,180,174
85,180,174
85,180,174
85,180,175
85,180,175
86,180,175
86,180,175
87,180,175
87,180,175
87,180,175
86,180,175
86,180,176
86,180,176
86,181,176
86,181,176
87,181,175
88,181,176
88,181,176
88,181,176
89,181,177
89,181,176
90,182,177
91,182,177
84,181,174
83,180,174
83,180,173
82,179,174
81,179,173
81,179,173
81,179,173
82,179,174
83,180,174
83,180,174
83,179,174
83,179,174
83,180,174
83,180,174
81,179,173
81,179,173
80,179,173
80,179,173
80,178,173
80,178,173
80,178,173
80,178,173
81,179,173
81,179,173
81,179,173
82,179,174
82,179,174
82,179,174
82,179,174
82,180,173
82,180,173
82,179,173
82,179,173
81,179,173
81,179,173
81,179,173
82,179,173
82,179,173
82,179,174
83,179,174
84,179,175
85,180,175
85,180,175
85,180,175
85,179,175
85,179,175
85,180,175
85,180,175
85,180,175
85,180,175
85,180,175
86,181,175
86,181,176
86,181,176
86,181,176
87,180,176
88,181,176
88,181,176
89,181,177
90,182,176
90,182,177
91,182,177
92,183,177
84,180,174
83,180,174
83,180,173
82,179,173
82,179,173
81,179,173
81,179,173
80,179,173
81,179,173
81,179,173
81,179,173
82,179,174
83,180,174
83,179,174
83,179,174
83,179,174
83,180,174
81,179,173
81,179,173
80,179,173
80,179,173
80,179,173
80,179,173
80,179,173
80,179,173
80,179,173
81,179,173
81,179,173
81,179,173
82,179,174
82,179,174
82,180,173
82,180,173
82,180,173
82,179,173
82,179,173
81,179,173
81,179,173
81,179,173
81,179,173
82,179,173
82,179,173
82,179,174
82,179,174
83,179,174
84,179,175
84,179,175
84,179,174
84,179,173
84,179,173
84,180,174
84,180,174
85,180,174
85,180,174
85,180,175
86,180,176
86,181,176
86,181,176
86,181,176
86,181,176
87,181,175
88,181,176
89,181,177
90,182,176
90,182,177
91,182,177
92,183,177
92,182,177
93,182,177
83,180,174
83,180,174
83,180,173
81,179,173
82,179,172
81,179,173
81,179,173
80,179,172
80,179,172
80,179,173
80,179,173
80,179,173
81,179,173
81,179,173
82,179,174
83,180,174
83,179,173
83,179,173
83,180,173
82,180,173
81,179,173
81,179,173
80,179,173
80,179,173
80,179,173
80,179,173
80,179,173
81,179,173
81,179,173
81,179,173
82,179,173
83,180,173
83,180,174
83,180,173
83,180,173
82,180,173
82,179,172
82,179,172
81,179,173
81,179,173
81,179,173
82,179,173
82,179,173
82,179,174
82,179,174
82,179,174
82,179,174
82,179,174
83,180,174
83,179,173
83,180,174
83,180,174
83,180,174
84,180,174
85,180,174
85,180,174
85,180,175
85,180,174
86,180,175
86,180,175
87,180,175
86,181,176
86,181,176
86,181,176
87,180,176
88,181,176
89,181,177
90,182,176
90,182,176
91,182,177
92,182,177
92,182,177
93,182,177
84,180,174
83,180,173
83,180,173
82,179,172
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
80,179,172
80,179,172
80,179,172
80,179,172
80,179,172
80,179,173
81,179,173
81,179,173
82,179,173
83,180,173
84,179,173
85,180,174
85,180,173
84,180,173
83,180,173
82,180,173
82,179,172
80,179,173
80,179,173
80,179,173
81,179,173
81,179,173
82,179,172
83,180,174
84,180,174
85,181,174
85,180,175
85,180,174
85,180,174
85,180,174
85,180,174
84,180,174
83,180,174
82,179,174
82,179,173
82,179,174
82,179,174
82,179,174
82,179,174
82,179,174
82,179,174
82,179,174
83,180,174
83,179,173
83,180,174
83,180,174
83,180,174
84,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
86,181,175
85,180,175
86,181,175
86,181,175
86,181,176
87,181,175
88,181,176
89,181,176
89,181,176
89,181,176
90,182,176
90,182,177
91,182,177
92,181,178
92,181,177
92,181,177
84,180,175
83,180,173
82,180,173
82,179,172
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
80,178,172
80,178,172
80,178,172
80,179,172
80,179,172
80,179,172
81,179,173
82,179,173
83,180,174
85,180,174
86,181,174
87,180,174
87,180,174
86,180,174
86,181,174
84,180,173
83,180,172
83,180,173
82,179,173
82,179,173
82,179,173
83,180,174
84,180,174
85,181,174
86,181,175
86,181,175
87,181,175
87,181,175
87,181,175
87,181,175
87,181,175
87,180,175
86,181,175
85,180,174
84,180,174
83,180,174
83,180,174
83,180,174
83,180,174
83,180,173
83,180,173
82,179,174
83,180,173
83,179,173
83,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,175
85,180,175
86,180,176
87,181,175
87,180,175
88,181,175
89,181,176
89,181,176
89,181,176
89,181,176
89,181,176
91,181,177
91,181,177
92,181,177
92,181,177
83,180,174
82,179,174
82,179,174
82,179,174
82,179,172
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
81,179,173
81,179,172
81,179,172
81,179,172
80,178,172
80,178,172
80,178,172
80,178,172
81,179,173
82,179,173
83,180,174
85,180,174
86,181,175
87,181,175
88,182,175
88,182,175
88,182,175
88,182,175
87,181,175
86,181,174
86,181,175
85,180,174
85,180,174
85,180,174
85,180,174
86,181,174
87,182,175
87,182,175
88,181,175
88,181,175
88,181,175
89,182,176
89,182,176
89,182,176
89,182,176
89,182,176
87,181,175
87,180,175
86,181,175
86,181,175
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
85,180,174
84,180,175
85,180,174
85,180,175
86,180,176
87,181,175
87,180,175
